stock,L_date,L2_date,entry_date,exit_date,fall,retest_pct,ret,ret_net,bench_ret,excess_ret
KO,2015-08-24,2015-08-26,2015-08-27,2015-09-03,0.07917450948705601,0.00911924847831553,-0.0028011534558538553,-0.0038011534558538554,-0.015510385574900254,0.011709232119046398
KO,2016-04-20,2016-04-22,2016-04-25,2016-05-02,0.05333887972006529,0.0038317401985593314,0.0060387582415595276,0.0050387582415595275,-0.016040805902060473,0.02107956414362
KO,2016-05-20,2016-05-24,2016-05-25,2016-06-02,0.04102129963403629,0.00955638374609281,0.00766175598675134,0.00666175598675134,0.006473811828691556,0.0001879441580597838
KO,2016-06-24,2016-06-28,2016-06-29,2016-07-07,0.037467196470993995,0.005690634587637873,0.014626134481147357,0.013626134481147356,0.01122958093930615,0.0023965535418412065
KO,2016-07-27,2016-07-29,2016-08-01,2016-08-08,0.053021974344444014,0.005299146135578909,-0.00023025587546199322,-0.0012302558754619932,0.010347506371364723,-0.011577762246826717
KO,2016-09-09,2016-09-13,2016-09-14,2016-09-21,0.03471104295918372,0.008408098623631432,0.00997419808001987,0.008974198080019868,0.017732448102294462,-0.008758250022274594
KO,2016-11-10,2016-11-14,2016-11-15,2016-11-22,0.04524214308469615,0.0056179632539316345,-0.0016899541045364286,-0.0026899541045364286,0.008261693840939,-0.010951647945475429
KO,2017-09-27,2017-09-29,2017-10-02,2017-10-09,0.03999980959683862,0.008288328207384342,0.013616137874456369,0.012616137874456368,-0.0021201990683520355,0.014736336942808403
KO,2017-11-20,2017-11-22,2017-11-24,2017-12-01,0.041535184701226587,0.008359370374817206,0.01017653374408023,0.009176533744080229,0.017341315396448564,-0.008164781652368336
KO,2018-05-02,2018-05-04,2018-05-07,2018-05-14,0.05504416091701895,0.007132617292484111,-0.0023729860340300224,-0.0033729860340300224,0.03948441643359346,-0.042857402467623484
KO,2018-10-11,2018-10-15,2018-10-16,2018-10-23,0.040206758564006864,0.006048761853903912,0.019124657400601208,0.018124657400601207,-0.029338360161762722,0.04746301756236393
KO,2018-11-21,2018-11-26,2018-11-27,2018-12-04,0.03524067972251997,0.0028732851712589286,0.012194640458767614,0.011194640458767613,0.010654912048385867,0.0005397284103817457
KO,2020-03-09,2020-03-11,2020-03-12,2020-03-19,0.11982364349772671,0.006749201983530195,-0.10524045321606268,-0.10624045321606268,0.01140877474379609,-0.11764922795985877
KO,2020-10-28,2020-10-30,2020-11-02,2020-11-09,0.053669899596408124,0.002084723077479833,0.08124242942121795,0.08024242942121795,0.08062159283805914,-0.00037916341684118837
KO,2020-11-30,2020-12-02,2020-12-03,2020-12-10,0.03426944102467403,0.0098836961279608,0.0051157281922560305,0.0041157281922560305,0.010386995772273089,-0.006271267580017058
KO,2021-01-07,2021-01-11,2021-01-12,2021-01-20,0.08898632083500066,0.0048035644847816555,-0.02853703582599132,-0.02953703582599132,0.011505943930578022,-0.04104297975656934
KO,2021-01-19,2021-01-21,2021-01-22,2021-01-29,0.08055347493044981,0.009070235624490903,-0.007011768092349047,-0.008011768092349048,-0.026280724336919525,0.018268956244570478
KO,2021-09-20,2021-09-22,2021-09-23,2021-09-30,0.0398728879890302,0.001294779492542173,-0.029052499046390068,-0.03005249904639007,-0.02419241427349539,-0.00586008477289468
KO,2021-09-30,2021-10-04,2021-10-05,2021-10-12,0.052032316916917364,0.00991039348698201,0.021665582806565054,0.020665582806565053,-0.00036555690072415103,0.021031139707289204
KO,2022-07-20,2022-07-22,2022-07-25,2022-08-01,0.030121363777860875,0.0014634226131577882,0.037465699108522266,0.036465699108522265,0.03328894907171209,0.003176750036810172
KO,2022-09-15,2022-09-19,2022-09-20,2022-09-27,0.04057587319201189,0.007727309021729043,-0.05876474061181436,-0.05976474061181436,-0.04754910200540008,-0.01221563860641428
KO,2022-09-27,2022-09-29,2022-09-30,2022-10-07,0.06578304062998926,0.0033700777991544626,-0.026954614484904216,-0.027954614484904217,0.02440458974851034,-0.05235920423341456
KO,2023-01-05,2023-01-09,2023-01-10,2023-01-18,0.031303642816606705,0.006591682311785424,-0.0373410392349538,-0.0383410392349538,-0.01707992866247443,-0.02126111057247937
KO,2023-01-18,2023-01-20,2023-01-23,2023-01-30,0.056624540444724175,0.004514268546890826,0.006807212203702395,0.005807212203702395,0.0028960750400908175,0.0029111371636115777
KO,2023-05-30,2023-06-01,2023-06-02,2023-06-09,0.06506091377163893,0.0036800429224120457,-0.011281817123352078,-0.012281817123352079,-0.0017355204640077115,-0.010546296659344367
KO,2023-07-10,2023-07-12,2023-07-13,2023-07-20,0.031198860409394024,0.008936026219297847,0.03380292724776357,0.03280292724776357,0.011496304392773382,0.021306622854990187
KO,2023-08-04,2023-08-08,2023-08-09,2023-08-16,0.03711344126525047,0.003459090967464246,-0.00949868240517504,-0.010498682405175042,-0.013172039485215614,0.0026733570800405726
KO,2023-09-07,2023-09-11,2023-09-12,2023-09-19,0.03682300454415551,0.009429081148032111,0.005859099906453613,0.004859099906453613,-0.0030007675729551986,0.00785986747940881
KO,2023-09-27,2023-09-29,2023-10-02,2023-10-09,0.042935336315099146,0.0005362764840866364,-0.046863902752932396,-0.0478639027529324,0.0017741482127022756,-0.04963805096563467
KO,2023-10-05,2023-10-09,2023-10-10,2023-10-17,0.09062487703641238,0.009545365335623264,0.0007402907269002945,-0.0002597092730997055,0.004753559701003107,-0.005013268974102813
KO,2024-04-15,2024-04-17,2024-04-18,2024-04-25,0.04185895322364186,0.006363883979853473,0.04803950348285291,0.04703950348285291,0.016704686506352928,0.03033481697649998
KO,2024-10-07,2024-10-09,2024-10-10,2024-10-17,0.039660335903024965,0.008114659029652273,0.00938635241507968,0.008386352415079679,0.013006905959698,-0.004620553544618322
KO,2024-11-01,2024-11-05,2024-11-06,2024-11-13,0.07708686503890093,0.005537616470729418,-0.01098908892916306,-0.011989088929163061,-0.0026570351084596044,-0.009332053820703456
KO,2025-03-21,2025-03-25,2025-03-26,2025-04-02,0.031815834054939006,0.0020385481444373634,0.018709036309928928,0.017709036309928927,-0.0036739974861978997,0.021383033796126827
KO,2025-05-01,2025-05-05,2025-05-06,2025-05-13,0.035317972318508806,0.005750962080064149,-0.03848320907597391,-0.03948320907597391,0.0512453199024705,-0.09072852897844441
KO,2025-06-18,2025-06-23,2025-06-24,2025-07-01,0.03659864555415081,0.0076575975587644665,0.020794769804750146,0.019794769804750145,0.022367585566994697,-0.0025728157622445513
KO,2025-07-16,2025-07-18,2025-07-21,2025-07-28,0.03348674477971982,0.008372857394816321,-0.02825755885391079,-0.029257558853910792,0.007084828424093859,-0.03634238727800465
KO,2025-07-28,2025-07-30,2025-07-31,2025-08-07,0.0354157556928341,0.009693050690252865,0.0374135223388492,0.0364135223388492,0.0010092416307567742,0.03540428070809243
KO,2025-09-08,2025-09-10,2025-09-11,2025-09-18,0.03849987924686959,0.005783848670473251,-0.009617212778863182,-0.010617212778863183,-0.0014556891199010158,-0.009161523658962167
KO,2025-11-03,2025-11-05,2025-11-06,2025-11-13,0.04563315017110562,0.007944678323839497,0.029105302893779328,0.028105302893779327,0.01101901417843787,0.017086288715341458
KO,2025-12-05,2025-12-09,2025-12-10,2025-12-17,0.035945698945693376,0.001285746062708231,0.0065518487800733105,0.0055518487800733105,-0.019662737933268004,0.025214586713341314
KO,2026-03-05,2026-03-09,2026-03-10,2026-03-17,0.055541839566797264,0.009996160177251792,0.0029974860664083725,0.0019974860664083724,0.00036884400848280485,0.0016286420579255676
KO,2026-03-24,2026-03-26,2026-03-27,2026-04-06,0.040477940537844405,0.0002678271890838231,0.019944564592697,0.018944564592697,0.024994336361522373,-0.006049771768825374
KO,2026-04-15,2026-04-17,2026-04-20,2026-04-27,0.0367102127440945,0.005709811946890174,-0.0005299061294522511,-0.0015299061294522511,0.00492553412341068,-0.006455440252862931
KO,2026-06-01,2026-06-03,2026-06-04,2026-06-11,0.040039014616903165,0.0015259367001970016,0.0743295863647091,0.0733295863647091,-0.018215497891698962,0.09154508425640806
KO,2026-07-17,2026-07-21,2026-07-22,2026-07-29,0.03956669055664863,0.005027091829917134,0.0836983666705291,0.0826983666705291,-0.0034463349054032477,0.08614470157593235
KO,2026-09-01,2026-09-03,2026-09-04,2026-09-14,0.043374271804483173,0.009204584334597922,0.014533895225445015,0.013533895225445014,-0.019755438059126162,0.033289333284571176
GILD,2015-07-24,2015-07-28,2015-07-29,2015-08-05,0.05065226645183433,0.002127534597981256,0.02549498359761282,0.02449498359761282,-0.0014429773429166515,0.02593796094052947
GILD,2016-01-07,2016-01-11,2016-01-12,2016-01-20,0.07076658835720676,0.0025972913977534446,-0.06745610291577009,-0.06845610291577009,-0.04694447931508949,-0.021511623600680596
