stock,selloff_date,entry_date,exit_date,branch,z,spy_z,vr,ret,ret_net,bench_ret,excess_ret
KO,2016-01-04,2016-01-07,2016-01-14,market_wide,-3.173300904768397,-2.871076117671153,1.5609402461736142,0.0062466163468437585,0.0052466163468437585,-0.012960508498789602,0.01820712484563336
KO,2016-01-14,2016-01-20,2016-01-27,market_wide,-2.5561435405172266,-2.4188164125712546,1.0500159520142447,0.01715809217812181,0.016158092178121808,0.009733505953459565,0.006424586224662243
KO,2016-04-13,2016-04-18,2016-04-25,idiosyncratic,-4.304972707090445,0.9762264027954044,1.1067216483120406,-0.032669789267324445,-0.033669789267324446,-0.00013728139960700325,-0.03353250786771744
KO,2016-05-17,2016-05-20,2016-05-27,market_wide,-3.2909573260948086,-3.2854945487990936,1.87243581836611,0.01888506398531753,0.01788506398531753,0.02756614651442124,-0.009681082529103713
KO,2016-06-17,2016-06-22,2016-06-29,market_wide,-3.2372564162538335,-2.678445190032804,2.0111376508082577,-0.009362344155740887,-0.010362344155740888,-0.0051262150472466406,-0.005236129108494247
KO,2016-07-27,2016-08-01,2016-08-08,market_wide,-9.3045500993726,-1.0808806034970995,4.058465758648634,-0.00023007487057458142,-0.0012300748705745814,0.01034755093756945,-0.011577625808144032
KO,2016-08-08,2016-08-11,2016-08-18,idiosyncratic,-2.8975344286330693,-0.19154065560893546,0.5750070051715721,0.00799985809564352,0.0069998580956435194,0.005332758561081619,0.0016670995345619008
KO,2016-08-25,2016-08-30,2016-09-07,market_wide,-3.4703220718451786,-3.465031047852498,0.9748910216109434,0.009250721846734367,0.008250721846734366,-0.0046931264255770655,0.012943848272311431
KO,2016-09-13,2016-09-16,2016-09-23,market_wide,-2.6851000099699753,-3.378605952590239,1.1390743258146068,0.014238186984977919,0.013238186984977918,0.005004006904600011,0.008234180080377906
KO,2016-09-26,2016-09-29,2016-10-06,market_wide,-2.901913586265587,-1.7188455169335175,1.3295111508813007,-0.007613926919096792,-0.008613926919096793,0.00046664779374938625,-0.009080574712846179
KO,2016-10-04,2016-10-07,2016-10-14,market_wide,-3.4578401688625147,-2.189271681976996,1.1318933219063345,-0.001438412160484237,-0.002438412160484237,-0.011352373982761343,0.008913961822277106
KO,2016-10-13,2016-10-18,2016-10-25,market_wide,-2.542053270263981,-3.3190515030853467,1.5654223216051084,0.013581700093988847,0.012581700093988846,0.008808527108869368,0.0037731729851194773
KO,2016-11-10,2016-11-15,2016-11-22,idiosyncratic,-6.1559083949871205,0.2178760923223697,2.397473406077354,-0.0016894520758384823,-0.0026894520758384824,0.008261859092565382,-0.010951311168403866
KO,2016-11-18,2016-11-23,2016-12-01,idiosyncratic,-2.9027722529041564,-0.15889798349119974,0.9631584653858574,-0.014844465918598782,-0.015844465918598782,-0.01364641565971636,-0.0021980502588824224
KO,2016-12-01,2016-12-06,2016-12-13,market_wide,-3.973550585796279,-1.6770417911966697,1.4961481875699605,0.029331609364097178,0.028331609364097177,0.03199823161747384,-0.0036666222533766613
KO,2016-12-30,2017-01-05,2017-01-12,market_wide,-3.0107446887950755,-4.183739230699825,1.1016528346176122,-0.019161930439864583,-0.020161930439864584,0.005818854153281983,-0.025980784593146566
KO,2017-01-11,2017-01-17,2017-01-24,idiosyncratic,-3.1837470589156998,-0.09002097212983588,0.8218556009766974,0.016496979870306294,0.015496979870306293,-0.003356733800495282,0.018853713670801575
KO,2017-02-01,2017-02-06,2017-02-13,market_wide,-2.787745262443135,-1.5016188111954303,0.9014997336649164,-0.02261829277773897,-0.02361829277773897,0.014669435804462116,-0.038287728582201086
KO,2017-02-09,2017-02-14,2017-02-22,idiosyncratic,-3.138006503582652,1.5849894637362452,2.2327327807298594,0.026400428728608816,0.025400428728608815,0.010841816481283795,0.01455861224732502
