stock,low_date,entry_date,exit_date,pct1,exit_reason,ret,ret_net,days_held,bench_ret,excess_ret
EMR,2015-08-04,2015-08-06,2015-08-07,0.005439168742926751,early_reversal,-0.011057285981455833,-0.012057285981455834,1,-0.001428661506971518,-0.010628624474484316
EMR,2016-04-07,2016-04-11,2016-04-18,0.01834707806957051,hold_days,0.02677550502720516,0.02577550502720516,5,0.030171130027284665,-0.004395625000079506
EMR,2016-04-29,2016-05-03,2016-05-04,0.010617280634637637,early_reversal,-0.03457065081329558,-0.03557065081329558,1,-0.00988613231058022,-0.02568451850271536
EMR,2016-06-13,2016-06-15,2016-06-22,0.007553726256264479,hold_days,0.012124584657920767,0.011124584657920766,5,0.013485897560202798,-0.002361312902282031
EMR,2018-02-05,2018-02-07,2018-02-08,0.011834977616928838,early_reversal,-0.03712266122972241,-0.03812266122972241,1,-0.0382470860260925,0.00012442479637009285
EMR,2018-05-29,2018-05-31,2018-06-07,0.012434336466945311,hold_days,0.03571489225941238,0.03471489225941238,5,0.0337050779876793,0.0010098142717330783
EMR,2018-10-11,2018-10-15,2018-10-22,0.010112558707533229,hold_days,0.004200366025301605,0.003200366025301605,5,-0.0015191063387538506,0.004719472364055456
EMR,2018-10-24,2018-10-26,2018-11-02,0.016512317920009845,hold_days,0.05086770142635588,0.04986770142635588,5,0.04047999607440089,0.009387705351954989
EMR,2019-03-08,2019-03-12,2019-03-19,0.012612676106447769,hold_days,0.016339974446016425,0.015339974446016424,5,0.02147318137155252,-0.006133206925536094
EMR,2019-09-24,2019-09-26,2019-10-03,0.007344952575574328,hold_days,0.0032714719056712305,0.0022714719056712305,5,-0.026081177164237412,0.028352649069908642
EMR,2020-01-27,2020-01-29,2020-01-30,0.009357394618422865,early_reversal,-0.0010823046912999956,-0.0020823046912999956,1,0.0009676395904525403,-0.003049944281752536
EMR,2020-06-24,2020-06-26,2020-07-06,0.012074379153669828,hold_days,0.04409542269737776,0.04309542269737776,5,0.04644210024636153,-0.0033466775489837675
EMR,2021-03-16,2021-03-18,2021-03-19,0.016393267187476114,early_reversal,-0.010843198720793201,-0.011843198720793202,1,0.004216812696341776,-0.01606001141713498
EMR,2021-09-01,2021-09-03,2021-09-07,0.01585761777862539,early_reversal,-0.016226718965114184,-0.017226718965114185,1,-0.011016302196122152,-0.006210416768992033
EMR,2021-09-14,2021-09-16,2021-09-17,0.01720442275730494,early_reversal,-0.023486507630292697,-0.024486507630292698,1,-0.008367358500751432,-0.016119149129541266
EMR,2023-03-15,2023-03-17,2023-03-24,0.01726068625383293,hold_days,0.025358815501389298,0.024358815501389297,5,0.0156525931640612,0.008706222337328096
EMR,2023-05-02,2023-05-04,2023-05-11,0.019460050122931834,hold_days,-0.0028992648808996435,-0.0038992648808996435,5,0.0033555937238325395,-0.007254858604732183
EMR,2024-09-06,2024-09-10,2024-09-17,0.01415623513430404,hold_days,0.048436022235712306,0.047436022235712305,5,0.030384346806007656,0.01705167542970465
EMR,2024-10-15,2024-10-17,2024-10-18,0.012265501545953439,early_reversal,-9.045818784281234e-05,-0.0010904581878428124,1,-0.002701455373556816,0.0016109971857140035
UPS,2015-11-13,2015-11-17,2015-11-24,0.013362241390122256,hold_days,0.0025208617844367787,0.0015208617844367786,5,0.010940283492855585,-0.009419421708418807
UPS,2015-11-30,2015-12-02,2015-12-03,0.013299428902863382,early_reversal,-0.00977741186773129,-0.01077741186773129,1,-0.010866083872116183,8.86720043848932e-05
UPS,2015-12-03,2015-12-07,2015-12-08,0.009483018541088106,early_reversal,-0.012591365271941823,-0.013591365271941824,1,-0.011719028664726516,-0.001872336607215308
UPS,2016-04-21,2016-04-25,2016-05-02,0.005047699937056158,hold_days,-0.0029505180158473365,-0.0039505180158473365,5,-0.016040722998646006,0.012090204982798669
UPS,2017-04-07,2017-04-11,2017-04-12,0.01362035018169805,early_reversal,-0.014374067274127711,-0.015374067274127712,1,-0.006796546091859312,-0.0085775211822684
UPS,2017-12-06,2017-12-08,2017-12-11,0.012173445992778571,early_reversal,-0.012629354833382012,-0.013629354833382012,1,0.005123163421253629,-0.01875251825463564
