stock,L1_date,H1_date,L2_date,entry_date,exit_date,rise1,drop2,ret,ret_net,bench_ret,excess_ret
KO,2025-03-12,2025-03-26,2025-04-04,2025-04-10,2025-04-17,0.008531846682747167,0.001285455744803207,0.031656535908690886,0.030656535908690885,0.006092466013912112,0.024564069894778773
KO,2025-05-01,2025-05-15,2025-05-22,2025-05-23,2025-06-02,0.004488740686364798,0.00656339046201687,0.00320471893395613,0.00220471893395613,0.017440326678919593,-0.015235607744963464
KO,2025-05-22,2025-05-30,2025-06-05,2025-06-10,2025-06-17,0.01349450450245111,0.016504768209511283,-0.03089140559367043,-0.03189140559367043,-0.0019934808434308726,-0.029897924750239557
KO,2025-06-17,2025-06-27,2025-07-08,2025-07-17,2025-07-24,0.010198181012073192,0.0012798443314286226,-0.0211077971011997,-0.0221077971011997,-0.007814423916126079,-0.014293373185073621
KO,2025-07-23,2025-08-06,2025-08-14,2025-08-15,2025-08-22,0.005060713267634327,-0.0005755426070138535,0.003003513825599935,0.002003513825599935,0.012781135021137757,-0.010777621195537823
KO,2026-03-19,2026-03-27,2026-04-07,2026-04-08,2026-04-15,0.002117865113442892,-0.002641685536577836,-0.02561778285568994,-0.026617782855689942,0.013260751506139146,-0.03987853436182909
KO,2026-04-07,2026-04-08,2026-04-14,2026-04-28,2026-05-05,0.018179320478548845,0.017984157686764018,0.001659258009000908,0.0006592580090009079,0.0332621872244232,-0.032602929215422294
KO,2026-05-29,2026-06-05,2026-06-16,2026-06-17,2026-06-25,0.005948752562806917,-0.016586619715982832,0.0061303338316478495,0.0051303338316478495,0.009860612179309003,-0.004730278347661153
GILD,2016-10-11,2016-10-20,2016-10-28,2016-11-09,2016-11-16,0.006637717080493829,0.005786860332685791,-0.03147691056423052,-0.03247691056423052,0.008836964680951187,-0.04131387524518171
GILD,2016-12-01,2016-12-12,2016-12-22,2016-12-23,2017-01-03,0.008649179037013956,-0.004109829141685273,0.007061513486859461,0.006061513486859461,-0.002413714690123525,0.008475228176982985
GILD,2017-04-11,2017-04-25,2017-05-03,2017-05-04,2017-05-11,0.016661708428663775,-0.0013408100909887873,-0.020123724379082164,-0.021123724379082165,0.0001563727433644413,-0.021280097122446606
GILD,2017-05-17,2017-05-31,2017-06-07,2017-06-12,2017-06-19,0.0058904184674464415,0.008784093338123071,-0.0015057156849491715,-0.0025057156849491715,-0.00022217087639619937,-0.002283544808552972
GILD,2017-06-07,2017-06-14,2017-06-16,2017-06-20,2017-06-27,0.018546240117331775,0.013386354720736116,0.07714577744991402,0.07614577744991402,0.006009018112872466,0.07013675933704155
GILD,2017-09-14,2017-09-22,2017-09-28,2017-10-02,2017-10-09,0.011909289173669308,0.028341200603333557,-0.01843922995641767,-0.01943922995641767,-0.0021202253594233555,-0.017319004596994314
GILD,2017-11-14,2017-11-21,2017-11-27,2017-11-28,2017-12-05,0.019114574015498445,0.01117119445405744,0.009643279285401762,0.008643279285401761,0.0015851260897092878,0.007058153195692474
GILD,2018-05-03,2018-05-11,2018-05-24,2018-05-25,2018-06-04,0.014879487703783324,-0.02070731633000852,0.04200056372548633,0.04100056372548633,0.010887588010003668,0.03011297571548266
GILD,2018-05-24,2018-06-01,2018-06-13,2018-06-14,2018-06-21,0.011402581113947133,-0.043777091129153116,0.005200148940887717,0.004200148940887717,-0.01840481852061171,0.022604967461499426
GILD,2018-06-13,2018-06-20,2018-06-26,2018-07-05,2018-07-12,0.010463977787520094,0.01693256520075984,0.06578774145668831,0.06478774145668831,0.027237216602981507,0.0375505248537068
GILD,2018-12-21,2019-01-02,2019-01-14,2019-01-15,2019-01-23,0.013094949262674262,-0.060056616809036886,-0.003940278792960772,-0.004940278792960772,0.007619577944176781,-0.012559856737137554
