stock,L_date,L2_date,entry_date,exit_date,fall,retest_pct,ret,ret_net,bench_ret,excess_ret
EMR,2016-10-17,2016-10-19,2016-10-20,2016-10-27,0.0763941060061088,0.004427510095267965,-0.006181262587706682,-0.007181262587706682,0.00317509853533271,-0.010356361123039393
EMR,2017-02-28,2017-03-02,2017-03-03,2017-03-10,0.05695915200889364,0.0034944927046709146,-0.014079776571101377,-0.015079776571101378,-0.0036376562490636477,-0.01144212032203773
EMR,2017-04-13,2017-04-18,2017-04-19,2017-04-26,0.03324423573689956,0.0093315829307286,0.051709316015330575,0.050709316015330574,0.026787912377105316,0.023921403638225258
EMR,2017-05-04,2017-05-08,2017-05-09,2017-05-16,0.04981994360289695,0.007735361308361923,0.003940509340689458,0.0029405093406894576,-0.0005168911597026593,0.003457400500392117
EMR,2018-05-29,2018-05-31,2018-06-01,2018-06-08,0.04468139770857511,0.0009889995940828853,0.024940559203666002,0.023940559203666,0.027552184519008982,-0.003611625315342981
EMR,2018-06-27,2018-06-29,2018-07-02,2018-07-10,0.05967080557218888,0.008607061208861807,0.022321231500288974,0.021321231500288973,0.029655362530416562,-0.00833413103012759
EMR,2018-10-11,2018-10-15,2018-10-16,2018-10-23,0.09322487892509324,0.0030900358338938846,-0.06252523535518462,-0.06352523535518462,-0.029338266247269984,-0.03418696910791463
EMR,2018-10-24,2018-10-26,2018-10-29,2018-11-05,0.10797292575138366,0.0036357912644723028,0.06060631373844738,0.05960631373844738,0.04429574855657448,0.015310565181872904
EMR,2019-08-05,2019-08-07,2019-08-08,2019-08-15,0.11651048512749879,0.002186665095362183,-0.0637170572183946,-0.0647170572183946,-0.0247393005405655,-0.0399777566778291
EMR,2020-01-27,2020-01-29,2020-01-30,2020-02-06,0.05303718716844713,0.0023056259630328192,0.019233196949248743,0.018233196949248742,0.015274445357754463,0.0029587515914942797
EMR,2020-02-18,2020-02-20,2020-02-21,2020-02-28,0.05384942682779486,0.00811840681901276,-0.11069527199966445,-0.11169527199966445,-0.11001622909761555,-0.0016790429020488995
EMR,2020-06-24,2020-06-26,2020-06-29,2020-07-07,0.09486937676609901,0.004024842153064224,-0.009123449363215852,-0.010123449363215853,0.023603733415066497,-0.03372718277828235
EMR,2020-09-23,2020-09-25,2020-09-28,2020-10-05,0.075264188250193,0.006886910755198132,0.031593396836220755,0.030593396836220754,0.013273297643545678,0.017320099192675076
EMR,2020-12-22,2020-12-24,2020-12-28,2021-01-05,0.0377246658049424,0.008193910351177143,-0.0063857911751967755,-0.0073857911751967755,0.011543219414190231,-0.018929010589387008
EMR,2021-12-20,2021-12-22,2021-12-23,2021-12-31,0.04718289077780557,0.004583067048368837,0.01851433549851267,0.017514335498512668,0.009568993711807083,0.007945341786705584
EMR,2022-01-26,2022-01-28,2022-01-31,2022-02-07,0.07068825586594694,0.0014351430231570816,0.041109395593706965,0.040109395593706965,-0.007694669886443739,0.047804065480150704
EMR,2022-04-12,2022-04-14,2022-04-18,2022-04-25,0.0629921359213254,0.0004311713350256943,-0.018729342180802244,-0.019729342180802245,-0.009261329811316887,-0.010468012369485358
EMR,2023-02-21,2023-02-23,2023-02-24,2023-03-03,0.09471566874526864,0.003168631038718257,0.0408859203639762,0.0398859203639762,0.01695549186848888,0.02293042849548732
EMR,2023-03-15,2023-03-17,2023-03-20,2023-03-27,0.07596099937286137,0.003849530286161589,0.005712953985169689,0.004712953985169689,0.006660767648984489,-0.0019478136638148005
EMR,2023-04-26,2023-04-28,2023-05-01,2023-05-08,0.05488710894801068,0.009456928386265998,0.005519032244930777,0.004519032244930777,-0.017821682530572924,0.0223407147755037
EMR,2024-01-09,2024-01-11,2024-01-12,2024-01-22,0.030532794707719912,0.0019022968250578956,0.013386582791662605,0.012386582791662604,0.008106740096453402,0.004279842695209202
