variant,stock,entry_date,exit_date,exit_reason,ret,ret_net,touch_gap,provisional_sessions,bench_ret,excess_ret
gap60+conf2,MSFT,2020-07-28,2020-08-04,hold_days,0.05578667267067816,0.05478667267067816,22,2,0.018221812955100614,0.03656485971557755
base,MSFT,2020-09-11,2020-09-18,hold_days,-0.01784041494392008,-0.01884041494392008,19,3,-0.005403093319759855,-0.013437321624160226
gap60,MSFT,2020-09-11,2020-09-18,hold_days,-0.01784041494392008,-0.01884041494392008,19,3,-0.005403093319759855,-0.013437321624160226
conf2,MSFT,2020-09-11,2020-09-18,hold_days,-0.01784041494392008,-0.01884041494392008,19,3,-0.005403093319759855,-0.013437321624160226
gap60+conf2,MSFT,2020-09-11,2020-09-18,hold_days,-0.01784041494392008,-0.01884041494392008,19,3,-0.005403093319759855,-0.013437321624160226
base,MSFT,2020-10-29,2020-11-05,hold_days,0.09070923403796072,0.08970923403796072,55,1,0.06365376069902973,0.02605547333893099
gap60,MSFT,2020-10-29,2020-11-05,hold_days,0.09070923403796072,0.08970923403796072,55,1,0.06365376069902973,0.02605547333893099
base,MSFT,2021-11-30,2021-12-07,hold_days,0.013097847751933456,0.012097847751933455,11,2,0.03624010471458905,-0.024142256962655595
gap60,MSFT,2021-11-30,2021-12-07,hold_days,0.013097847751933456,0.012097847751933455,11,2,0.03624010471458905,-0.024142256962655595
conf2,MSFT,2021-11-30,2021-12-07,hold_days,0.013097847751933456,0.012097847751933455,11,2,0.03624010471458905,-0.024142256962655595
gap60+conf2,MSFT,2021-11-30,2021-12-07,hold_days,0.013097847751933456,0.012097847751933455,11,2,0.03624010471458905,-0.024142256962655595
base,MSFT,2022-06-08,2022-06-15,hold_days,-0.06896945835604862,-0.06996945835604862,28,2,-0.033521755235905615,-0.036447703120143005
gap60,MSFT,2022-06-08,2022-06-15,hold_days,-0.06896945835604862,-0.06996945835604862,28,2,-0.033521755235905615,-0.036447703120143005
conf2,MSFT,2022-06-08,2022-06-15,hold_days,-0.06896945835604862,-0.06996945835604862,28,2,-0.033521755235905615,-0.036447703120143005
gap60+conf2,MSFT,2022-06-08,2022-06-15,hold_days,-0.06896945835604862,-0.06996945835604862,28,2,-0.033521755235905615,-0.036447703120143005
base,MSFT,2022-09-29,2022-10-06,hold_days,0.0391157313880901,0.0381157313880901,347,2,0.02568936011143963,0.012426371276650472
conf2,MSFT,2022-09-29,2022-10-06,hold_days,0.0391157313880901,0.0381157313880901,347,2,0.02568936011143963,0.012426371276650472
base,MSFT,2023-06-23,2023-06-30,hold_days,0.016476682253310893,0.015476682253310892,16,2,0.01752917893374306,-0.00205249668043217
gap60,MSFT,2023-06-23,2023-06-30,hold_days,0.016476682253310893,0.015476682253310892,16,2,0.01752917893374306,-0.00205249668043217
conf2,MSFT,2023-06-23,2023-06-30,hold_days,0.016476682253310893,0.015476682253310892,16,2,0.01752917893374306,-0.00205249668043217
gap60+conf2,MSFT,2023-06-23,2023-06-30,hold_days,0.016476682253310893,0.015476682253310892,16,2,0.01752917893374306,-0.00205249668043217
gap60,MSFT,2023-08-07,2023-08-14,hold_days,-0.018387607353563817,-0.019387607353563818,27,2,-0.010035026409788372,-0.009352580943775446
gap60+conf2,MSFT,2023-08-07,2023-08-14,hold_days,-0.018387607353563817,-0.019387607353563818,27,2,-0.010035026409788372,-0.009352580943775446
base,MSFT,2024-04-29,2024-05-06,hold_days,0.028067067302504967,0.027067067302504966,35,2,0.0024340356056715695,0.024633031696833396
gap60,MSFT,2024-04-29,2024-05-06,hold_days,0.028067067302504967,0.027067067302504966,35,2,0.0024340356056715695,0.024633031696833396
conf2,MSFT,2024-04-29,2024-05-06,hold_days,0.028067067302504967,0.027067067302504966,35,2,0.0024340356056715695,0.024633031696833396
gap60+conf2,MSFT,2024-04-29,2024-05-06,hold_days,0.028067067302504967,0.027067067302504966,35,2,0.0024340356056715695,0.024633031696833396
base,MSFT,2025-08-29,2025-09-08,hold_days,-0.016755742914611127,-0.017755742914611128,25,3,-0.017784522708577777,2.877979396664898e-05
gap60,MSFT,2025-08-29,2025-09-08,hold_days,-0.016755742914611127,-0.017755742914611128,25,3,-0.017784522708577777,2.877979396664898e-05
conf2,MSFT,2025-08-29,2025-09-08,hold_days,-0.016755742914611127,-0.017755742914611128,25,3,-0.017784522708577777,2.877979396664898e-05
gap60+conf2,MSFT,2025-08-29,2025-09-08,hold_days,-0.016755742914611127,-0.017755742914611128,25,3,-0.017784522708577777,2.877979396664898e-05
base,MSFT,2026-03-16,2026-03-23,hold_days,-0.04238023098116506,-0.04338023098116506,506,1,-0.015844559230253963,-0.027535671750911095
gap60,MSFT,2026-03-17,2026-03-24,hold_days,-0.06677347107895781,-0.06777347107895781,25,2,-0.016526854346377795,-0.05124661673258002
conf2,MSFT,2026-03-17,2026-03-24,hold_days,-0.06677347107895781,-0.06777347107895781,506,2,-0.016526854346377795,-0.05124661673258002
gap60+conf2,MSFT,2026-03-17,2026-03-24,hold_days,-0.06677347107895781,-0.06777347107895781,25,2,-0.016526854346377795,-0.05124661673258002
base,GD,2016-09-13,2016-09-20,hold_days,0.008366397025157957,0.007366397025157957,268,2,0.017731373282496854,-0.010364976257338898
gap60,GD,2016-09-13,2016-09-20,hold_days,0.008366397025157957,0.007366397025157957,28,2,0.017731373282496854,-0.010364976257338898
conf2,GD,2016-09-13,2016-09-20,hold_days,0.008366397025157957,0.007366397025157957,268,2,0.017731373282496854,-0.010364976257338898
gap60+conf2,GD,2016-09-13,2016-09-20,hold_days,0.008366397025157957,0.007366397025157957,28,2,0.017731373282496854,-0.010364976257338898
base,GD,2017-03-31,2017-04-07,hold_days,0.009001922284965547,0.008001922284965546,40,4,0.0007066184378730078,0.007295303847092538
gap60,GD,2017-03-31,2017-04-07,hold_days,0.009001922284965547,0.008001922284965546,40,4,0.0007066184378730078,0.007295303847092538
conf2,GD,2017-03-31,2017-04-07,hold_days,0.009001922284965547,0.008001922284965546,40,4,0.0007066184378730078,0.007295303847092538
gap60+conf2,GD,2017-03-31,2017-04-07,hold_days,0.009001922284965547,0.008001922284965546,40,4,0.0007066184378730078,0.007295303847092538
base,GD,2017-08-15,2017-08-22,hold_days,0.008722364212751188,0.007722364212751188,43,2,0.0037540518768020004,0.003968312335949188
gap60,GD,2017-08-15,2017-08-22,hold_days,0.008722364212751188,0.007722364212751188,43,2,0.0037540518768020004,0.003968312335949188
conf2,GD,2017-08-15,2017-08-22,hold_days,0.008722364212751188,0.007722364212751188,43,2,0.0037540518768020004,0.003968312335949188
gap60+conf2,GD,2017-08-15,2017-08-22,hold_days,0.008722364212751188,0.007722364212751188,43,2,0.0037540518768020004,0.003968312335949188
base,GD,2017-10-30,2017-11-06,hold_days,-0.018431249128896376,-0.019431249128896377,67,2,-0.007367229922686014,-0.012064019206210363
conf2,GD,2017-10-30,2017-11-06,hold_days,-0.018431249128896376,-0.019431249128896377,67,2,-0.007367229922686014,-0.012064019206210363
gap60,GD,2020-01-02,2020-01-09,hold_days,0.01782249811993708,0.01682249811993708,18,2,0.009743691322124937,0.007078806797812143
gap60+conf2,GD,2020-01-02,2020-01-09,hold_days,0.01782249811993708,0.01682249811993708,18,2,0.009743691322124937,0.007078806797812143
base,GD,2020-03-03,2020-03-10,hold_days,-0.03570314458111057,-0.03670314458111057,826,2,-0.03188941999882022,-0.004813724582290346
conf2,GD,2020-03-03,2020-03-10,hold_days,-0.03570314458111057,-0.03670314458111057,826,2,-0.03188941999882022,-0.004813724582290346
