stock,entry_date,exit_date,branch,z,spy_z,ret,ret_net,bench_ret,excess_ret
KO,2016-09-01,2016-09-09,market_wide,-2.6915837880029736,-2.664520038772374,-0.024913152445278808,-0.02591315244527881,-0.021258326163378083,-0.004654826281900726
KO,2016-09-13,2016-09-20,market_wide,-2.6851172280839077,-3.378579969214353,0.0014193320454618519,0.00041933204546185186,0.006249452343911388,-0.005830120298449536
KO,2016-09-26,2016-10-03,market_wide,-2.9019995202548774,-1.7188789664463393,-0.0004750182221220367,-0.0014750182221220367,0.011602844930675316,-0.013077863152797353
KO,2016-10-04,2016-10-11,market_wide,-3.457796855975426,-2.189239366465673,-0.007170543045198485,-0.008170543045198486,-0.018590868194333643,0.010420325149135157
KO,2016-10-12,2016-10-19,market_wide,-2.2758249561354567,-3.0486929421193127,0.006462309852520276,0.005462309852520276,0.0020919001610206767,0.0033704096914995993
KO,2016-11-02,2016-11-09,market_wide,-2.3339337503597553,-4.557383747539192,0.005232188733812038,0.004232188733812038,0.03270424473825062,-0.028472056004438584
KO,2016-11-10,2016-11-17,idiosyncratic,-6.155856094655897,0.21788190300646382,0.004396663853365901,0.003396663853365901,0.009466536035937834,-0.006069872182571933
KO,2016-11-18,2016-11-28,idiosyncratic,-2.902770401107407,-0.15889226070605178,0.020532834208486284,0.019532834208486283,0.006212114961273052,0.01332071924721323
KO,2016-12-01,2016-12-08,market_wide,-3.97360592696574,-1.6769748805807436,0.020164127063504456,0.019164127063504455,0.0289940608668684,-0.009829933803363944
KO,2016-12-28,2017-01-05,market_wide,-2.4156116096087867,-3.3707122635186186,0.008697580848650022,0.007697580848650022,0.0075488934335714575,0.00014868741507856418
KO,2017-01-11,2017-01-19,idiosyncratic,-3.183723561982141,-0.08996351199661927,0.002192499468239406,0.001192499468239406,-0.012190639488858901,0.013383138957098306
KO,2017-02-01,2017-02-08,market_wide,-2.7878429152498945,-1.501597394593499,0.018420083732425985,0.017420083732425984,0.006347918607688463,0.01107216512473752
KO,2017-02-09,2017-02-16,idiosyncratic,-3.13807082398545,1.5850776276701584,-0.0012117744669167818,-0.002211774466916782,0.019890730938270318,-0.0221025054051871
KO,2017-03-24,2017-03-31,market_wide,-2.076264824067102,-2.6907067456650946,0.0075970702875258755,0.0065970702875258755,0.009694580676122166,-0.003097510388596291
KO,2017-04-27,2017-05-04,idiosyncratic,-2.4619947773498527,0.02384977772309491,0.015112591139647247,0.014112591139647246,0.0034311589762321404,0.010681432163415105
KO,2017-06-22,2017-06-29,market_wide,-2.162075127826626,-2.5536897411341766,-0.0053247131085664146,-0.006324713108566415,-0.004602722087800437,-0.0017219910207659775
KO,2017-06-30,2017-07-10,market_wide,-3.4489638785416012,-2.926682673442615,-0.010479846171378537,-0.011479846171378538,-0.0033241423366902056,-0.008155703834688333
KO,2017-07-11,2017-07-18,market_wide,-2.970202379231146,-1.4219485241308625,0.007669904600593025,0.006669904600593025,0.014315573296882933,-0.007645668696289908
KO,2017-08-08,2017-08-15,market_wide,-2.0815862260543123,-1.8879330824534106,0.012938727659347782,0.011938727659347781,0.0008149247698097106,0.01112380288953807
KO,2017-08-18,2017-08-25,market_wide,-2.1348505599525844,-2.9771997997229644,-0.002189214383131799,-0.003189214383131799,0.0037825368368775703,-0.006971751220009369
KO,2017-08-28,2017-09-05,market_wide,-2.9328378383147973,-1.4969953909598352,0.011007993005255123,0.010007993005255122,0.017239168872802857,-0.0072311758675477344
KO,2017-09-20,2017-09-27,idiosyncratic,-2.8900866629963136,0.050685240016641035,-0.024901820454640622,-0.025901820454640623,0.0034322151961498903,-0.029334035650790513
KO,2017-09-28,2017-10-05,idiosyncratic,-2.7454409937254844,0.630416327762498,0.013582899980117524,0.012582899980117523,0.016043105801728963,-0.0034602058216114395
KO,2017-10-25,2017-11-01,market_wide,-2.9301270717754733,-2.380166392567997,-0.005428830173179411,-0.006428830173179411,-0.011711320894867483,0.005282490721688072
KO,2017-11-02,2017-11-09,idiosyncratic,-2.913609623630552,-0.1450427873383954,0.007629028706962915,0.006629028706962915,0.004225869492747947,0.002403159214214968
KO,2017-11-17,2017-11-27,market_wide,-3.1347126895245108,-1.6708104572436333,0.004156714177421916,0.0031567141774219163,0.007126143239104099,-0.003969429061682183
KO,2017-11-28,2017-12-05,idiosyncratic,-2.542809185042472,1.9504938369483182,0.01765792493093299,0.016657924930932988,0.0015851385716729727,0.015072786359260015
KO,2017-12-08,2017-12-15,idiosyncratic,-2.724733355888679,0.30980598315258756,0.0194218966475872,0.0184218966475872,0.006957968916041279,0.01146392773154592
KO,2017-12-28,2018-01-05,idiosyncratic,-2.291298897692059,-0.28631869721518866,0.007655241409393776,0.006655241409393776,0.032501309579467286,-0.02584606817007351
KO,2018-02-01,2018-02-08,market_wide,-2.4154944291623277,-2.391087693996857,-0.09167524473115463,-0.09267524473115463,-0.08856422518268203,-0.004111019548472594
KO,2018-02-09,2018-02-16,market_wide,-2.9961341174553575,-2.540615426058612,0.042893819313122306,0.041893819313122305,0.04287008757292288,-0.0009762682598005723
KO,2018-02-28,2018-03-07,market_wide,-3.413110273941946,-1.8859426273456639,0.013882183328819409,0.012882183328819408,0.007365617720358708,0.0055165656084606995
KO,2018-03-16,2018-03-23,market_wide,-2.611204317778012,-1.1868471801027514,-0.02600071401331361,-0.02700071401331361,-0.07075662520755666,0.04375591119424305
KO,2018-03-26,2018-04-03,market_wide,-2.513620817715351,-2.084860869718331,0.016163208445942212,0.015163208445942211,-0.015202325035070574,0.030365533481012785
KO,2018-04-20,2018-04-27,market_wide,-3.138721460414072,-1.0473235842208724,-0.009831103180674261,-0.010831103180674262,-0.004337780351311937,-0.006493322829362325
KO,2018-05-01,2018-05-08,market_wide,-2.8676345245863692,-2.115896820702937,-0.01831391061484955,-0.01931391061484955,-0.0035839746124064487,-0.0157299360024431
