variant,stock,entry_date,exit_date,ret,ret_net,drop_a,drop_b,bench_ret,excess_ret
hold,PFE,2019-01-15,2019-01-23,-0.013339885049150846,-0.014339885049150847,0.031179614428873972,0.011965093405418915,0.0021365151238128544,-0.0164764001729637
within,PFE,2019-01-15,2019-01-23,-0.013339885049150846,-0.014339885049150847,0.031179614428873972,0.011965093405418915,0.0021365151238128544,-0.0164764001729637
within,PFE,2019-02-12,2019-02-20,0.007881739768461182,0.006881739768461182,0.02790426459042481,0.013109209923009001,0.01360291492322907,-0.006721175154767888
within,PFE,2019-08-26,2019-09-03,0.03673964071435232,0.035739640714352316,0.06542308532999722,0.021320196230526965,0.006186611729810609,0.029553028984541707
hold,PFE,2020-03-19,2020-03-26,0.043721158734302934,0.04272115873430293,0.19270517414039576,0.0805014539916702,0.08695630352026118,-0.04423514478595825
within,PFE,2020-03-19,2020-03-26,0.043721158734302934,0.04272115873430293,0.19270517414039576,0.0805014539916702,0.08695630352026118,-0.04423514478595825
hold,PFE,2020-06-16,2020-06-23,-0.01886227095855042,-0.01986227095855042,0.137016413788749,0.011622808511690189,0.0031116822175838443,-0.022973953176134265
within,PFE,2020-06-16,2020-06-23,-0.01886227095855042,-0.01986227095855042,0.137016413788749,0.011622808511690189,0.0031116822175838443,-0.022973953176134265
hold,PFE,2020-08-17,2020-08-24,0.01277709543426897,0.01177709543426897,0.028435201090912708,0.007068821015896397,-0.0005630694282234838,0.012340164862492453
within,PFE,2020-08-17,2020-08-24,0.01277709543426897,0.01177709543426897,0.028435201090912708,0.007068821015896397,-0.0005630694282234838,0.012340164862492453
hold,PFE,2020-12-29,2021-01-06,-0.004858516100570975,-0.005858516100570975,0.1470489117331078,0.016698509191898137,0.00905813087696572,-0.014916646977536696
within,PFE,2020-12-29,2021-01-06,-0.004858516100570975,-0.005858516100570975,0.1470489117331078,0.016698509191898137,0.00905813087696572,-0.014916646977536696
hold,PFE,2021-01-07,2021-01-14,-0.008364932447073037,-0.009364932447073038,0.05223175263520594,0.0,0.009061112736701293,-0.01842604518377433
within,PFE,2021-01-07,2021-01-14,-0.008364932447073037,-0.009364932447073038,0.05223175263520594,0.0,0.009061112736701293,-0.01842604518377433
hold,PFE,2021-02-17,2021-02-24,-0.03267398392193488,-0.03367398392193488,0.0418089824755926,0.0008647228830726062,-0.015199059666409886,-0.018474924255524994
within,PFE,2021-02-17,2021-02-24,-0.03267398392193488,-0.03367398392193488,0.0418089824755926,0.0008647228830726062,-0.015199059666409886,-0.018474924255524994
hold,PFE,2021-06-24,2021-07-01,0.009441483558777053,0.008441483558777052,0.047058647860950764,0.014238896768461556,0.015449177943510639,-0.007007694384733587
within,PFE,2021-06-24,2021-07-01,0.009441483558777053,0.008441483558777052,0.047058647860950764,0.014238896768461556,0.015449177943510639,-0.007007694384733587
within,PFE,2021-12-27,2022-01-03,-0.04307422992325094,-0.04407422992325094,0.038274188191652514,0.01420635923521634,-0.008263883144511652,-0.03581034677873929
hold,PFE,2022-05-09,2022-05-16,0.05023039728137535,0.04923039728137535,0.0699024690775309,0.02466719193498592,0.008937007603017966,0.04029338967835738
within,PFE,2022-05-09,2022-05-16,0.05023039728137535,0.04923039728137535,0.0699024690775309,0.02466719193498592,0.008937007603017966,0.04029338967835738
hold,PFE,2022-07-21,2022-07-28,-0.00012590343064555753,-0.0011259034306455576,0.05127363067502346,0.010764182045798196,0.013387178027822522,-0.01451308145846808
within,PFE,2022-07-21,2022-07-28,-0.00012590343064555753,-0.0011259034306455576,0.05127363067502346,0.010764182045798196,0.013387178027822522,-0.01451308145846808
within,PFE,2022-09-27,2022-10-04,0.008391616177791494,0.007391616177791494,0.08549215118367863,0.016742401598035257,0.03650748214326871,-0.029115865965477217
hold,PFE,2024-10-30,2024-11-06,-0.04067322896821979,-0.04167322896821979,0.041988193536505534,0.013957190192673743,0.03182961377811422,-0.07350284274633401
within,PFE,2024-10-30,2024-11-06,-0.04067322896821979,-0.04167322896821979,0.041988193536505534,0.013957190192673743,0.03182961377811422,-0.07350284274633401
hold,PFE,2024-11-21,2024-11-29,0.04297651312745887,0.04197651312745887,0.10915703217369936,0.006395031506674697,0.01245648705266822,0.02952002607479065
within,PFE,2024-11-21,2024-11-29,0.04297651312745887,0.04197651312745887,0.10915703217369936,0.006395031506674697,0.01245648705266822,0.02952002607479065
within,PFE,2025-02-10,2025-02-18,-0.011982944837361731,-0.012982944837361732,0.039414131333598335,0.026831788377985027,-0.0004177949587531593,-0.012565149878608572
hold,PFE,2025-09-09,2025-09-16,-0.03278018087702039,-0.033780180877020394,0.05316595970901173,0.013352387765797603,0.004982138511143486,-0.03876231938816388
within,PFE,2025-09-09,2025-09-16,-0.03278018087702039,-0.033780180877020394,0.05316595970901173,0.013352387765797603,0.004982138511143486,-0.03876231938816388
hold,PFE,2025-09-19,2025-09-26,-0.011235817624687061,-0.012235817624687062,0.045453036379766575,0.002924591468413749,0.014760501521897451,-0.026996319146584513
within,PFE,2025-09-19,2025-09-26,-0.011235817624687061,-0.012235817624687062,0.045453036379766575,0.002924591468413749,0.014760501521897451,-0.026996319146584513
hold,PFE,2026-03-09,2026-03-16,-0.007459881640851651,-0.008459881640851652,0.039466680105418254,0.0003757972950650832,-0.002667510475196422,-0.00579237116565523
within,PFE,2026-03-09,2026-03-16,-0.007459881640851651,-0.008459881640851652,0.039466680105418254,0.0003757972950650832,-0.002667510475196422,-0.00579237116565523
within,PFE,2026-04-13,2026-04-20,0.006583820285460007,0.005583820285460007,0.05212318310137398,0.0202249554750819,0.02589266673668411,-0.020308846451224105
hold,PFE,2026-04-15,2026-04-22,-0.014343470591252738,-0.01534347059125274,0.05878739431232301,0.0084481321995277,0.026113049054577342,-0.04145651964583008
hold,PFE,2026-05-05,2026-05-12,-0.0057833288930907445,-0.0067833288930907445,0.04831854750478072,0.015094731853880146,0.0165766095327593,-0.023359938425850046
within,PFE,2026-05-05,2026-05-12,-0.0057833288930907445,-0.0067833288930907445,0.04831854750478072,0.015094731853880146,0.0165766095327593,-0.023359938425850046
within,PFE,2026-07-07,2026-07-14,0.007478245963904007,0.006478245963904007,0.08659256851443245,0.024980539487242253,0.01503732976309613,-0.008559083799192124
hold,PFE,2026-07-23,2026-07-30,0.013425546164782087,0.012425546164782086,0.01563465201605622,0.004823171197774239,-0.0027103864486486273,0.015135932613430714
within,PFE,2026-07-23,2026-07-30,0.013425546164782087,0.012425546164782086,0.01563465201605622,0.004823171197774239,-0.0027103864486486273,0.015135932613430714
hold,PFE,2026-08-27,2026-09-03,0.02819411118031656,0.02719411118031656,0.016063127821259775,0.0035688968373245892,-0.003924479390558289,0.03111859057087485
within,PFE,2026-08-27,2026-09-03,0.02819411118031656,0.02719411118031656,0.016063127821259775,0.0035688968373245892,-0.003924479390558289,0.03111859057087485
within,UNP,2016-09-14,2016-09-21,0.024913755622104405,0.023913755622104405,0.041304989868369654,0.014711679356334328,0.02956682387995757,-0.005653068257853167
hold,UNP,2016-12-19,2016-12-27,0.022340465284898414,0.021340465284898413,0.03356742005083333,0.013174053576054735,0.015921396534124943,0.00541906875077347
within,UNP,2016-12-19,2016-12-27,0.022340465284898414,0.021340465284898413,0.03356742005083333,0.013174053576054735,0.015921396534124943,0.00541906875077347
hold,UNP,2017-01-10,2017-01-18,0.0033843751301683156,0.0023843751301683156,0.03445302918486144,0.007490108664001979,-0.001664276540511489,0.0040486516706798046
within,UNP,2017-01-10,2017-01-18,0.0033843751301683156,0.0023843751301683156,0.03445302918486144,0.007490108664001979,-0.001664276540511489,0.0040486516706798046
hold,UNP,2017-02-06,2017-02-13,0.005849887252491692,0.004849887252491692,0.035395108851853596,0.0037207241869805243,0.0045818120651057725,0.0002680751873859197
within,UNP,2017-02-06,2017-02-13,0.005849887252491692,0.004849887252491692,0.035395108851853596,0.0037207241869805243,0.0045818120651057725,0.0002680751873859197
hold,UNP,2017-05-22,2017-05-30,0.0333352178897075,0.0323352178897075,0.043341633669525995,0.0008403631238447325,0.022568384620103243,0.009766833269604258
within,UNP,2017-05-22,2017-05-30,0.0333352178897075,0.0323352178897075,0.043341633669525995,0.0008403631238447325,0.022568384620103243,0.009766833269604258
hold,UNP,2017-06-12,2017-06-19,0.01543675072454409,0.01443675072454409,0.02034968004481005,0.0008196860552735388,0.014033206158815537,0.000403544565728553
within,UNP,2017-06-12,2017-06-19,0.01543675072454409,0.01443675072454409,0.02034968004481005,0.0008196860552735388,0.014033206158815537,0.000403544565728553
hold,UNP,2017-06-30,2017-07-10,-0.0037646210367263677,-0.004764621036726368,0.040885604460987546,0.008123475146702312,0.012504358396544957,-0.017268979433271325
within,UNP,2017-06-30,2017-07-10,-0.0037646210367263677,-0.004764621036726368,0.040885604460987546,0.008123475146702312,0.012504358396544957,-0.017268979433271325
hold,UNP,2017-08-02,2017-08-09,0.014072269112542335,0.013072269112542334,0.07712555224915532,0.012860686516241683,0.014623952662015771,-0.0015516835494734371
within,UNP,2017-08-02,2017-08-09,0.014072269112542335,0.013072269112542334,0.07712555224915532,0.012860686516241683,0.014623952662015771,-0.0015516835494734371
within,UNP,2018-04-30,2018-05-07,0.009503961152558693,0.008503961152558692,0.04511591419676832,0.028931628348021057,0.016029170771056256,-0.007525209618497564
hold,UNP,2019-03-14,2019-03-21,-0.015499279100763985,-0.016499279100763986,0.02980078997826735,0.004660668521506982,0.026950345712207335,-0.04344962481297132
within,UNP,2019-03-14,2019-03-21,-0.015499279100763985,-0.016499279100763986,0.02980078997826735,0.004660668521506982,0.026950345712207335,-0.04344962481297132
within,UNP,2019-03-25,2019-04-01,0.05832846046469342,0.05732846046469342,0.03712471800518532,0.012313244760303266,0.027510261169622963,0.029818199295070458
hold,UNP,2019-06-12,2019-06-19,-0.030952531047090726,-0.031952531047090726,0.016743067253738222,0.008037142636746661,0.014799288772610941,-0.04675181981970167
within,UNP,2019-06-12,2019-06-19,-0.030952531047090726,-0.031952531047090726,0.016743067253738222,0.008037142636746661,0.014799288772610941,-0.04675181981970167
hold,UNP,2019-08-09,2019-08-16,-0.010475296494276809,-0.01147529649427681,0.0756438227161084,0.008411837637541119,-0.011599073246435387,0.00012377675215857753
