stock,low_date,entry_date,exit_date,branch,pct1,ret,ret_net,bench_ret,excess_ret
KO,2015-12-11,2015-12-14,2015-12-21,flat,0.004258239872090927,0.00777389046319521,0.00677389046319521,0.005147928142902103,0.001625962320293107
KO,2016-01-04,2016-01-05,2016-01-12,flat,0.003538062110999352,-0.010105969134457493,-0.011105969134457494,-0.03859569859134249,0.027489729456884993
KO,2016-01-20,2016-01-21,2016-01-28,flat,0.00024153907100367205,0.0285092011946928,0.0275092011946928,-0.007477876814640072,0.03498707800933287
KO,2016-05-20,2016-05-23,2016-05-31,flat,0.00045467655029135,0.014328299596372496,0.013328299596372495,0.028040023188013574,-0.01471172359164108
KO,2016-06-17,2016-06-20,2016-06-27,flat,0.004242338462936083,-0.02667894581921082,-0.02767894581921082,-0.03629564113924788,0.00861669532003706
KO,2016-08-26,2016-08-31,2016-09-08,rebound_retest,0.005078590914493753,0.00460512494838583,0.0036051249483858303,-0.0032733366194356295,0.00687846156782146
KO,2016-11-10,2016-11-11,2016-11-18,flat,0.0021983638263230964,-0.002924891180142386,-0.003924891180142386,0.00781506106088381,-0.011739952241026197
KO,2017-01-10,2017-01-11,2017-01-19,flat,0.00024373323155894828,0.0021922479178733134,0.0011922479178733134,-0.012190537892346587,0.0133827858102199
KO,2017-02-10,2017-02-13,2017-02-21,flat,0.0009857935288402593,0.02067937212585469,0.01967937212585469,0.013914419966166935,0.005764952159687753
KO,2017-06-08,2017-06-09,2017-06-16,flat,0.004210250868285654,0.008006852186943414,0.007006852186943414,-0.006225744525220289,0.013232596712163702
KO,2017-09-27,2017-10-02,2017-10-09,rebound_retest,0.006048138994280243,0.013616025585672986,0.012616025585672985,-0.0021202023328233954,0.01473622791849638
KO,2017-12-08,2017-12-11,2017-12-18,flat,0.0004411489562686595,0.01323633803526958,0.012236338035269578,0.0075051584987397835,0.004731179536529795
KO,2018-02-08,2018-02-09,2018-02-16,flat,0.0006964644473191096,0.042893336711426366,0.041893336711426366,0.04286996878243721,-0.0009766320710108412
KO,2018-08-31,2018-09-04,2018-09-11,flat,0.0042630410029794435,0.02815049521433366,0.02715049521433366,-0.0017676841123345222,0.02891817932666818
KO,2018-10-11,2018-10-12,2018-10-19,flat,0.0008956407070606977,0.036929716768417276,0.035929716768417275,-0.0052936071805180784,0.04122332394893535
KO,2018-12-20,2018-12-21,2018-12-31,flat,0.0006311063931148636,-0.004624924202969116,-0.005624924202969116,0.04203001077393975,-0.04765493497690887
KO,2019-08-01,2019-08-06,2019-08-13,rebound_retest,0.005765990050161323,0.02353175979349431,0.02253175979349431,0.021078872897289047,0.0014528868962052632
KO,2019-09-20,2019-09-23,2019-09-30,flat,0.004266526609836721,0.0055411539351508665,0.0045411539351508665,-0.00912829051630526,0.013669444451456125
KO,2020-10-28,2020-10-29,2020-11-05,flat,0.001251043050375593,0.0295710558565232,0.028571055856523198,0.06595146764066251,-0.03738041178413931
KO,2021-08-24,2021-08-25,2021-09-01,flat,0.0010711093822398086,0.011057742550348637,0.010057742550348636,0.004150805151653003,0.005906937398695633
