stock,low_date,entry_date,exit_date,branch,pct1,ret,ret_net,bench_ret,excess_ret
KO,2015-12-11,2015-12-14,2015-12-21,flat,0.00425798765567171,0.007774330965862664,0.006774330965862664,0.0032775233494810596,0.003496807616381604
KO,2016-01-04,2016-01-05,2016-01-12,flat,0.003537748363416973,-0.010105660065676147,-0.011105660065676148,-0.037017129788731284,0.025911469723055136
KO,2016-01-20,2016-01-21,2016-01-28,flat,0.0002419894479474971,0.028508929218711065,0.027508929218711065,0.008942715756681707,0.018566213462029357
KO,2016-05-20,2016-05-23,2016-05-31,flat,0.0004553376847386136,0.014327566545178305,0.013327566545178304,0.026272196803705405,-0.012944630258527101
KO,2016-06-17,2016-06-20,2016-06-27,flat,0.0042422223874193175,-0.026678430565215017,-0.027678430565215018,-0.04130529365913638,0.01362686309392136
KO,2016-11-10,2016-11-11,2016-11-18,flat,0.0021987455050057588,-0.0029250175707041803,-0.00392501757070418,0.010901945815126934,-0.014826963385831116
KO,2017-01-10,2017-01-11,2017-01-19,flat,0.0002437331856147279,0.002192121867301333,0.0011921218673013332,-0.004060348000018199,0.005252469867319532
KO,2017-02-10,2017-02-13,2017-02-21,flat,0.0009860480899409052,0.020679628686308682,0.01967962868630868,0.019195699407546396,0.0004839292787622851
KO,2017-06-08,2017-06-09,2017-06-16,flat,0.004210366055350998,0.008007080505327613,0.007007080505327613,9.961573278238767e-05,0.006907464772545225
KO,2017-12-08,2017-12-11,2017-12-18,flat,0.0004413691517761474,0.013236223590900043,0.012236223590900042,0.013123581443817312,-0.0008873578529172699
KO,2018-02-08,2018-02-09,2018-02-16,flat,0.0006961171412449811,0.042893582974497635,0.041893582974497634,0.04706202453855757,-0.0051684415640599335
KO,2018-08-31,2018-09-04,2018-09-11,flat,0.004263260985486434,0.028150050950714878,0.027150050950714877,0.00195427197515885,0.025195778975556027
KO,2018-10-11,2018-10-12,2018-10-19,flat,0.0008958586871396202,0.03692939038327947,0.03592939038327947,-0.002191206953476965,0.038120597336756434
KO,2018-12-20,2018-12-21,2018-12-31,flat,0.000630903433630308,-0.004624620520561007,-0.005624620520561007,0.04091572423034817,-0.04654034475090918
KO,2019-05-09,2019-05-13,2019-05-20,rebound_retest,0.016666523772034984,0.016649225568474257,0.015649225568474256,0.008032634338110745,0.007616591230363512
KO,2019-09-16,2019-09-18,2019-09-25,rebound_retest,0.005188960846265296,-0.0011064955745387905,-0.0021064955745387906,-0.008111155305455364,0.006004659730916574
KO,2020-10-28,2020-10-29,2020-11-05,flat,0.0012509477092459379,0.029570765648046393,0.028570765648046392,0.059269338737673705,-0.030698573089627312
KO,2021-08-18,2021-08-20,2021-08-27,rebound_retest,0.006371786643777635,-0.017478926061803457,-0.018478926061803458,0.012640042362428883,-0.03111896842423234
KO,2021-09-07,2021-09-09,2021-09-16,rebound_retest,0.013472397537226677,-0.0016516792656625645,-0.0026516792656625645,-0.004344510783644284,0.0016928315179817197
KO,2022-08-22,2022-08-23,2022-08-30,flat,0.0010901766616115448,-0.03298567983212464,-0.03398567983212464,-0.032795001133562485,-0.0011906786985621531
KO,2022-08-31,2022-09-01,2022-09-09,flat,0.004699465044147518,0.005161240903868158,0.004161240903868158,0.025595190250775834,-0.021433949346907677
KO,2022-12-16,2022-12-19,2022-12-27,flat,0.00143420926175255,0.02180132296577364,0.02080132296577364,0.007032860895389126,0.013768462070384513
KO,2023-01-12,2023-01-13,2023-01-23,flat,0.0035942425370083285,-0.019534551427369262,-0.020534551427369263,-0.0033141936201850353,-0.017220357807184228
KO,2023-02-03,2023-02-07,2023-02-14,rebound_retest,0.00568270493539655,-0.00799068632983535,-0.008990686329835351,-0.005603911646632098,-0.003386774683203253
KO,2023-05-18,2023-05-19,2023-05-26,flat,0.0004777070599158178,-0.040904076136350165,-0.041904076136350166,-0.003702155871845858,-0.03820192026450431
KO,2023-06-23,2023-06-26,2023-07-03,flat,0.00032690719493079474,-0.010454188142110854,-0.011454188142110855,0.02357643060450365,-0.035030618746614506
KO,2023-07-10,2023-07-11,2023-07-18,flat,0.003540458694919474,0.01764124883139928,0.01664124883139928,0.018714823593564578,-0.002073574762165298
KO,2023-08-22,2023-08-23,2023-08-30,flat,0.0034965972018568305,0.0033184030465267522,0.002318403046526752,0.017127627352955033,-0.014809224306428281
KO,2023-09-12,2023-09-13,2023-09-20,flat,0.0024013881461441688,0.00793378464042016,0.006933784640420161,-0.010035287807752868,0.016969072448173028
KO,2023-10-03,2023-10-04,2023-10-11,flat,0.002915374792332685,-0.024164225612560486,-0.025164225612560487,0.02088381002890416,-0.046048035641464646
KO,2024-01-24,2024-01-25,2024-02-01,flat,0.004243809165227084,0.030763982054308858,0.029763982054308857,0.006683459636690703,0.023080522417618154
KO,2024-04-04,2024-04-05,2024-04-12,flat,0.0035412211812031248,-0.02066874861796464,-0.02166874861796464,-0.021404673180651423,-0.0002640754373132159
KO,2024-10-07,2024-10-08,2024-10-15,flat,0.00246335567004946,0.016767873490498353,0.015767873490498352,0.013751417696515222,0.0020164557939831296
KO,2024-11-15,2024-11-18,2024-11-25,flat,0.0019436372635014284,0.04073720418546434,0.039737204185464337,0.01870645763270229,0.021030746552762047
