stock,entry_date,exit_date,exit_reason,ret,ret_net,touch_gap,age_days,bench_ret,excess_ret
KO,2018-09-28,2018-10-05,hold_days,-0.0067113698432779145,-0.0077113698432779145,216,3,-0.012512588349636422,0.0048012185063585075
KO,2019-10-03,2019-10-10,hold_days,-0.0033432701293160116,-0.004343270129316012,27,1,0.0066331708068063655,-0.010976440936122378
KO,2020-10-21,2020-10-28,hold_days,-0.04060823965805316,-0.04160823965805316,29,2,-0.051768089125868166,0.010159849467815008
KO,2021-01-11,2021-01-19,hold_days,-0.03366534793642939,-0.03466534793642939,211,4,0.006636507752767029,-0.04130185568919642
KO,2021-04-29,2021-05-03,resistance,0.004054598534187992,0.003054598534187992,20,2,-0.0010105283197566761,0.004065126853944668
KO,2022-07-19,2022-07-26,hold_days,0.010874830666576463,0.009874830666576462,97,1,0.0011138985148622105,0.008760932151714251
KO,2022-08-10,2022-08-15,resistance,0.013354087592097441,0.01235408759209744,45,2,0.024252039191627883,-0.011897951599530443
KO,2023-05-12,2023-05-19,hold_days,-0.0199656633359927,-0.0209656633359927,91,3,0.016527222086090587,-0.03749288542208329
KO,2023-09-15,2023-09-22,hold_days,-0.005868262639258992,-0.006868262639258992,134,3,-0.029931833448052503,0.02306357080879351
KO,2024-07-12,2024-07-19,hold_days,0.024960776123624573,0.023960776123624572,38,3,-0.010925781625630404,0.034886557749254976
KO,2026-05-27,2026-06-03,hold_days,-0.035040442746024025,-0.036040442746024026,60,1,0.010344956183313547,-0.046385398929337573
KO,2026-07-08,2026-07-15,hold_days,-0.011390998239277694,-0.012390998239277695,16,2,0.0012964326640372281,-0.013687430903314923
GILD,2016-10-03,2016-10-10,hold_days,-0.032551141562781494,-0.033551141562781495,66,4,-0.006486215572972132,-0.027064925989809363
GILD,2017-03-31,2017-04-07,hold_days,-0.019728940146174767,-0.020728940146174768,11,3,-0.006386691955196477,-0.01434224819097829
GILD,2018-05-10,2018-05-17,hold_days,0.03411370970955008,0.03311370970955008,266,3,0.015090104439687613,0.018023605269862464
GILD,2018-10-15,2018-10-22,hold_days,-0.006045778663658408,-0.007045778663658408,446,4,-0.0015190708729344582,-0.0055267077907239495
GILD,2020-01-24,2020-01-31,hold_days,0.0007917795112708514,-0.00020822048872914858,55,3,-0.04036839339274634,0.04016017290401719
GILD,2020-08-13,2020-08-20,hold_days,-0.03124067764288785,-0.03224067764288785,127,2,-0.002404585881159327,-0.029836091761728523
GILD,2021-08-20,2021-08-27,hold_days,-0.016013435864170145,-0.017013435864170146,866,1,0.011363906101410137,-0.028377341965580283
GILD,2021-10-19,2021-10-26,hold_days,0.01240687400683882,0.011406874006838819,176,1,0.023111025838242094,-0.011704151831403276
GILD,2022-09-15,2022-09-22,hold_days,-0.018922954324420482,-0.019922954324420483,231,2,-0.03778219094492563,0.017859236620505148
GILD,2023-06-30,2023-07-10,hold_days,-0.017905596642998622,-0.018905596642998623,1898,1,-0.013021236931655245,-0.005884359711343379
GILD,2025-04-29,2025-05-06,hold_days,-0.0607428311501238,-0.0617428311501238,48,4,-0.0034440991119767395,-0.05829873203814706
GILD,2025-12-12,2025-12-19,hold_days,0.03912718756339095,0.03812718756339095,84,3,-0.0009844597294215163,0.03911164729281247
GILD,2026-06-03,2026-06-10,hold_days,-0.058221527822514885,-0.059221527822514886,25,1,-0.03230689675605947,-0.02691463106645542
EMR,2016-12-19,2016-12-27,hold_days,0.015272492081271016,0.014272492081271015,22,3,0.004662485855314147,0.009610006225956869
EMR,2017-03-02,2017-03-09,hold_days,-0.017078441929264665,-0.018078441929264666,23,2,-0.009710570279969022,-0.008367871649295644
EMR,2017-05-05,2017-05-12,hold_days,-0.017435606171682938,-0.01843560617168294,27,1,-0.00516122071091818,-0.01327438546076476
EMR,2017-11-06,2017-11-13,hold_days,-0.04851211607270378,-0.04951211607270378,31,4,0.010380589211932634,-0.059892705284636416
EMR,2018-04-06,2018-04-13,hold_days,0.03182015036600494,0.03082015036600494,35,4,0.026230829817913248,0.004589320548091691
EMR,2018-08-15,2018-08-16,resistance,0.012110926886203854,0.011110926886203853,46,2,0.008488650133198883,0.0026222767530049707
EMR,2018-10-25,2018-11-01,hold_days,0.042473547995773187,0.041473547995773186,149,1,0.02948940935980393,0.011984138635969255
EMR,2019-11-15,2019-11-22,resistance,0.0017679317657883775,0.0007679317657883775,299,1,-0.00542204984431327,0.006189981610101648
EMR,2021-07-08,2021-07-15,hold_days,0.02592954175266815,0.02492954175266815,35,2,0.010655027839633346,0.014274513913034803
EMR,2022-10-14,2022-10-21,hold_days,0.06315515226796631,0.06215515226796631,77,2,0.051709168965646146,0.010445983302320161
EMR,2024-10-16,2024-10-23,hold_days,-0.018808225976012616,-0.019808225976012617,75,1,-0.025768473272430703,0.005960247296418086
EMR,2024-12-11,2024-12-18,hold_days,-0.06487355994049171,-0.06587355994049171,18,1,-0.03739952251198897,-0.02847403742850274
EMR,2025-01-30,2025-02-06,hold_days,-0.02269230517024734,-0.02369230517024734,50,1,-0.017408140786059012,-0.006284164384188329
EMR,2025-12-19,2025-12-29,hold_days,0.016844667996140483,0.015844667996140482,260,1,0.015292505879685114,0.0005521621164553681
EMR,2026-05-01,2026-05-08,hold_days,0.028083035866767636,0.027083035866767635,158,2,0.03224297170996393,-0.005159935843196295
UPS,2016-10-25,2016-11-01,hold_days,-0.009272748217319493,-0.010272748217319494,28,4,-0.012817790711675658,0.0025450424943561645
UPS,2017-10-13,2017-10-20,hold_days,0.011828241077590285,0.010828241077590284,206,4,0.012958300566247472,-0.0021300594886571877
UPS,2017-12-18,2017-12-26,hold_days,-0.004629269431261185,-0.005629269431261185,35,4,-0.003808796176478335,-0.0018204732547828497
UPS,2018-03-02,2018-03-09,hold_days,0.047546755630202275,0.046546755630202274,183,2,0.03274557449720561,0.013801181132996665
UPS,2019-05-17,2019-05-24,hold_days,-0.03571439321152414,-0.03671439321152414,501,4,-0.012676359306282525,-0.024038033905241618
UPS,2020-10-30,2020-11-06,hold_days,0.06727711987577045,0.06627711987577045,36,2,0.07742430828376778,-0.011147188407997333
UPS,2020-11-30,2020-12-07,hold_days,-0.021043800046859684,-0.022043800046859685,22,3,0.020043552532952535,-0.04208735257981222
UPS,2022-01-24,2022-01-31,hold_days,-0.009405889797174827,-0.010405889797174828,22,3,0.018717689410754135,-0.029123579207928962
UPS,2022-02-24,2022-03-03,hold_days,0.025290503195412928,0.024290503195412927,74,1,0.028514591724287275,-0.004224088528874348
UPS,2025-07-11,2025-07-18,hold_days,-0.020242873250828963,-0.021242873250828964,1414,4,-0.015598148623808594,-0.00564472462702037
MRK,2016-10-14,2016-10-21,hold_days,-0.01512718792087997,-0.01612718792087997,33,2,0.0057536965831646025,-0.021880884504044573
MRK,2018-03-02,2018-03-09,hold_days,0.014348765506841499,0.013348765506841498,57,1,0.03274557449720561,-0.01939680899036411
MRK,2019-10-18,2019-10-25,hold_days,-0.028578371428363614,-0.029578371428363615,53,1,0.0045942872695590165,-0.03417265869792263
MRK,2020-09-10,2020-09-17,hold_days,0.03222326679115506,0.031223266791155058,93,2,0.027149098248591352,0.004074168542563705
MRK,2020-10-09,2020-10-16,hold_days,-0.006595463333698426,-0.007595463333698426,56,3,0.004329632748466317,-0.011925096082164743
MRK,2021-01-12,2021-01-20,hold_days,-0.007582223829678547,-0.008582223829678548,20,4,0.011505914629384106,-0.020088138459062654
MRK,2021-12-09,2021-12-16,hold_days,0.051745595174246484,0.05074559517424648,217,2,0.01580034366406169,0.034945251510184794
MRK,2023-01-19,2023-01-26,hold_days,-0.02757039450362253,-0.02857039450362253,32,1,0.04065804871045886,-0.06922844321408139
MRK,2023-04-27,2023-05-04,hold_days,0.01919054644185514,0.018190546441855138,75,1,-0.02696508776140394,0.045155634203259076
MRK,2023-11-13,2023-11-20,hold_days,0.0020493072227105724,0.0010493072227105724,28,3,0.04562649999253887,-0.0445771927698283
MRK,2024-10-10,2024-10-17,hold_days,0.0031992747268387856,0.0021992747268387855,322,2,0.01300685516511324,-0.010807580438274456
MRK,2025-05-13,2025-05-20,hold_days,0.017486795318233606,0.016486795318233605,16,4,0.015549044502737752,0.0009377508154958525
MRK,2026-01-02,2026-01-09,hold_days,0.03832785594679433,0.03732785594679433,352,2,0.036972412331867766,0.00035544361492656495
MRK,2026-03-23,2026-03-30,hold_days,0.020919746953923957,0.019919746953923956,10,3,-0.01961549760985981,0.03953524456378377
MRK,2026-05-18,2026-05-26,hold_days,0.06361057889109789,0.06261057889109789,427,3,0.03544935633151036,0.027161222559587528
CRM,2018-06-27,2018-07-05,hold_days,0.04916683562586743,0.04816683562586743,12,2,0.013123611230062115,0.03504322439580532
CRM,2019-12-06,2019-12-13,hold_days,0.01974578400389171,0.018745784003891708,66,2,0.010227132563892738,0.00851865143999897
CRM,2021-05-06,2021-05-13,hold_days,-0.02838821811073211,-0.02938821811073211,38,1,-0.013079602027831538,-0.016308616082900573
CRM,2021-07-20,2021-07-27,hold_days,0.014160022646088732,0.013160022646088732,34,1,0.004498257977148867,0.008661764668939864
CRM,2021-09-03,2021-09-13,hold_days,-0.04856227531912949,-0.04956227531912949,197,1,-0.01583251973419686,-0.03372975558493263
CRM,2023-07-20,2023-07-27,hold_days,-0.013192422060454234,-0.014192422060454235,383,2,-0.00015633275874915586,-0.01403608930170508
CRM,2023-09-06,2023-09-13,hold_days,-0.012724448118311416,-0.013724448118311416,683,1,0.001429731106302956,-0.015154179224614373
CRM,2024-03-07,2024-03-14,hold_days,0.0042859647688493485,0.0032859647688493485,580,2,-0.0018772828259357999,0.005163247594785148
CRM,2024-05-02,2024-05-09,hold_days,0.011171318662555274,0.010171318662555273,650,1,0.02547015833848776,-0.015298839675932485
CRM,2024-06-17,2024-06-25,hold_days,0.04894129813551462,0.04794129813551462,612,4,0.006648401101670975,0.041292897033843645
CRM,2025-02-04,2025-02-11,hold_days,-0.05736050376087087,-0.058360503760870874,55,1,-0.00681866676145082,-0.051541836999420054
CRM,2025-02-14,2025-02-24,hold_days,-0.05579730919907422,-0.05679730919907422,56,3,-0.0011840158491720487,-0.05561329334990217
CRM,2025-06-04,2025-06-11,hold_days,0.010411318172474093,0.009411318172474092,212,2,0.027181295666288685,-0.017769977493814593
CRM,2026-01-05,2026-01-12,hold_days,0.012253140563841969,0.011253140563841968,12,3,0.025583165563410226,-0.014330024999568258
XOM,2017-01-23,2017-01-30,hold_days,-0.0012945539282884777,-0.0022945539282884777,118,4,0.008296375695389324,-0.010590929623677803
XOM,2017-02-23,2017-03-02,resistance,0.01858661602454914,0.01758661602454914,106,1,0.004185597274203534,0.013401018750345606
XOM,2018-03-15,2018-03-22,hold_days,-0.012362283691006781,-0.013362283691006782,526,1,-0.041062143528297956,0.027699859837291174
XOM,2018-12-13,2018-12-20,hold_days,-0.10846988535131341,-0.10946988535131341,30,1,-0.06726646617215204,-0.04220341917916137
XOM,2020-01-30,2020-02-06,hold_days,-0.04491437604898829,-0.04591437604898829,1126,1,0.015274415913421269,-0.06118879196240956
XOM,2020-10-06,2020-10-13,hold_days,0.02485777413648682,0.02385777413648682,137,4,0.041961893078963364,-0.018104118942476544
XOM,2020-12-24,2021-01-04,hold_days,-0.0024038527565796164,-0.0034038527565796164,179,2,0.0034250799923649655,-0.006828932748944582
XOM,2023-06-01,2023-06-08,hold_days,0.04672982469684017,0.04572982469684017,10,1,0.01651035264634748,0.02921947205049269
XOM,2023-12-08,2023-12-15,hold_days,0.01356104283763182,0.01256104283763182,100,1,0.03803795224915074,-0.025476909411518922
XOM,2024-01-12,2024-01-22,hold_days,-0.0313158197002662,-0.0323158197002662,123,1,0.008106742666592837,-0.04042256236685904
XOM,2024-04-30,2024-05-07,hold_days,-0.017755937668927024,-0.018755937668927025,146,4,0.012010971084301048,-0.030766908753228073
XOM,2025-05-07,2025-05-14,hold_days,0.036994546893452274,0.03599454689345227,375,2,0.03208016248537926,0.003914384408073013
XOM,2025-06-27,2025-07-07,hold_days,0.01581634537998422,0.01481634537998422,26,3,0.014877017489695943,-6.067210971172354e-05
XOM,2026-08-07,2026-08-14,hold_days,0.04613178146459895,0.04513178146459895,76,2,0.020523350841305188,0.024608430623293764
ORCL,2016-09-13,2016-09-20,hold_days,-0.027625881200091018,-0.02862588120009102,70,4,0.006249350878731796,-0.034875232078822815
ORCL,2016-10-14,2016-10-21,hold_days,-0.012496529730831152,-0.013496529730831153,82,3,0.0057536965831646025,-0.019250226313995755
ORCL,2019-03-07,2019-03-14,hold_days,0.0089385542700251,0.0079385542700251,246,3,0.02811226381457832,-0.02017370954455322
ORCL,2019-03-22,2019-03-29,hold_days,0.01781331052365731,0.01681331052365731,16,2,0.01009916673603195,0.00671414378762536
ORCL,2019-05-10,2019-05-17,hold_days,-0.002744986348345413,-0.003744986348345413,26,2,-0.018682112480568613,0.0149371261322232
ORCL,2019-10-03,2019-10-04,resistance,0.023765126051012775,0.022765126051012774,39,1,0.015173715493418616,0.007591410557594158
ORCL,2019-10-21,2019-10-28,hold_days,-0.008888200903202192,-0.009888200903202193,122,3,0.004145252576976288,-0.014033453480178482
ORCL,2020-03-30,2020-04-06,hold_days,0.02243848101434054,0.021438481014340538,340,3,0.01678915992952912,0.00464932108481142
ORCL,2020-04-16,2020-04-23,hold_days,-0.0322157747806302,-0.0332157747806302,169,1,-0.004471634941038749,-0.028744139839591454
ORCL,2022-06-07,2022-06-14,hold_days,-0.027101425925060263,-0.028101425925060264,70,4,-0.08408530904371825,0.055983883118657984
ORCL,2023-08-08,2023-08-15,hold_days,0.017877270162342196,0.016877270162342195,19,4,-0.010465041291566668,0.027342311453908863
ORCL,2023-09-29,2023-10-06,hold_days,0.038142103968729524,0.03714210396872952,77,2,-0.010137837299829644,0.04727994126855917
ORCL,2024-03-11,2024-03-18,hold_days,0.11977574240481004,0.11877574240481004,168,3,0.004277714381278663,0.11449802802353137
ORCL,2025-02-25,2025-03-04,hold_days,-0.06568156702398054,-0.06668156702398054,75,4,-0.021948539678768197,-0.04473302734521234
ORCL,2025-04-01,2025-04-08,hold_days,-0.12286884886482763,-0.12386884886482763,144,1,-0.12454855700151812,0.0006797081366904933
ORCL,2025-11-03,2025-11-10,hold_days,-0.06600727799898409,-0.0670072779989841,60,4,0.0009054968251036577,-0.06791277482408775
ORCL,2026-08-24,2026-08-31,hold_days,0.046823434972545375,0.045823434972545374,363,4,0.005445118408305083,0.04037831656424029
TXN,2017-06-28,2017-07-06,hold_days,-0.015372251376055357,-0.016372251376055358,51,1,-0.018579746371680583,0.0022074949956252254
TXN,2018-06-26,2018-07-03,hold_days,-0.023316415151844017,-0.024316415151844017,73,1,-0.009230996285973014,-0.015085418865871003
TXN,2018-07-18,2018-07-25,hold_days,-0.021265425172022234,-0.022265425172022235,22,2,0.011439825360624933,-0.03370525053264717
TXN,2018-09-14,2018-09-21,hold_days,0.04451398713752086,0.04351398713752086,103,2,0.013705462818874192,0.029808524318646668
TXN,2018-11-13,2018-11-20,hold_days,0.024978703052186857,0.023978703052186856,237,1,-0.026322615643323388,0.050301318695510244
TXN,2019-01-16,2019-01-24,hold_days,0.05063293728067353,0.04963293728067353,183,2,0.012207956561248068,0.03742498071942546
TXN,2019-03-26,2019-04-02,hold_days,0.018000770870860494,0.017000770870860493,148,1,0.014524115210238886,0.0024766556606216072
TXN,2019-09-27,2019-09-30,resistance,0.016517112913357224,0.015517112913357223,23,3,0.005712125132612433,0.00980498778074479
TXN,2019-10-28,2019-11-04,hold_days,0.015682527704111493,0.014682527704111492,72,4,0.02003016137196978,-0.005347633667858287
TXN,2020-01-28,2020-02-04,hold_days,-0.005126690213543061,-0.0061266902135430614,14,1,-0.00934747877236397,0.0032207885588209093
TXN,2020-09-10,2020-09-17,hold_days,0.02339832741075587,0.02239832741075587,35,2,0.027149098248591352,-0.004750770837835483
TXN,2022-02-10,2022-02-17,hold_days,-0.03521627941771632,-0.036216279417716324,264,3,-0.029144401497091188,-0.007071877920625136
TXN,2022-04-14,2022-04-22,hold_days,-0.002015586536181835,-0.003015586536181835,56,3,-0.01497791345037347,0.011962326914191634
TXN,2022-06-07,2022-06-14,hold_days,-0.09284641940320171,-0.09384641940320171,346,1,-0.08408530904371825,-0.00976111035948346
TXN,2022-06-15,2022-06-23,hold_days,-0.03065656303179809,-0.03165656303179809,376,2,-0.008340018514872871,-0.02331654451692522
TXN,2022-12-09,2022-12-16,hold_days,-0.02702853188847798,-0.02802853188847798,407,2,-0.018185565350742894,-0.009842966537735087
TXN,2023-09-14,2023-09-21,hold_days,-0.0340257709305577,-0.0350257709305577,88,2,-0.03359507584101895,-0.0014306950895387471
TXN,2023-10-16,2023-10-23,hold_days,-0.051717548142068415,-0.052717548142068416,236,3,-0.02906328050740825,-0.023654267634660164
TXN,2024-02-08,2024-02-15,hold_days,0.003120865136833517,0.002120865136833517,38,2,0.00546053868295826,-0.003339673546124743
TXN,2024-06-24,2024-07-01,hold_days,0.0035583673944239447,0.0025583673944239447,11,4,-0.015396548575903779,0.017954915970327723
TXN,2024-10-10,2024-10-17,hold_days,-0.020595563793494365,-0.021595563793494366,94,3,0.01300685516511324,-0.034602418958607606
TXN,2025-09-19,2025-09-26,hold_days,0.028878857283688886,0.027878857283688885,946,3,-0.014399665075833346,0.04227852235952223
TXN,2026-07-15,2026-07-22,hold_days,-0.023241087107713,-0.024241087107713,34,2,0.015895672453150267,-0.04013675956086327
COST,2018-03-05,2018-03-12,hold_days,-0.01101945138401339,-0.012019451384013391,39,4,0.023795508411451616,-0.03581495979546501
COST,2020-01-08,2020-01-10,resistance,0.008653003271455795,0.007653003271455795,15,1,0.003939382176090245,0.00371362109536555
COST,2020-12-09,2020-12-16,hold_days,-0.012957956985859664,-0.013957956985859665,35,2,-0.005409569223095878,-0.008548387762763787
COST,2021-09-16,2021-09-23,hold_days,-0.022727926712142854,-0.023727926712142855,16,2,-0.0006403838307105225,-0.023087542881432332
COST,2022-10-13,2022-10-20,hold_days,-0.0072009267700566815,-0.008200926770056682,11,3,0.0022586081101043654,-0.010459534880161048
COST,2025-03-14,2025-03-21,hold_days,0.005907624233421949,0.004907624233421949,95,1,0.0010609460508914648,0.003846678182530484
COST,2025-07-14,2025-07-21,hold_days,-0.03399902443604086,-0.03499902443604086,14,4,-0.017489866924548347,-0.017509157511492512
COST,2025-09-17,2025-09-24,hold_days,-0.018441795402096783,-0.019441795402096784,30,1,0.002235963531419527,-0.02167775893351631
COST,2026-06-26,2026-07-06,hold_days,-0.002404111197009895,-0.003404111197009895,17,1,-0.001859699818786975,-0.0015444113782229199
QCOM,2017-01-18,2017-01-25,hold_days,-0.1263625927933304,-0.1273625927933304,62,1,0.0030015745150602235,-0.13036416730839062
QCOM,2017-03-30,2017-04-06,hold_days,-0.011713337651601319,-0.01271333765160132,362,3,-0.006698994298330763,-0.006014343353270557
QCOM,2017-06-19,2017-06-26,hold_days,-0.01822565444964297,-0.01922565444964297,12,3,0.007803528000491111,-0.02702918245013408
QCOM,2017-12-12,2017-12-19,hold_days,-0.0055502921769653435,-0.0065502921769653435,228,4,0.007436290122941669,-0.013986582299907013
QCOM,2018-06-04,2018-06-11,hold_days,0.020780348816386462,0.01978034881638646,422,4,0.019465941213414828,0.0003144076029716336
QCOM,2021-01-28,2021-02-04,hold_days,-0.04873053741657152,-0.04973053741657152,10,1,0.009504395511490404,-0.05923493292806192
QCOM,2021-03-05,2021-03-12,hold_days,0.0017727193713743539,0.0007727193713743538,96,1,0.01487560014722189,-0.014102880775847537
QCOM,2021-06-07,2021-06-14,hold_days,0.029927769573845575,0.028927769573845574,29,4,-0.001238386693037885,0.03016615626688346
QCOM,2021-10-07,2021-10-14,hold_days,0.006414247579071608,0.005414247579071608,134,3,0.013292692123935579,-0.007878444544863972
QCOM,2023-03-15,2023-03-22,hold_days,0.05610869186105227,0.05510869186105227,54,2,0.011570679496393454,0.04353801236465882
QCOM,2024-04-05,2024-04-12,hold_days,-0.0013991769315928604,-0.0023991769315928604,560,1,-0.019570242665999382,0.01717106573440652
QCOM,2024-08-26,2024-09-03,hold_days,-0.03687532020813722,-0.03787532020813722,97,4,-0.015440366621453205,-0.022434953586684014
QCOM,2024-11-15,2024-11-18,resistance,0.024922177735344997,0.023922177735344996,176,2,0.013242438413297641,0.010679739322047355
QCOM,2024-12-12,2024-12-19,hold_days,-0.04954498289661968,-0.05054498289661968,66,2,-0.041845658950670384,-0.0086993239459493
QCOM,2024-12-20,2024-12-30,hold_days,0.011053681805722526,0.010053681805722525,228,1,-0.00760349624553347,0.017657178051255995
QCOM,2026-07-23,2026-07-30,hold_days,-0.114020200904425,-0.115020200904425,136,3,0.011970262112223296,-0.1269904630166483
MU,2017-04-06,2017-04-13,hold_days,-0.06568824855348399,-0.06668824855348399,466,1,-0.017145584650909318,-0.04954266390257467
MU,2018-04-27,2018-05-04,hold_days,0.0012627430938927375,0.0002627430938927375,75,3,-0.013877927493491926,0.014140670587384663
MU,2018-06-28,2018-07-06,hold_days,0.0016934647675184156,0.0006934647675184155,33,1,0.019619708030381267,-0.018926243262862852
MU,2018-08-03,2018-08-10,hold_days,-0.027267566187749726,-0.028267566187749726,57,2,-0.0009767443240809026,-0.027290821863668824
MU,2018-12-13,2018-12-20,hold_days,-0.10679615229429373,-0.10779615229429373,28,3,-0.06726646617215204,-0.040529686122141695
MU,2019-11-12,2019-11-19,hold_days,-0.006822992718081733,-0.007822992718081734,19,1,0.002428734818717748,-0.010251727536799482
MU,2019-12-31,2020-01-08,hold_days,0.06954253135477528,0.06854253135477528,354,1,0.006599964234237143,0.06194256712053814
MU,2020-07-16,2020-07-21,resistance,0.028343361407568546,0.027343361407568545,51,3,0.00812405653692494,0.019219304870643605
MU,2020-11-20,2020-11-30,hold_days,0.043811012866140864,0.04281101286614086,673,2,0.01807782540322589,0.024733187462914974
MU,2022-03-10,2022-03-17,hold_days,0.06339166398247764,0.06239166398247764,80,3,0.034206784505786514,0.028184879476691127
MU,2022-12-21,2022-12-29,hold_days,-0.01054901699429478,-0.01154901699429478,569,1,-0.002112074035247269,-0.009436942959047512
MU,2023-09-25,2023-10-02,hold_days,-0.009040479222117814,-0.010040479222117815,477,4,-0.019146024461994537,0.009105545239876722
MU,2024-02-09,2024-02-16,hold_days,-0.07082742341437231,-0.07182742341437232,551,3,0.002124483742845573,-0.07395190715721789
MU,2024-07-29,2024-08-05,hold_days,-0.16161338393592262,-0.16261338393592262,66,4,-0.05033206365219389,-0.11228132028372872
MU,2025-07-15,2025-07-22,hold_days,-0.0906668414151317,-0.0916668414151317,296,1,-0.0019120733473659834,-0.08975476806776572
MU,2025-08-19,2025-08-26,hold_days,-0.045473174994123955,-0.046473174994123956,32,4,0.000506340411501327,-0.04697951540562528
HON,2017-08-15,2017-08-22,hold_days,0.0010601897100366298,6.018971003662974e-05,38,4,-0.0003277742977602083,0.000387964007796838
HON,2018-01-04,2018-01-11,hold_days,0.022135638017514392,0.02113563801751439,18,1,0.01969391770621809,0.0014417203112963017
HON,2018-03-27,2018-04-04,hold_days,0.0034640937357854895,0.0024640937357854895,98,4,0.01987952519063141,-0.01741543145484592
HON,2018-04-06,2018-04-12,resistance,0.026131008106001774,0.025131008106001773,103,4,0.029005488782807065,-0.003874480676805292
HON,2018-08-15,2018-08-22,hold_days,0.024239616693376487,0.023239616693376486,43,2,0.024578686264225436,-0.0013390695708489497
HON,2019-09-18,2019-09-25,hold_days,-0.006191544223254963,-0.007191544223254963,23,2,-0.007485545257997717,0.0002940010347427533
HON,2022-05-13,2022-05-20,hold_days,-0.019531943655436423,-0.020531943655436424,375,2,-0.036156114983756704,0.01562417132832028
HON,2022-07-01,2022-07-11,hold_days,-0.01296314031378687,-0.01396314031378687,616,2,0.010102931033844298,-0.02406607134763117
HON,2022-07-18,2022-07-21,resistance,0.053114959236267856,0.052114959236267855,635,4,0.041271961205230356,0.010842998031037498
HON,2024-07-03,2024-07-11,hold_days,0.01124909056805512,0.01024909056805512,366,2,0.009842766968847005,0.0004063235992081138
HON,2024-12-12,2024-12-19,hold_days,-0.0035573270728570527,-0.004557327072857053,11,3,-0.041845658950670384,0.03728833187781333
HON,2025-07-18,2025-07-25,hold_days,-0.05199962330067265,-0.05299962330067265,142,3,0.005108422795726764,-0.05810804609639941
HON,2026-07-09,2026-07-16,hold_days,0.013024848868871342,0.01202484886887134,271,1,0.007896616921497346,0.004128231947373995
