stock,low_date,entry_date,exit_date,ret,ret_net,exit_reason,days_held,bench_ret,excess_ret
T,2020-06-11,2020-06-17,2020-06-24,-0.027759151445096553,-0.028759151445096554,hold_days,5,-0.028832110896755414,7.295945165886053e-05
T,2021-11-09,2021-11-15,2021-11-22,-0.004032303524606484,-0.005032303524606484,hold_days,5,-0.0031359867021307775,-0.0018963168224757068
T,2021-11-19,2021-11-26,2021-12-01,-0.08216350421761043,-0.08316350421761043,market_dd,3,-0.02078239610125987,-0.06238110811635056
T,2022-03-08,2022-03-14,2022-03-21,0.011795561255269149,0.010795561255269148,hold_days,5,0.056729589758465204,-0.045934028503196056
T,2022-09-08,2022-09-14,2022-09-15,-0.000596154875598387,-0.001596154875598387,market_dd,1,-0.009260991585993028,0.007664836710394641
T,2024-05-21,2024-05-28,2024-05-30,0.020266097179711062,0.01926609717971106,market_dd,2,-0.009648510623398665,0.028914607803109726
BAC,2015-09-18,2015-09-24,2015-09-28,-0.0051448343735838176,-0.006144834373583818,market_dd,2,-0.02361995940709516,0.01747512503351134
BAC,2018-05-18,2018-05-24,2018-05-29,-0.04137690301940333,-0.042376903019403334,market_dd,2,-0.013207369191409524,-0.02916953382799381
BAC,2019-11-14,2019-11-20,2019-11-27,0.022330976577167316,0.021330976577167315,hold_days,5,0.014906173633413511,0.0064248029437538046
BAC,2020-01-27,2020-01-31,2020-02-07,0.054218780007517786,0.053218780007517785,hold_days,5,0.03107524105148518,0.022143538956032605
BAC,2021-07-08,2021-07-14,2021-07-16,-0.0241890454377216,-0.025189045437721602,market_dd,2,-0.0073995733686847975,-0.017789472069036805
BAC,2023-08-02,2023-08-08,2023-08-15,-0.042532699871762114,-0.043532699871762115,hold_days,5,-0.013803810340287548,-0.029728889531474567
BAC,2024-01-03,2024-01-09,2024-01-17,-0.054415746543127974,-0.055415746543127975,hold_days,5,-0.008412160064795282,-0.04700358647833269
BAC,2024-02-05,2024-02-09,2024-02-13,-0.009676171030843617,-0.010676171030843618,market_dd,2,-0.009352489714308132,-0.0013236813165354855
BAC,2024-09-06,2024-09-12,2024-09-19,0.05389386636997151,0.05289386636997151,hold_days,5,0.017550476496413836,0.035343389873557673
BAC,2025-02-12,2025-02-19,2025-02-21,-0.026081073813101097,-0.027081073813101098,market_dd,2,-0.01188389954689506,-0.015197174266206037
BAC,2026-02-12,2026-02-19,2026-02-26,-0.008906566436119645,-0.009906566436119646,hold_days,5,0.0018848782949643095,-0.011791444731083955
