variant,stock,entry_date,exit_date,exit_reason,ret,ret_net,ret_hold5,age_days,bench_ret,excess_ret,excess_hold5
trough9_any,CSCO,2025-11-11,2025-11-18,hold_days,0.07892896688745443,0.07792896688745443,0.07792896688745443,5,-0.013526489396561314,0.09145545628401575,0.09145545628401575
trough9_any,CSCO,2026-01-02,2026-01-09,hold_days,-0.028406082024257873,-0.029406082024257874,-0.029406082024257874,32,0.005997383976901194,-0.03540346600115907,-0.03540346600115907
trough9_any,CSCO,2026-03-06,2026-03-13,hold_days,-0.00394204239171525,-0.00494204239171525,-0.00494204239171525,8,-0.006588514785673127,0.0016464723939578771,0.0016464723939578771
base,CSCO,2026-08-24,2026-08-31,hold_days,0.002358654621410494,0.0013586546214104942,0.0013586546214104942,4,0.0129413845205828,-0.011582729899172306,-0.011582729899172306
base,PFE,2016-08-17,2016-08-24,hold_days,-0.009106582920971329,-0.01010658292097133,-0.01010658292097133,1,0.009564263232798353,-0.019670846153769683,-0.019670846153769683
base,PFE,2016-10-03,2016-10-10,hold_days,-0.0020781907029547853,-0.0030781907029547853,-0.0030781907029547853,4,-0.013245295369952115,0.010167104666997329,0.010167104666997329
base,PFE,2017-09-29,2017-10-06,hold_days,0.009804370495188008,0.008804370495188008,0.008804370495188008,3,0.01123656352854363,-0.002432193033355623,-0.002432193033355623
trough9,PFE,2017-09-29,2017-10-06,hold_days,0.009804370495188008,0.008804370495188008,0.008804370495188008,3,0.01123656352854363,-0.002432193033355623,-0.002432193033355623
trough9_any,PFE,2017-09-29,2017-10-06,hold_days,0.009804370495188008,0.008804370495188008,0.008804370495188008,3,0.01123656352854363,-0.002432193033355623,-0.002432193033355623
base,PFE,2017-10-19,2017-10-26,hold_days,-0.013796892154449791,-0.014796892154449792,-0.014796892154449792,1,0.012664300828542308,-0.0274611929829921,-0.0274611929829921
trough9_any,PFE,2017-10-27,2017-11-03,hold_days,-0.0014041677127449859,-0.002404167712744986,-0.002404167712744986,31,0.003688130727944383,-0.006092298440689369,-0.006092298440689369
trough9_any,PFE,2018-03-06,2018-03-13,hold_days,0.02424772232451855,0.02324772232451855,0.02324772232451855,5,0.017710712605673695,0.005537009718844854,0.005537009718844854
trough9_any,PFE,2018-05-01,2018-05-08,hold_days,-0.011864400053665403,-0.012864400053665404,-0.012864400053665404,25,0.01922181504067999,-0.032086215094345394,-0.032086215094345394
base,PFE,2018-09-06,2018-09-13,hold_days,0.025610218460305756,0.024610218460305755,0.024610218460305755,2,0.005715355412078127,0.018894863048227628,0.018894863048227628
base,PFE,2018-10-26,2018-11-02,hold_days,0.007746829425412383,0.006746829425412383,0.006746829425412383,2,0.042353917549045716,-0.035607088123633335,-0.035607088123633335
trough9,PFE,2018-10-30,2018-11-06,hold_days,0.0027981002562831314,0.0017981002562831314,0.0017981002562831314,4,0.02654870396210951,-0.02475060370582638,-0.02475060370582638
trough9_any,PFE,2018-10-30,2018-11-06,hold_days,0.0027981002562831314,0.0017981002562831314,0.0017981002562831314,4,0.02654870396210951,-0.02475060370582638,-0.02475060370582638
