stock,entry_date,exit_date,branch,z,spy_z,vr,streak_len,streak_decline,ret,ret_net,bench_ret,excess_ret
KO,2018-12-17,2018-12-24,market_wide,2.3448790179261008,-4.0503163553369514,1.1335630384864483,2.0,-0.023043791500243237,-0.04903793486123631,-0.05003793486123631,-0.07021740130102894,0.020179466439792626
KO,2019-02-15,2019-02-25,idiosyncratic,7.008574244548903,1.2704167142047322,2.1321427313017374,2.0,-0.09138367721107993,-0.006631490464953815,-0.007631490464953815,0.0025724279314067733,-0.01020391839636059
KO,2019-08-01,2019-08-08,market_wide,2.116168786581226,-4.04683739858893,1.2908608096503864,4.0,-0.039505515037999275,0.031904789215104756,0.030904789215104755,-0.004149307075688835,0.03505409629079359
KO,2019-10-02,2019-10-09,market_wide,3.118102195301146,-5.841433827394548,1.3616454117231598,1.0,-0.02872833628736661,0.014129570274666214,0.013129570274666214,0.008987338716180737,0.004142231558485476
KO,2019-10-29,2019-11-05,idiosyncratic,2.1088483515330103,-0.056461643892867716,0.7148933964607875,4.0,-0.022511187285200115,-0.01853567579259574,-0.01953567579259574,0.01977056040885561,-0.03930623620145135
KO,2020-02-24,2020-03-02,market_wide,2.8337068469128317,-7.995182099944483,1.6709225513980668,1.0,-0.024613275979555083,-0.04654742473811713,-0.04754742473811713,-0.037220115729589165,-0.010327309008527963
KO,2020-03-05,2020-03-12,market_wide,2.054381186658519,-2.4514048508807043,0.8860109637593699,1.0,-0.03699916550394184,-0.1688406413221114,-0.1698406413221114,-0.16456259989438893,-0.00527804142772248
KO,2020-03-16,2020-03-23,market_wide,2.634484276822526,-3.5410372747083207,1.1149746818417532,1.0,-0.0662265249519337,-0.17012811651047277,-0.17112811651047277,-0.04159591107296856,-0.1295322054375042
KO,2020-10-28,2020-11-04,market_wide,2.034356445041365,-6.301369399519228,1.5320517314568212,1.0,-0.038877650351560454,0.02522963490936947,0.02422963490936947,0.04842464437279426,-0.024195009463424788
KO,2021-01-04,2021-01-11,market_wide,3.417468203667576,-2.2523322985432466,2.1878964377518515,1.0,-0.037928547043431945,-0.04852153868916076,-0.04952153868916076,0.03239580705861478,-0.08191734574777554
KO,2021-08-18,2021-08-25,market_wide,2.149513652143184,-3.3817208569198494,1.500771279415169,2.0,-0.017049641402388505,-0.007610394183833136,-0.008610394183833137,0.010889244808511167,-0.019499638992344304
KO,2021-09-17,2021-09-24,market_wide,3.732550004978541,-3.2768875168729217,2.263342415135342,2.0,-0.02576948215666235,-0.010102698752219474,-0.011102698752219475,0.011458155718876872,-0.022560854471096348
KO,2021-09-28,2021-10-05,market_wide,3.457612390660282,-2.817774769212684,1.1511735255682178,4.0,-0.027526313440863415,0.008358675171670216,0.007358675171670216,-0.004540575088217036,0.01189925025988725
KO,2021-11-18,2021-11-26,idiosyncratic,2.508324904920882,0.2292721001103587,1.3949078033609985,3.0,-0.021370746001764005,-0.030319370045406635,-0.031319370045406636,-0.023969021810591573,-0.007350348234815063
KO,2021-11-30,2021-12-07,market_wide,3.3945202639296572,-4.358214873296176,2.0413913914584216,1.0,-0.0315731519308867,0.05262147892633684,0.05162147892633684,0.024250315879052353,0.027371163047284486
KO,2022-01-26,2022-02-02,market_wide,2.042164007372241,-2.7671818043588505,0.9196866484360697,5.0,-0.02295084487293952,0.026510073800105838,0.025510073800105837,0.05307056340630689,-0.027560489606201055
KO,2022-02-24,2022-03-03,market_wide,3.0170518729951525,-2.8420664887197002,1.315022755306027,3.0,-0.03245918560669756,0.032391433358111676,0.031391433358111676,0.02851455566073846,0.0028768776973732146
KO,2022-03-08,2022-03-15,market_wide,6.057728239935503,-3.3551995985997074,1.3980157321321587,2.0,-0.06248992419916379,0.02414552618101573,0.02314552618101573,0.01644595683209249,0.00669956934892324
KO,2022-05-02,2022-05-09,market_wide,3.590874804024648,-2.573798426835403,1.429273832296736,2.0,-0.0415468268942327,0.01844264640833715,0.017442646408337148,-0.02386263297261948,0.04130527938095663
KO,2022-05-18,2022-05-25,market_wide,6.049045865804988,-3.3149142016958373,1.6270984851778472,2.0,-0.07216499331163433,0.04689543953532027,0.04589543953532027,0.013424077825371361,0.03247136170994891
KO,2022-06-14,2022-06-22,market_wide,3.435576585592487,-3.2548095746014485,1.3578369029405828,5.0,-0.05679151055851871,0.03241620744040219,0.03141620744040219,-0.0075802324007481214,0.03899643984115031
KO,2022-08-30,2022-09-07,market_wide,2.244476437692008,-3.3528680748842277,0.9988849831802548,3.0,-0.03896694335982811,0.0025743919311127517,0.0015743919311127516,-0.0016126648585376158,0.0031870567896503674
KO,2022-09-27,2022-10-04,market_wide,3.3805663933622223,-2.955681372761731,1.6182051045243167,6.0,-0.06017690452799857,0.007094572532657217,0.006094572532657217,0.04454667743327434,-0.03845210490061712
KO,2023-01-12,2023-01-20,idiosyncratic,2.175585403574816,0.2543645370002179,1.4227096679154023,4.0,-0.03454245925903649,-0.01846105410108867,-0.01946105410108867,-0.01943539246688697,-2.566163420170131e-05
KO,2023-05-18,2023-05-25,idiosyncratic,2.009463750719319,1.5061903201686857,1.4370442874870777,4.0,-0.020433739498973293,-0.038057306688537795,-0.039057306688537796,-0.019121808718004285,-0.01993549797053351
KO,2023-05-26,2023-06-05,idiosyncratic,3.908572551887888,0.23865836317035763,1.0475974588242354,5.0,-0.04090414060884043,0.0081315252499079,0.0071315252499079005,0.0050897824810935965,0.002041742768814304
KO,2023-09-07,2023-09-14,market_wide,2.9547615202164703,-1.2537049220501248,1.7532260230035952,7.0,-0.036823001995460895,0.010180026572712997,0.009180026572712996,0.01694326361867593,-0.007763237045962934
KO,2023-09-27,2023-10-04,market_wide,2.0279377028369243,-2.9661176576606385,0.7857351594837525,3.0,-0.028645741768704634,-0.016264523780978313,-0.017264523780978314,-0.012204244332821745,-0.005060279448156568
KO,2023-10-05,2023-10-12,market_wide,3.6486360062191237,-2.381743928840448,2.2955025111536402,1.0,-0.04832852313045455,0.008209246670479065,0.0072092466704790645,0.009514314355786535,-0.0023050676853074705
KO,2024-04-02,2024-04-09,market_wide,2.6021852027154604,-1.2894064343502851,0.9639481196521069,2.0,-0.016835402253203464,-0.007148938162413021,-0.008148938162413022,-0.003218797043921473,-0.004930141118491549
KO,2024-04-16,2024-04-23,market_wide,2.111863049861301,-3.228296728539119,0.9373443744572657,3.0,-0.016765394548779153,0.044436625536799834,0.04343662553679983,0.006320856099573557,0.037115769437226276
KO,2024-05-29,2024-06-05,market_wide,2.5463042473178072,-2.2242325069268825,1.1737499876309878,4.0,-0.02063499725732526,0.03598051703505645,0.034980517035056446,0.01638353057526931,0.018596986459787135
KO,2024-06-12,2024-06-20,idiosyncratic,2.447749654069575,0.8973712460973761,0.8374390271649622,4.0,-0.019797330048846824,-0.0034592474315854327,-0.004459247431585433,0.009962979701880093,-0.014422227133465526
KO,2024-08-05,2024-08-12,market_wide,2.166825070295781,-5.457462702464003,1.7372480716596168,1.0,-0.017741441876748403,0.0010279703847195787,2.797038471957867e-05,0.013542749465036197,-0.013514779080316619
KO,2024-09-05,2024-09-12,market_wide,3.272906528410313,-3.3104229364337923,1.645574769705996,2.0,-0.02520182835724996,0.000843125666699418,-0.000156874333300582,0.0127424743658211,-0.012899348699121682
KO,2024-09-19,2024-09-26,idiosyncratic,2.303494966944251,0.9777068918690035,1.018501020697032,3.0,-0.02052685183548172,0.011044929374371293,0.010044929374371292,0.016998925482911043,-0.006953996108539751
KO,2024-10-03,2024-10-10,market_wide,2.2905449842797148,-3.3082648900593377,0.5718328931396888,3.0,-0.018647507279358395,-0.018008930617424368,-0.01900893061742437,0.022919232362468733,-0.0419281629798931
KO,2024-10-23,2024-10-30,market_wide,2.2086568593789586,-2.2019359616401593,2.1864987127653066,1.0,-0.02073436654342539,-0.03073087247677264,-0.03173087247677264,-0.006126886125527253,-0.02560398635124539
KO,2024-11-15,2024-11-22,market_wide,2.6414398638707013,-1.1184068123243742,1.844605481820836,5.0,-0.03410511135226939,0.035309340336211026,0.034309340336211025,0.01769525259620308,0.016614087740007943
KO,2024-12-04,2024-12-11,idiosyncratic,2.167074958845969,0.734031255124388,1.492089265412092,3.0,-0.029182308819200125,0.0069120492969634295,0.0059120492969634295,-0.013790809512655433,0.01970285880961886
KO,2025-03-04,2025-03-11,market_wide,2.0902003002152316,-3.470757154289988,1.3747948241032582,1.0,-0.029452589951706375,0.012110165338356405,0.011110165338356404,-0.02648020822504149,0.037590373563397894
KO,2025-04-04,2025-04-11,market_wide,3.470102155317524,-6.375243630816407,1.3597541527489625,1.0,-0.04441107813581391,0.021449865219429265,0.020449865219429264,0.033618887654403906,-0.013169022434974642
KO,2025-05-12,2025-05-19,idiosyncratic,2.999382955592001,3.0618620486088806,1.4432796266328947,3.0,-0.03964107514536283,0.03451761713222634,0.03351761713222634,0.009888326568453287,0.023629290563773053
KO,2025-06-18,2025-06-26,market_wide,2.4300240584858748,-1.8151053061673528,1.2052307173557353,4.0,-0.035131705247480695,0.0037567298478595745,0.0027567298478595745,0.02220733255187146,-0.019450602704011888
KO,2025-12-02,2025-12-09,idiosyncratic,2.420804685379631,-0.17775121564655433,1.1501079132318581,2.0,-0.026718215883518536,-0.008207130528625983,-0.009207130528625984,0.007951249162682306,-0.01715837969130829
KO,2026-01-06,2026-01-13,idiosyncratic,3.688283732831472,0.4206928226370712,1.6269171707915122,5.0,-0.03306748096287734,0.05011796501943655,0.04911796501943655,0.00035372188016435935,0.04876424313927219
KO,2026-03-03,2026-03-10,market_wide,2.8406173336701666,-3.9396627036832315,1.1687565655927958,2.0,-0.027219260490466593,-0.01840172475365176,-0.01940172475365176,-0.019867423042712717,0.00046569828906095623
KO,2026-03-19,2026-03-26,market_wide,2.359327943614386,-3.145517114698385,0.8421738098579208,3.0,-0.029169857486370257,-0.011383141572851696,-0.012383141572851697,-0.01321049671034713,0.0008273551374954335
KO,2026-04-14,2026-04-21,idiosyncratic,2.137504051106397,0.4991684227660565,0.8940922953989325,3.0,-0.029163389677781423,-0.015810334202972398,-0.0168103342029724,0.005800714302550469,-0.02261104850552287
KO,2026-05-29,2026-06-05,idiosyncratic,2.223303445804521,0.2886675776921601,2.3365857659428433,2.0,-0.03197753183931094,0.005948752562807025,0.004948752562807025,-0.020983709262746064,0.025932461825553088
KO,2026-07-17,2026-07-24,market_wide,2.626231384406796,-3.3374671481266027,2.083678998304078,1.0,-0.03956669055664863,0.00846010377516504,0.00746010377516504,0.004584070009412411,0.002876033765752629
KO,2026-08-27,2026-09-03,market_wide,2.1698772661360755,-1.2911161730437855,1.0019267535729102,3.0,-0.031851295266929376,-0.002807042278160421,-0.003807042278160421,-0.004954093942581506,0.0011470516644210846
GILD,2015-12-03,2015-12-10,market_wide,2.131898808548351,-7.87149200749473,1.906850589608437,4.0,-0.06129624455009801,0.01223141454595389,0.011231414545953888,-0.008991869652264839,0.020223284198218727
GILD,2016-01-29,2016-02-05,idiosyncratic,3.690692661407897,0.9493773415551442,2.7727379261337046,3.0,-0.09988088302905142,0.02578313378093977,0.02478313378093977,-0.012640912166921092,0.03742404594786086
GILD,2016-04-28,2016-05-05,market_wide,2.524522757284762,-3.6185855568705048,1.7430612371940808,3.0,-0.05171592484187283,-0.11484522275609488,-0.11584522275609488,-0.02994463672459191,-0.08590058603150297
GILD,2016-06-27,2016-07-05,market_wide,2.546056471836365,-5.930563547350802,1.3182246468880499,2.0,-0.061412983897067966,0.07207648948975787,0.07107648948975787,0.03523726970120822,0.03583921978854965
GILD,2016-09-29,2016-10-06,market_wide,2.012680430442866,-1.752291801145166,0.7346974987728683,7.0,-0.04793306922475537,-0.02119195075174707,-0.02219195075174707,0.0004667372126143654,-0.022658687964361435
GILD,2017-02-09,2017-02-16,idiosyncratic,6.337161496887055,1.585075192188831,1.7756736724548376,2.0,-0.10310405948407662,0.07196188187813801,0.07096188187813801,0.019890569552972748,0.05107131232516526
GILD,2017-05-17,2017-05-24,market_wide,2.3778352369189553,-7.704270968912434,1.1769171564970322,6.0,-0.045850762097966964,-0.0031006354911685685,-0.0041006354911685685,0.019503657674763586,-0.023604293165932155
GILD,2017-08-04,2017-08-11,idiosyncratic,2.8444468321715943,-0.10936505408082868,1.592647436108979,2.0,-0.03533743505850971,-0.010388353908547199,-0.0113883539085472,-0.011258952208615614,-0.00012940169993158612
GILD,2017-09-14,2017-09-21,idiosyncratic,2.419557963740808,-0.05101074480119268,0.6129500975382831,5.0,-0.031185734454142692,0.004010348524588148,0.0030103485245881476,-0.0003611135031653667,0.0033714620277535143
GILD,2017-09-28,2017-10-05,idiosyncratic,2.7765538920685047,0.6304768546652468,2.286048966053141,1.0,-0.03517769797485062,0.032134327537839846,0.031134327537839845,0.016043027652001607,0.015091299885838239
GILD,2017-10-16,2017-10-23,idiosyncratic,2.7460702185124832,0.2844287610917819,1.144333782633041,4.0,-0.03721096668893455,0.002751507796544317,0.0017515077965443169,0.01374010560172989,-0.011988597805185575
GILD,2017-10-26,2017-11-02,market_wide,3.3313942151273874,-2.0031728030795626,1.5096748536253268,5.0,-0.0454713529427758,-0.052259597914824596,-0.0532595979148246,-0.009454901802465776,-0.04380469611235882
GILD,2017-11-03,2017-11-10,idiosyncratic,4.865602862059447,0.8833241416279467,0.7326940006763093,11.0,-0.09964480057173708,0.004220404948642065,0.0032204049486420647,0.0019550704410771225,0.0012653345075649422
GILD,2018-01-31,2018-02-07,market_wide,2.0549046880516455,-2.032730847605433,1.2849522316988637,2.0,-0.056306074530884126,-0.0124108567108131,-0.013410856710813102,-0.057259387821466334,0.04384853111065323
GILD,2018-03-23,2018-04-02,market_wide,2.728013582051065,-4.724748241214629,1.276861001249461,5.0,-0.0865312425591374,0.004118620091712044,0.003118620091712044,-0.002852446883722326,0.00597106697543437
GILD,2018-05-02,2018-05-09,market_wide,3.365988615888607,-3.162334280613796,4.700419391009305,1.0,-0.07828021561806703,-0.017793139189589025,-0.018793139189589025,0.02385344171663828,-0.042646580906227305
GILD,2018-10-11,2018-10-18,market_wide,3.0596994998541693,-4.848632732012896,1.2997808196517928,2.0,-0.052782816816848606,0.02303416431437988,0.022034164314379878,0.011294591371045604,0.010739572943334275
GILD,2018-10-19,2018-10-26,market_wide,2.077094013493292,-1.9966063776046845,0.8243489419232135,3.0,-0.039837836221571866,-0.04817783900024064,-0.04917783900024064,-0.04804910720324285,-0.001128731796997795
GILD,2018-10-31,2018-11-07,market_wide,2.8225523830474737,-1.7183753075354722,2.374448759297045,1.0,-0.05358121778671999,0.06306807811164039,0.06206807811164039,0.043839281812212194,0.018228796299428196
GILD,2018-11-20,2018-11-28,market_wide,2.2230833053833274,-4.144048201728433,1.326347580674067,5.0,-0.04723651951481026,0.023975204637322944,0.022975204637322943,0.039444518236428694,-0.01646931359910575
GILD,2018-12-19,2018-12-27,market_wide,2.00907684179299,-3.677667204034393,1.180386400109476,5.0,-0.04987406231507417,-0.019626209674545203,-0.020626209674545204,0.005320540206949387,-0.02594674988149459
GILD,2019-03-07,2019-03-14,market_wide,2.0475528217690213,-5.750066988633939,1.0928205341530624,4.0,-0.052719289414431506,0.046166541265740824,0.04516654126574082,0.028112301234291204,0.01705424003144962
GILD,2019-04-22,2019-04-29,idiosyncratic,2.6689449675369143,0.10993202970832384,1.7118080250972534,4.0,-0.0544090551583205,0.04929672902996596,0.04829672902996596,0.005639588640373283,0.042657140389592674
GILD,2019-05-28,2019-06-04,market_wide,2.668681306449524,-3.5447652353285166,1.6154824192760462,2.0,-0.047640500419395285,0.0054714661187984515,0.0044714661187984514,0.021768287283899346,-0.017296821165100895
GILD,2019-06-26,2019-07-03,market_wide,2.0441165932965895,-1.4193384375731029,1.6484271337471066,3.0,-0.03891616155493813,0.03479323898741771,0.033793238987417706,0.028005495262252822,0.0057877437251648844
GILD,2019-08-02,2019-08-09,market_wide,2.1393360823576835,-4.003303486987571,1.002394251421633,4.0,-0.04302379047704726,0.004464892255884312,0.003464892255884312,-0.004931471291994893,0.008396363547879204
GILD,2019-09-26,2019-10-03,market_wide,2.299330388956695,-2.267204069838627,1.1646583421311296,4.0,-0.046973818195076456,-0.01690381011867581,-0.01790381011867581,-0.026081129139722492,0.00817731902104668
GILD,2019-10-25,2019-11-01,idiosyncratic,2.458269585541338,0.8199101233328828,2.1765090567862946,2.0,-0.04896379572299436,0.021162665379544476,0.020162665379544475,0.016979200365455416,0.0031834650140890597
