stock,entry_date,exit_date,rank,ret,ret_net,bench_ret,excess_ret
KO,2015-09-09,2015-09-16,0.1,0.031048720917900674,0.030048720917900673,0.026796839591376687,0.0032518813265239865
KO,2015-11-06,2015-11-13,0.1,-0.01382253083459617,-0.01482253083459617,-0.040880205568491035,0.026057674733894864
KO,2016-02-17,2016-02-24,0.1,0.009657660653583866,0.008657660653583865,0.0009486013057855569,0.007709059347798308
KO,2016-03-01,2016-03-08,0.05,0.014419466822575222,0.013419466822575221,0.006009218141013406,0.007410248681561815
KO,2016-04-14,2016-04-21,0.05,-0.04734878966710365,-0.04834878966710365,0.00805463697124953,-0.05640342663835318
KO,2016-04-22,2016-04-29,0.05,0.005837240565108814,0.004837240565108814,-0.023995933622592447,0.02883317418770126
KO,2016-05-25,2016-06-02,0.1,0.007661397905393219,0.006661397905393219,0.00647379484572097,0.00018760305967224864
KO,2016-06-23,2016-06-30,0.1,0.005545815409571331,0.004545815409571331,-0.00883461986909595,0.01338043527866728
KO,2016-07-12,2016-07-19,0.05,0.0010970187457219893,9.70187457219893e-05,0.002719891516161921,-0.0026228727704399315
KO,2016-07-27,2016-08-03,0.1,0.005529606161146949,0.004529606161146949,-0.00892189957638223,0.013451505737529179
KO,2016-11-10,2016-11-17,0.1,0.004396855251231235,0.0033968552512312353,0.009466504779638951,-0.006069649528407716
KO,2017-01-10,2017-01-18,0.1,0.006091507453623413,0.005091507453623413,0.0007189847739244026,0.00437252267969901
KO,2017-02-10,2017-02-17,0.1,0.016017791431471418,0.015017791431471417,0.016368971494446827,-0.00135118006297541
KO,2017-04-25,2017-05-02,0.05,0.006494663103359555,0.005494663103359555,0.003086911231559908,0.002407751871799647
KO,2017-09-27,2017-10-04,0.05,0.019265701360668297,0.018265701360668296,0.015303765648444267,0.0029619357122240286
KO,2017-10-23,2017-10-30,0.1,-0.009930860506602968,-0.010930860506602968,-0.010393633352811738,-0.000537227153791231
KO,2017-11-21,2017-11-29,0.1,-0.006116091345234609,-0.007116091345234609,0.009894418998839694,-0.017010510344074303
KO,2017-12-11,2017-12-18,0.1,0.013236222133943265,0.012236222133943264,0.0075051745102412415,0.004731047623702023
KO,2018-01-03,2018-01-10,0.1,0.013864339402841042,0.01286433940284104,0.01765705389612604,-0.004792714493285
KO,2018-02-26,2018-03-05,0.1,-0.0031796289790692045,-0.0041796289790692045,-0.015630360591805892,0.011450731612736686
KO,2018-05-11,2018-05-18,0.1,0.0009490530126976537,-5.094698730234628e-05,0.01011533019028632,-0.010166277177588667
KO,2018-06-07,2018-06-14,0.1,0.012157474003490876,0.011157474003490875,-0.003793945316631242,0.014951419320122117
KO,2018-07-12,2018-07-19,0.1,0.009849833714367984,0.008849833714367983,0.0027491485585444675,0.006100685155823515
KO,2018-08-22,2018-08-29,0.1,-0.013063217154771767,-0.014063217154771768,0.018726742979115363,-0.03278996013388713
KO,2018-08-30,2018-09-07,0.05,0.017130712064133302,0.0161307120641333,-0.003931133040880219,0.02006184510501352
KO,2018-09-24,2018-10-01,0.1,0.003473049835986064,0.002473049835986064,0.0035306543103954535,-0.0010576044744093896
KO,2018-12-31,2019-01-08,0.05,0.0027455981662876106,0.0017455981662876105,0.02302863339575656,-0.02128303522946895
KO,2019-02-14,2019-02-22,0.05,-0.0067993481410330014,-0.0077993481410330015,0.011248016443196951,-0.019047364584229953
KO,2019-03-18,2019-03-25,0.05,0.01365373888246979,0.01265373888246979,-0.012479831265332253,0.025133570147802042
KO,2019-04-03,2019-04-10,0.1,0.009961083515919844,0.008961083515919843,-0.00032994908349393004,0.009291032599413773
KO,2019-06-10,2019-06-17,0.1,-0.002197364335271179,-0.003197364335271179,-0.009036320287337585,0.005838955952066406
KO,2019-10-11,2019-10-18,0.1,0.027767316865156877,0.026767316865156876,0.006753416524416078,0.020013900340740798
KO,2019-11-04,2019-11-11,0.1,-0.024463527339152136,-0.025463527339152137,0.0099179129665945,-0.035381440305746636
KO,2019-12-11,2019-12-18,0.1,-0.0007417133891224337,-0.0017417133891224337,0.00939197567768435,-0.011133689066806784
KO,2020-03-19,2020-03-26,0.1,0.05880912760147927,0.05780912760147927,0.07104878640601942,-0.013239658804540144
KO,2020-04-22,2020-04-29,0.1,0.031523784152609036,0.030523784152609035,0.058521532707742185,-0.02799774855513315
KO,2020-06-25,2020-07-02,0.05,-0.0011127709038056821,-0.002112770903805682,0.014176373640870654,-0.016289144544676337
KO,2021-01-05,2021-01-12,0.1,-0.039670431619715174,-0.040670431619715175,0.02416061059453356,-0.06483104221424874
KO,2021-01-15,2021-01-25,0.05,0.001642707918475983,0.0006427079184759829,0.005437650091677515,-0.004794942173201532
KO,2021-06-28,2021-07-06,0.1,-0.007003246364823301,-0.008003246364823302,0.008202140577487249,-0.01620538694231055
KO,2021-08-26,2021-09-02,0.1,0.022146198152538155,0.021146198152538154,0.011303460096861118,0.009842738055677036
KO,2021-10-19,2021-10-26,0.1,0.005909421811209903,0.004909421811209903,0.023111010954664613,-0.01820158914345471
KO,2022-03-10,2022-03-17,0.1,0.04612942214537186,0.045129422145371856,0.03420677363611868,0.010922648509253174
KO,2022-06-01,2022-06-08,0.1,-0.002853991509801035,-0.003853991509801035,0.0015120282494991422,-0.005366019759300177
KO,2022-07-11,2022-07-18,0.1,-0.020495775068348543,-0.021495775068348544,-0.0008719858405814573,-0.020623789227767086
KO,2022-07-21,2022-07-28,0.1,0.044002492776836544,0.04300249277683654,0.018487000622025462,0.02451549215481108
KO,2022-08-08,2022-08-15,0.1,0.024297207561596368,0.023297207561596367,0.036441704477347736,-0.01314449691575137
KO,2022-10-03,2022-10-10,0.05,-0.03989432090231715,-0.04089432090231715,-0.009234826889261027,-0.03165949401305612
KO,2022-10-21,2022-10-28,0.1,0.08577560614239821,0.08477560614239821,0.05684825026810625,0.02792735587429196
KO,2023-01-11,2023-01-19,0.1,-0.03692937135731811,-0.03792937135731811,-0.0326771216501992,-0.005252249707118906
KO,2023-05-19,2023-05-26,0.1,-0.04090407888601055,-0.041904078886010554,-0.005799261304273884,-0.03610481758173667
KO,2023-06-29,2023-07-07,0.05,-0.004331738874070568,-0.005331738874070568,-0.015599872504876489,0.01026813363080592
KO,2023-07-12,2023-07-19,0.1,0.03007995014857423,0.02907995014857423,0.014009642545240508,0.015070307603333721
KO,2023-09-01,2023-09-11,0.1,-0.007250040054200935,-0.008250040054200936,-0.0001223861271152371,-0.008127653927085698
KO,2023-10-05,2023-10-12,0.1,0.00820916727661003,0.00720916727661003,0.009514325112001343,-0.002305157835391313
KO,2023-11-06,2023-11-13,0.1,-0.0007021600967358488,-0.0017021600967358488,-0.008908141086344967,0.0072059809896091185
KO,2023-12-14,2023-12-21,0.1,-0.017784608452379835,-0.018784608452379836,0.008014284205986266,-0.026798892658366102
KO,2024-02-27,2024-03-05,0.05,-0.013589633399418655,-0.014589633399418656,0.011740725187320944,-0.0263303585867396
KO,2024-03-06,2024-03-13,0.1,0.026364446155271226,0.025364446155271225,0.015327187186376712,0.010037258968894514
KO,2024-10-08,2024-10-15,0.1,0.01676752167472073,0.01576752167472073,0.018151218472742814,-0.0023836967980220836
KO,2024-10-29,2024-11-05,0.1,-0.002897866763473478,-0.003897866763473478,0.0012770123687599888,-0.005174879132233467
KO,2024-11-06,2024-11-13,0.1,-0.01098921419009602,-0.01198921419009602,-0.0026570525633310416,-0.009332161626764979
KO,2025-04-28,2025-05-05,0.05,-0.0012537624498810684,-0.0022537624498810685,0.011537456308160277,-0.013791218758041346
KO,2025-05-12,2025-05-19,0.1,0.03451761713222634,0.03351761713222634,0.009888310164986702,0.02362930696723964
KO,2025-06-17,2025-06-25,0.1,0.00014362996567740538,-0.0008563700343225946,0.01587161580799057,-0.016727985842313164
KO,2025-07-09,2025-07-16,0.1,-0.0030224205262883164,-0.004022420526288316,-0.015458469805070929,0.011436049278782612
KO,2025-08-18,2025-08-25,0.05,-0.002893074738734458,-0.003893074738734458,-0.00019679350845258625,-0.0036962812302818717
KO,2025-08-28,2025-09-05,0.1,-0.00585155449955721,-0.00685155449955721,-0.008040412030179245,0.0011888575306220348
KO,2025-10-29,2025-11-05,0.1,0.002340955351338714,0.0013409553513387138,-0.008338343837837048,0.00967929918917576
KO,2025-12-01,2025-12-08,0.1,-0.023627429117226262,-0.024627429117226263,0.0064737293384951045,-0.031101158455721367
KO,2025-12-26,2026-01-05,0.1,-0.02762283646624053,-0.02862283646624053,0.011581541224879421,-0.04020437769111995
KO,2026-01-06,2026-01-13,0.05,0.050117844627608044,0.04911784462760804,0.00035369926186490375,0.04876414536574314
GILD,2015-07-27,2015-08-03,0.05,0.08196140337300295,0.08096140337300295,0.029948873728686376,0.05101252964431657
GILD,2015-08-11,2015-08-18,0.1,0.012541973580105115,0.011541973580105114,0.0014504608798731056,0.010091512700232008
GILD,2015-08-24,2015-08-31,0.1,0.04381076906342263,0.04281076906342263,0.042591239089206256,0.00021952997421637033
GILD,2015-09-01,2015-09-09,0.05,0.02295804024192738,0.02195804024192738,0.014074537535020859,0.00788350270690652
GILD,2015-09-21,2015-09-28,0.1,-0.10346127235026015,-0.10446127235026015,-0.04299230355636019,-0.06146896879389996
GILD,2015-09-29,2015-10-06,0.05,0.01604138336894123,0.01504138336894123,0.05683772815787047,-0.04179634478892924
GILD,2015-11-03,2015-11-10,0.1,-0.002291913765791187,-0.003291913765791187,-0.024320283692263023,0.021028369926471835
GILD,2015-12-03,2015-12-10,0.05,0.012231415884556007,0.011231415884556006,-0.008991770290672219,0.020223186175228225
GILD,2015-12-29,2016-01-06,0.1,-0.029605277221280257,-0.030605277221280258,-0.0385398277373632,0.007934550516082939
GILD,2016-01-15,2016-01-25,0.1,-0.01339220414793374,-0.01439220414793374,-0.012631648325552969,-0.0017605558223807716
GILD,2016-01-29,2016-02-05,0.05,0.025783132065072323,0.024783132065072322,-0.012640748051458539,0.03742388011653086
GILD,2016-02-19,2016-02-26,0.05,0.007547890672703783,0.006547890672703783,0.014176837299307854,-0.007628946626604071
GILD,2016-03-02,2016-03-09,0.1,-0.010923450812467816,-0.011923450812467817,0.002715766053536406,-0.014639216866004223
GILD,2016-04-28,2016-05-05,0.1,-0.11484525339389795,-0.11584525339389795,-0.02994468636312808,-0.08590056703076987
GILD,2016-05-06,2016-05-13,0.1,-0.023382767033905294,-0.024382767033905295,-0.00947580289798755,-0.014906964135917744
GILD,2016-05-16,2016-05-23,0.1,-0.0033489192378303168,-0.004348919237830317,-0.004400450019996449,5.153078216613236e-05
GILD,2016-06-21,2016-06-28,0.1,0.00635735739087484,0.00535735739087484,-0.021383197295080203,0.026740554685955042
GILD,2016-07-13,2016-07-20,0.05,0.010612704403999196,0.009612704403999195,0.00776888028610756,0.0018438241178916348
GILD,2016-07-26,2016-08-02,0.05,-0.01826030414438662,-0.01926030414438662,-0.015098354993422491,-0.004161949150964128
GILD,2016-08-08,2016-08-15,0.1,-0.0011287197794962456,-0.0021287197794962456,0.00957532690702001,-0.011704046686516256
GILD,2016-08-29,2016-09-06,0.1,-0.003709760376052973,-0.004709760376052973,-0.006372158665469474,0.001662398289416501
GILD,2016-09-27,2016-10-04,0.1,-0.025363052147378107,-0.026363052147378108,-0.0012632408457005084,-0.0250998113016776
GILD,2016-10-07,2016-10-14,0.1,-0.03309401915307808,-0.03409401915307808,-0.011352305767358017,-0.022741713385720064
GILD,2016-11-03,2016-11-10,0.1,0.08472686032938848,0.08372686032938848,0.04303299379989478,0.040693866529493694
GILD,2016-11-16,2016-11-23,0.1,-0.009210456610012963,-0.010210456610012963,0.01224381228821847,-0.022454268898231433
GILD,2016-12-06,2016-12-13,0.1,0.03935210645625542,0.03835210645625542,0.03199819608192156,0.00635391037433386
GILD,2017-01-11,2017-01-19,0.1,-0.029822192838388162,-0.030822192838388163,-0.012190641742645725,-0.018631551095742438
GILD,2017-02-08,2017-02-15,0.05,0.04444097437334538,0.043440974373345376,0.02291455982738233,0.020526414545963045
GILD,2017-03-10,2017-03-17,0.05,0.020551307290809895,0.019551307290809894,0.005254777313521863,0.01429652997728803
GILD,2017-03-28,2017-04-04,0.05,-0.001788412708069953,-0.002788412708069953,-0.0013926019420538172,-0.0013958107660161359
GILD,2017-05-09,2017-05-16,0.05,-0.027954375482281413,-0.028954375482281414,-0.0005167803047094743,-0.02843759517757194
GILD,2017-05-24,2017-06-01,0.1,0.004820411493178023,0.003820411493178023,0.020606668625970492,-0.01678625713279247
GILD,2017-08-04,2017-08-11,0.1,-0.010388137481875948,-0.011388137481875948,-0.011258841634060879,-0.00012929584781506964
GILD,2017-09-14,2017-09-21,0.05,0.00401041193643592,0.0030104119364359203,-0.0003611130051472955,0.003371524941583216
GILD,2017-09-28,2017-10-05,0.1,0.03213505609309375,0.03113505609309375,0.01604304793490785,0.015092008158185899
