stock,entry_date,exit_date,ret,ret_net,exit_reason,bench_ret,excess_ret
MMM,2017-11-17,2017-11-27,0.025376868567543065,0.024376868567543064,hold_days,0.010124758790970967,0.014252109776572097
MMM,2020-12-03,2020-12-10,0.009660729722234862,0.008660729722234861,hold_days,0.0061728800951414975,0.0024878496270933637
MMM,2021-09-16,2021-09-20,-0.011661415438966483,-0.012661415438966483,market_dd,-0.02192133695615439,0.009259921517187908
MMM,2021-10-29,2021-11-05,0.01746127932607755,0.01646127932607755,hold_days,0.021308435361680367,-0.004847156035602818
MMM,2022-11-30,2022-12-05,-0.010637433863509238,-0.011637433863509239,market_dd,-0.018994316490780427,0.0073568826272711885
MMM,2023-07-10,2023-07-17,0.04640413051416514,0.04540413051416514,hold_days,0.020146333968566354,0.025257796545598787
MMM,2025-03-06,2025-03-10,0.004627822949043514,0.003627822949043514,market_dd,-0.011304334995364651,0.014932157944408164
MMM,2026-03-16,2026-03-18,-0.0324775656336842,-0.0334775656336842,market_dd,-0.013481958648914771,-0.019995606984769432
ABT,2018-06-29,2018-07-09,0.023774388529669954,0.022774388529669953,hold_days,0.023913599861947077,-0.0011392113322771236
ABT,2021-11-09,2021-11-16,0.03527669021180024,0.03427669021180024,hold_days,0.0039783985356129925,0.03029829167618725
ABBV,2015-12-07,2015-12-09,-0.004265353046471132,-0.005265353046471132,market_dd,-0.015382200082792341,0.010116847036321208
ABBV,2019-12-05,2019-12-12,0.023178055281755316,0.022178055281755316,hold_days,0.020450926986106177,0.0017271282956491385
ABBV,2020-06-26,2020-07-06,0.029959104316356955,0.028959104316356954,hold_days,0.056639958571757854,-0.0276808542554009
ABBV,2021-06-22,2021-06-29,-0.020924165384823,-0.021924165384823002,hold_days,0.011007980929102379,-0.03293214631392538
ABBV,2024-03-04,2024-03-11,0.014572264052525874,0.013572264052525873,hold_days,0.004703276947467305,0.008868987105058568
ACN,2016-06-15,2016-06-22,0.01345274892564885,0.012452748925648849,hold_days,0.0057816433789572574,0.006671105546691591
ACN,2018-05-31,2018-06-07,0.03126980568262061,0.03026980568262061,hold_days,0.02703629412997932,0.0032335115526412883
ACN,2023-08-08,2023-08-15,-0.024591504412722953,-0.025591504412722954,market_dd,-0.013140889543962198,-0.012450614868760757
ACN,2024-08-07,2024-08-14,0.0056913349696881,0.0046913349696881,hold_days,0.03670270490341321,-0.03201136993372511
ACN,2025-06-05,2025-06-12,0.008719618600926626,0.007719618600926626,hold_days,0.02283969182089285,-0.015120073219966224
ADBE,2015-12-02,2015-12-03,-0.022929722429152255,-0.023929722429152256,market_dd,-0.012911555153562015,-0.01101816727559024
ADBE,2016-03-10,2016-03-17,0.06022393284909833,0.059223932849098326,hold_days,0.0295583369473702,0.029665595901728126
ADBE,2024-05-29,2024-06-05,-0.04564492887762217,-0.04664492887762217,hold_days,0.01930576376548543,-0.0659506926431076
GOOG,2016-01-20,2016-01-27,0.00220480529567868,0.00120480529567868,hold_days,0.011509117326939489,-0.01030431203126081
GOOG,2019-02-25,2019-03-04,0.03461323574290942,0.03361323574290942,hold_days,-0.001009724700868797,0.03462296044377822
GOOG,2021-01-06,2021-01-13,0.011012727846633874,0.010012727846633873,hold_days,0.015878124306991204,-0.0058653964603573305
GOOG,2021-09-14,2021-09-20,-0.030605342127248414,-0.031605342127248415,market_dd,-0.01710869537536852,-0.014496646751879894
