stock,entry_date,entry_price,exit_date,exit_price,exit_reason,ret,ret_net,real_confirms,bench_ret,excess_ret,vix_level,vix_chg_5d,vix_chg_10d,vix_ratio_5_60,clv_entry,clv_prev_day,range_ratio_entry
MMM,2015-09-28,81.5067138671875,2015-10-05,86.18342590332031,hold_days,0.05737824302122352,0.05637824302122352,True,0.05674594502268526,-0.0003677020014617449,23.6200008392334,0.06014363156600244,0.0181034509690563,1.1762024053709301,0.057140436293012575,0.6387114624971321,0.7127854461272347
MMM,2015-11-17,92.49168395996094,2015-11-19,93.89976501464844,resistance,0.015223866561852706,0.014223866561852705,True,0.01644224034589592,-0.002218373784043215,18.15999984741211,0.09927356805112608,0.28339224996377377,0.8464406850382686,0.25373161430906915,0.9811306461720741,1.2619792672771382
MMM,2015-12-17,88.24964904785156,2015-12-24,89.63697814941406,hold_days,0.01572050559442162,0.014720505594421618,False,0.01105112438925393,0.0036693812051676877,17.860000610351562,-0.08924018080224971,0.12256447401893822,1.1877356494851483,0.009852925311943688,0.7892836425968986,0.6805268288267982
MMM,2018-05-31,124.45551300048828,2018-06-07,129.40264892578125,resistance,0.03975023529310073,0.03875023529310073,False,0.0278785412359166,0.010871694057184134,14.9399995803833,0.130105845583395,0.021189300308780634,0.8288589231112194,0.44291856938101964,0.7388068340449332,0.8379988562044259
MMM,2018-09-14,132.05508422851562,2018-09-21,137.42294311523438,hold_days,0.040648634757824986,0.039648634757824985,False,0.01381487022532446,0.025833764532500525,12.369999885559082,-0.15563138514265207,0.009795909025231087,1.0172239161587497,0.23174610531437878,0.9652485167909155,0.9258377414511361
MMM,2019-08-16,105.85685729980469,2019-08-23,102.15351104736328,hold_days,-0.03498447192658383,-0.03598447192658383,False,-0.013137662000638373,-0.022846809925945455,21.18000030517578,0.2525133350854021,0.18522659823693544,1.2682245478870349,0.9080731617496629,0.29730069052102914,1.182365989907396
MMM,2020-06-26,102.75862121582031,2020-07-06,106.5180892944336,hold_days,0.03658542742333415,0.03558542742333415,False,0.05389533097535715,-0.018309903552023,32.220001220703125,-0.02185784565947302,-0.21010050263475022,0.9497533984606068,0.3046151600060635,0.923230491021802,0.7358794542296613
MMM,2021-03-19,130.47474670410156,2021-03-26,134.74075317382812,hold_days,0.03269603181833536,0.03169603181833536,False,0.02267556909582935,0.009020462722506006,21.579999923706055,-0.01506161232333525,-0.24466222771379598,0.8561469876543358,0.008658692663806892,0.6876771352973736,0.6628355992704544
MMM,2021-07-08,138.09335327148438,2021-07-12,139.2843780517578,resistance,0.008624779919218506,0.007624779919218506,False,0.015141245255439806,-0.0075164653362213,16.200000762939453,0.011235973784791575,-0.027610989717032353,0.881165676797235,0.4260076107860388,0.9491102773185709,0.8332953312632164
MMM,2021-08-04,137.57794189453125,2021-08-11,140.39178466796875,hold_days,0.020452717453751657,0.019452717453751656,True,0.021068513342866746,-0.0016157958891150903,18.040000915527344,-0.06818180026907805,-0.08565629325490742,1.0162357724377191,0.09140956357772083,0.754678109633947,1.163090359845669
MMM,2022-04-29,103.02482604980469,2022-05-06,106.81807708740234,hold_days,0.036818805554341916,0.035818805554341915,False,0.010593168812331077,0.025225636742010837,29.989999771118164,0.32231037775930615,0.37442713980568465,1.1702570667371188,0.07462640105683627,0.8365657551178249,1.6888798802698457
