stock,hold_days,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,bench_ret,excess_ret,stock_mom_5d,market_mom_5d,rel_mom_5d
MMM,5,2015-05-28,2015-06-04,94.09860229492188,92.62455749511719,hold_days,-0.01566489579924646,-0.01666489579924646,-0.010349480641943742,-0.006315415157302717,,,
MMM,5,2015-06-05,2015-06-12,91.8817138671875,92.44322204589844,hold_days,0.006111207062621693,0.005111207062621693,0.0022712670458582274,0.0028399400167634656,-0.01566489579924646,-0.010349480641943742,-0.005315415157302716
MMM,5,2015-06-10,2015-06-17,93.02818298339844,91.80565643310547,hold_days,-0.01314146435076713,-0.01414146435076713,-0.005571710515543393,-0.008569753835223737,-0.013200804102569519,-0.013563338859463703,0.0003625347568941839
MMM,5,2015-06-15,2015-06-22,91.17391967773438,93.40251922607422,hold_days,0.024443388594206583,0.023443388594206582,0.021081740682383776,0.002361647911822806,0.006111207062621693,0.0022712670458582274,0.0038399400167634656
MMM,5,2015-06-17,2015-06-24,91.80565643310547,92.15076446533203,hold_days,0.003759115131190427,0.002759115131190427,0.009196753778453415,-0.006437638647262988,-0.0031215282252405885,0.006053369930306696,-0.009174898155547284
MMM,5,2015-06-19,2015-06-26,92.97553253173828,91.8875503540039,hold_days,-0.011701811735931544,-0.012701811735931545,-0.000687391376866131,-0.012014420359065414,-0.0015014370617850714,0.0045936744699379695,-0.006095111531723041
MMM,5,2015-06-23,2015-06-30,93.4961166381836,90.25557708740234,hold_days,-0.03465961654131222,-0.03565961654131222,-0.0271497218850264,-0.008509894656285821,0.024443388594206583,0.021081740682383776,0.003361647911822807
MMM,5,2015-06-25,2015-07-02,91.20316314697266,90.88729095458984,hold_days,-0.0034633907584300516,-0.004463390758430052,-0.010670368301150757,0.006206977542720705,0.003759115131190427,0.009196753778453415,-0.005437638647262988
MMM,5,2015-07-02,2015-07-10,90.88729095458984,90.63578033447266,hold_days,-0.0027672804137472973,-0.0037672804137472973,0.000882524302561194,-0.004649804716308491,-0.011996885345184838,-0.0143793936926212,0.002382508347436363
MMM,5,2015-07-17,2015-07-24,91.653564453125,87.34845733642578,hold_days,-0.04697151870073757,-0.04797151870073757,-0.020279040199679632,-0.027692478501057938,0.0222436530205945,0.03725417615943072,-0.015010523138836218
MMM,5,2015-07-21,2015-07-28,91.1095962524414,88.38964080810547,hold_days,-0.029853665872908053,-0.030853665872908054,-0.00858362790085443,-0.022270037972053625,0.004154346947196519,0.021265248394195302,-0.017110901446998783
MMM,5,2015-07-22,2015-07-29,90.90484619140625,88.58851623535156,hold_days,-0.025480819264327215,-0.026480819264327216,-0.00040250974464883793,-0.026078309519678378,-0.006506008259484886,0.009759229198205599,-0.016265237457690485
MMM,5,2015-07-23,2015-07-30,87.4478988647461,88.65868377685547,hold_days,0.013845786209021105,0.012845786209021104,0.005824417888492084,0.00702136832052902,-0.0037822576107305883,0.009966465926649848,-0.013748723537380436
MMM,5,2015-07-27,2015-08-03,86.98580169677734,87.81056213378906,hold_days,0.00948155240192805,0.00848155240192805,0.012626758360182455,-0.004145205958254405,-0.04697151870073757,-0.020279040199679632,-0.026692478501057937
MMM,5,2015-08-07,2015-08-14,87.0910873413086,86.7342758178711,hold_days,-0.004096992405654087,-0.005096992405654087,0.007606844967771975,-0.012703837373426063,-0.015240428026918607,-0.009831393455729587,-0.00540903457118902
MMM,5,2015-08-19,2015-08-26,85.91837310791016,84.06298065185547,hold_days,-0.021594827612999468,-0.02259482761299947,-0.06631670288216318,0.04372187526916371,-0.0011451392895568402,0.00458232199478692,-0.00572746128434376
MMM,5,2015-08-27,2015-09-03,84.75804138183594,83.48578643798828,hold_days,-0.015010433501125076,-0.016010433501125076,-0.015908558950270435,-0.00010187455085464148,-0.021594827612999468,-0.06631670288216318,0.04472187526916371
MMM,5,2015-08-31,2015-09-08,83.72138977050781,84.48120880126953,hold_days,0.009075566385657208,0.008075566385657207,-0.004191819261265661,0.012267385646922868,0.01491977289018065,0.010260164960596896,0.004659607929583753
MMM,5,2015-09-03,2015-09-11,83.48578643798828,83.20304870605469,hold_days,-0.0033866571065196416,-0.004386657106519642,0.0019039597987398071,-0.006290616905259449,-0.010370017960116051,0.005689311464011748,-0.0160593294241278
MMM,5,2015-09-15,2015-09-22,84.58132934570312,81.29468536376953,hold_days,-0.03885779530019362,-0.03985779530019362,-0.016090527851401637,-0.023767267448791984,0.0069363890928488825,0.015301200028991158,-0.008364810936142275
MMM,5,2015-10-06,2015-10-13,85.87125396728516,87.82675170898438,hold_days,0.022772437240106136,0.021772437240106135,0.011813423645817833,0.009959013594288302,0.05737795683691349,0.056745953295340046,0.0006320035415734448
MMM,5,2015-10-09,2015-10-16,88.29206085205078,87.58526611328125,hold_days,-0.00800519018299839,-0.00900519018299839,0.010528977201330614,-0.019534167384329004,0.06164757971377943,0.0523271153601188,0.009320464353660629
MMM,5,2015-10-16,2015-10-23,87.58526611328125,91.76133728027344,hold_days,0.04768006483637244,0.04668006483637244,0.027189032556959924,0.019491032279412512,-0.0019401756920508495,0.006859654030262341,-0.00879982972231319
MMM,5,2015-10-26,2015-11-02,92.20306396484375,94.19392395019531,hold_days,0.02159212394623533,0.02059212394623533,0.020734888300708576,-0.00014276435447324598,0.04768006483637244,0.027189032556959924,0.020491032279412513
MMM,5,2015-10-28,2015-11-04,93.11014556884766,93.59900665283203,hold_days,0.00525035248304806,0.00425035248304806,0.0093094885731142,-0.00505913609006614,0.05110293696078427,0.024085264456502387,0.027017672504281887
MMM,5,2015-10-30,2015-11-06,92.5976791381836,93.80516815185547,hold_days,0.013040164990203884,0.012040164990203883,0.013857751034198174,-0.0018175860439942904,0.010320461990027896,0.020291832193422676,-0.00997137020339478
MMM,5,2015-11-05,2015-11-12,93.64614868164062,92.06170654296875,hold_days,-0.016919458632071893,-0.017919458632071894,-0.02466423194469536,0.006744773312623464,0.00525035248304806,0.0093094885731142,-0.00405913609006614
MMM,5,2015-11-09,2015-11-16,92.75083923339844,93.18669891357422,hold_days,0.004699253222701039,0.0036992532227010386,-0.010042210468696022,0.01374146369139706,0.013040164990203884,0.013857751034198174,-0.0008175860439942895
