stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,market_dist_from_low_20d,market_dist_from_low_60d,market_dist_from_low_120d,market_vol_5d,market_vol_10d,market_vol_20d,market_vol_ratio_5_60
MMM,5,0.01,2015-09-28,2015-10-05,81.50672149658203,86.1834487915039,hold_days,0.05737842485932876,0.05637842485932876,4,2015-09-24,0.056745919565110325,-0.00036749470578156807,-0.013395812586394735,0.014650568338864292,,0.005417054688446533,0.009437203315366776,0.013133704047898272,0.409793438246418
MMM,5,0.01,2015-11-17,2015-11-19,92.49169158935547,93.89974975585938,resistance,0.015223617844026593,0.014223617844026593,4,2015-11-13,0.01644222929325978,-0.0022186114492331876,0.03089058822078495,0.12874046084133509,0.12874046084133509,0.014066581064955596,0.009349981799940088,0.00961562466022414,1.1299092661878056
MMM,5,0.01,2015-12-16,2015-12-23,88.90182495117188,89.61920928955078,hold_days,0.008069399461404947,0.007069399461404947,1,2015-12-15,-0.004580735082821863,0.011650134544226809,0.0345075367715585,0.13203711520707126,0.14862210232554326,0.01359550628120384,0.012795822324334828,0.010000908803170632,1.4106382802284985
MMM,5,0.01,2016-05-23,2016-05-24,99.85472106933594,101.36962890625,resistance,0.01517111880831501,0.014171118808315009,3,2016-05-20,0.014573567832318668,-0.00040244902400365934,0.0051100921911030415,0.08584777020200977,0.15087240217915446,0.007015438592025287,0.008944878514700752,0.007456885509108176,0.9554232084588186
MMM,5,0.01,2016-06-14,2016-06-21,100.75648498535156,103.01673126220703,hold_days,0.022432762290031105,0.021432762290031104,1,2016-06-13,0.006495261751936043,0.014937500538095061,0.02104901552210182,0.03757673906137359,0.1691228079054639,0.00588187031443741,0.005205271091684852,0.006189028791626865,0.8993254264153507
MMM,5,0.01,2017-01-11,2017-01-19,108.2923355102539,108.77330017089844,hold_days,0.0044413545832058254,0.0034413545832058254,1,2017-01-10,-0.006874514225985062,0.010315868809190887,0.020204756402004295,0.11548805604498115,0.11548805604498115,0.0036372948526992594,0.005035763196389627,0.004477698010231606,0.6811880692452668
MMM,5,0.01,2017-07-27,2017-08-03,123.30767059326172,127.9736328125,hold_days,0.03783999970796015,0.03683999970796015,1,2017-07-26,0.0008095273641566259,0.03603047234380352,0.026444379037947476,0.05764992172872199,0.10825439740155998,0.0024000419962086203,0.0024139071897093215,0.0038769833666340227,0.5468251209471596
MMM,5,0.01,2018-03-20,2018-03-27,145.68360900878906,135.29232788085938,hold_days,-0.07132772999399528,-0.07232772999399528,1,2018-03-19,-0.03895282688603785,-0.03337490310795743,0.018092711709882223,0.06434915839894134,0.14866728825677855,0.007559892305116789,0.009328664485512051,0.010403528748148897,0.6448151505968573
MMM,5,0.01,2018-04-09,2018-04-16,133.3746337890625,136.43930053710938,hold_days,0.022977883132513588,0.021977883132513587,3,2018-04-06,0.027322585889070217,-0.00534470275655663,0.015522450329051014,0.025259901876202515,0.07691135661836813,0.01771267054674372,0.01840459946030833,0.015025698193430512,1.2462857085731496
MMM,5,0.01,2018-06-28,2018-07-06,123.66046142578125,124.60065460205078,hold_days,0.007603021737338622,0.006603021737338622,1,2018-06-27,0.014325157789948806,-0.007722136052610184,0.008489669312667704,0.03168241769479139,0.05233054269903007,0.006466679700931839,0.004690325661103563,0.005698723166359511,0.8288121871144154
