period,n_unfiltered,n_filtered,unfiltered_excess,filtered_excess,delta
"(2015-06-15 23:59:59, 2017-12-24 00:00:00]",288,227,0.011418804020583756,0.011117936618469142,-0.000300867402114614
"(2017-12-24 00:00:00, 2020-09-10 00:00:00]",289,220,0.010074137636272268,0.012038065696479357,0.0019639280602070895
"(2020-09-10 00:00:00, 2023-09-27 12:00:00]",287,214,0.008054121213898603,0.008557501009005614,0.0005033797951070115
"(2023-09-27 12:00:00, 2026-09-10 00:00:00]",288,235,0.011350881675678923,0.011970508311703912,0.0006196266360249895
