stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,market_depth_10d
MMM,5,0.01,2015-09-28,2015-10-05,81.50669860839844,86.18344116210938,hold_days,0.05737862818098538,0.05637862818098538,4,2015-09-24,0.05674594784528564,-0.00036731966430025853,0.05281467918169951
MMM,5,0.01,2015-11-17,2015-11-19,92.49169921875,93.89974975585938,resistance,0.015223534100927472,0.01422353410092747,4,2015-11-13,0.016442188438944516,-0.0022186543380170454,0.02199724617992775
MMM,5,0.01,2015-12-16,2015-12-23,88.90181732177734,89.61919403076172,hold_days,0.008069314335699795,0.007069314335699795,1,2015-12-15,-0.004580689741883304,0.011650004077583098,0.005295697085603062
MMM,5,0.01,2016-05-23,2016-05-24,99.8547592163086,101.36956787109375,resistance,0.015170119748661337,0.014170119748661336,3,2016-05-20,0.01457362880404478,-0.00040350905538344417,0.014349508860785388
MMM,5,0.01,2016-06-14,2016-06-21,100.7564468383789,103.0167236328125,hold_days,0.022433073667824432,0.02143307366782443,1,2016-06-13,0.006495311933397696,0.014937761734426735,0.021772265409022776
MMM,5,0.01,2017-01-11,2017-01-19,108.29235076904297,108.77326202392578,hold_days,0.004440860794576951,0.0034408607945769507,1,2017-01-10,-0.0068745290340993526,0.010315389828676302,-0.0010386063227382524
MMM,5,0.01,2017-07-27,2017-08-03,123.3076400756836,127.97371673583984,hold_days,0.037840937165712685,0.036840937165712684,1,2017-07-26,0.000809539585895136,0.03603139757981755,-0.0005094423321730537
MMM,5,0.01,2018-03-20,2018-03-27,145.68353271484375,135.29238891601562,hold_days,-0.07132682469450691,-0.07232682469450691,1,2018-03-19,-0.0389528008299056,-0.03337402386460131,0.02123852682186963
MMM,5,0.01,2018-04-09,2018-04-16,133.37461853027344,136.4392852783203,hold_days,0.022977885761309658,0.021977885761309657,3,2018-04-06,0.02732256754108353,-0.005344681779773874,0.01865650813149046
MMM,5,0.01,2018-06-28,2018-07-06,123.66045379638672,124.60066986083984,hold_days,0.007603207295367342,0.006603207295367342,1,2018-06-27,0.014325115746012695,-0.007721908450645353,0.027591752481836446
MMM,5,0.01,2018-07-24,2018-07-31,126.63252258300781,133.97755432128906,hold_days,0.05800272780214555,0.05700272780214555,1,2018-07-23,0.008094362844621505,0.04890836495752404,-0.007313659736020188
MMM,5,0.01,2018-10-01,2018-10-08,134.79299926757812,136.17784118652344,hold_days,0.010273841567960407,0.009273841567960406,4,2018-09-27,-0.010286035598445209,0.019559877166405615,-0.0038202608492257407
MMM,5,0.01,2019-01-16,2019-01-24,121.18856048583984,123.13286590576172,hold_days,0.016043638212445366,0.015043638212445365,1,2019-01-15,0.012371428239545956,0.0026722099728994086,-0.0033844736319908458
MMM,5,0.01,2019-04-11,2019-04-18,137.51478576660156,140.96018981933594,hold_days,0.02505478980698217,0.02405478980698217,2,2019-04-09,0.011146716184031957,0.012908073622950211,0.0031379665908591666
MMM,5,0.01,2019-08-13,2019-08-20,107.09239196777344,105.53565979003906,hold_days,-0.014536347065651767,-0.015536347065651768,1,2019-08-12,-0.01208124880894701,-0.0034550982567047583,0.0321277425683722
MMM,5,0.01,2019-10-10,2019-10-17,99.83317565917969,107.1939926147461,hold_days,0.07373117109582372,0.07273117109582372,2,2019-10-08,0.019807975481840323,0.0529231956139834,0.015353610483229365
MMM,5,0.01,2021-03-01,2021-03-08,121.97050476074219,127.0592269897461,hold_days,0.04172092457095222,0.04072092457095222,3,2021-02-26,0.0030511885017787677,0.037669736069173454,0.007703010795488354
MMM,5,0.01,2021-08-04,2021-08-11,137.57798767089844,140.3917999267578,hold_days,0.020452488828302418,0.019452488828302417,2,2021-08-02,0.021068459351590407,-0.0016159705232879906,0.009885060250036192
MMM,5,0.01,2022-10-10,2022-10-17,79.06550598144531,83.00202178955078,hold_days,0.04978803030779666,0.04878803030779666,3,2022-10-07,0.02547277350277466,0.023315256805022,0.03318399670732136
MMM,5,0.01,2022-11-21,2022-11-29,94.12955474853516,93.02328491210938,hold_days,-0.011752630078631032,-0.012752630078631033,3,2022-11-18,0.0028431053118571636,-0.015595735390488197,0.0028730045265421746
MMM,5,0.01,2023-07-07,2023-07-14,73.80840301513672,77.60919952392578,hold_days,0.051495444333209406,0.050495444333209405,1,2023-07-06,0.018752561722609862,0.03174288261059954,0.015465223451578849
MMM,5,0.01,2023-09-15,2023-09-22,77.8150634765625,74.71971893310547,hold_days,-0.039778217804697036,-0.04077821780469704,2,2023-09-13,-0.027211375111154346,-0.013566842693542691,0.009591839457636354
MMM,5,0.01,2023-11-10,2023-11-17,71.46266174316406,74.56596374511719,hold_days,0.04342550258072331,0.04242550258072331,1,2023-11-09,0.023739143814690333,0.018686358766032973,-0.0018264115195528066
MMM,5,0.01,2024-02-16,2024-02-26,72.55254364013672,73.00575256347656,hold_days,0.006246630381255613,0.005246630381255613,2,2024-02-14,0.007750637199788635,-0.0025040068185330213,0.005138334557538621
MMM,5,0.01,2024-03-06,2024-03-13,73.56231689453125,82.74568176269531,hold_days,0.12483789602943807,0.12383789602943807,2,2024-03-04,0.015034146844580487,0.10880374918485758,0.0037984653093639815
MMM,5,0.01,2024-08-09,2024-08-16,118.897705078125,121.65541076660156,hold_days,0.023193935380540154,0.022193935380540153,2,2024-08-07,0.029319368746019148,-0.007125433365478995,0.029880246884362433
MMM,5,0.01,2025-05-07,2025-05-14,134.84063720703125,143.82745361328125,hold_days,0.06664768568582069,0.06564768568582069,1,2025-05-06,0.028347945445980516,0.03729974023984017,0.007467289385814098
