stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,market_depth_10d,weight,period
LLY,5,0.01,2023-11-01,2023-11-08,543.9322509765625,607.3742065429688,hold_days,0.11663576751057536,0.11563576751057536,1,2023-10-31,0.027388116339408963,0.0882476511711664,0.008938019395130977,0.8569916896779044,"(2023-07-12 00:00:00, 2026-07-09 00:00:00]"
LLY,5,0.01,2025-06-23,2025-06-30,765.226806640625,774.0543212890625,hold_days,0.01153581470465026,0.01053581470465026,3,2025-06-20,0.02247118841537543,-0.011935373710725172,0.005957527944217887,0.9046795528925138,"(2023-07-12 00:00:00, 2026-07-09 00:00:00]"
LLY,5,0.01,2026-03-13,2026-03-20,983.38720703125,905.1419067382812,hold_days,-0.07956713259386772,-0.08056713259386772,1,2026-03-12,-0.02096664365037537,-0.05960048894349235,0.04563728366325669,0.2698034613878929,"(2023-07-12 00:00:00, 2026-07-09 00:00:00]"
LLY,5,0.01,2026-03-30,2026-04-07,885.1063842773438,929.489990234375,hold_days,0.05014493934903519,0.04914493934903519,3,2026-03-27,0.030557077724860493,0.018587861624174695,0.04197082012374428,0.32846687802009156,"(2023-07-12 00:00:00, 2026-07-09 00:00:00]"
BMY,5,0.01,2015-06-30,2015-07-08,45.46452331542969,46.543235778808594,hold_days,0.02372646592805716,0.02272646592805716,1,2015-06-29,-0.006563587078840194,0.029290053006897354,0.03460875289807105,0.44625995363086324,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
BMY,5,0.01,2015-07-28,2015-08-04,44.42700958251953,44.55067825317383,hold_days,0.00278363706709972,0.0017836370670997201,1,2015-07-27,0.010932871910843467,-0.009149234843743748,0.011380266348475502,0.817915738424392,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
BMY,5,0.01,2015-11-13,2015-11-20,44.35499572753906,46.89250564575195,hold_days,0.057209111997217565,0.056209111997217565,1,2015-11-12,0.0393952630133918,0.016813848983825763,0.03627994047794458,0.41952095235288667,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
BMY,5,0.01,2015-12-21,2015-12-29,47.04462814331055,48.22005081176758,hold_days,0.024985268559810425,0.023985268559810424,3,2015-12-18,0.028990482801602102,-0.005005214241791678,0.020374897586977254,0.6740016386083639,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
BMY,5,0.01,2016-05-20,2016-05-27,49.49330520629883,49.8709602355957,hold_days,0.0076304265339064425,0.0066304265339064425,1,2016-05-19,0.025603330833075644,-0.018972904299169202,0.009596996639662054,0.8464480537654071,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
BMY,5,0.01,2017-03-08,2017-03-15,40.70439147949219,41.082088470458984,hold_days,0.009279023152995336,0.008279023152995335,1,2017-03-07,0.010794706721863667,-0.002515683568868332,0.011217010836103587,0.8205278266223426,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
BMY,5,0.01,2017-03-23,2017-03-30,39.74236297607422,39.450191497802734,hold_days,-0.007351638312180331,-0.008351638312180332,2,2017-03-21,0.01026155632873782,-0.01861319464091815,0.016466084862632464,0.7365426421978806,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
BMY,5,0.01,2017-04-17,2017-04-24,38.006591796875,38.43724822998047,hold_days,0.01133109844226765,0.01033109844226765,4,2017-04-13,0.019115082381979676,-0.008783983939712026,0.008711630793029874,0.860613907311522,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
BMY,5,0.01,2017-05-22,2017-05-30,38.83203125,38.71001434326172,hold_days,-0.0031421716250880083,-0.004142171625088008,4,2017-05-18,0.016211307779807616,-0.020353479404895625,0.002344477482810815,0.9624883602750269,"(2015-06-17 23:59:59, 2017-12-13 00:00:00]"
