stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,stock_mom_5d,market_mom_5d,rel_mom_5d
MMM,5,0.01,2015-09-28,2015-10-05,81.5066909790039,86.18342590332031,hold_days,0.05737853994736608,0.05637853994736608,4,2015-09-24,0.056745950357465214,-0.0003674104100991338,-0.0004300035810438363,-0.014009713933341494,0.013579710352297658
MMM,5,0.01,2015-11-17,2015-11-19,92.49169921875,93.89974975585938,resistance,0.015223534100927472,0.01422353410092747,4,2015-11-13,0.016442210884046515,-0.0022186767831190446,0.004699335093027113,-0.010042268321814207,0.01474160341484132
MMM,5,0.01,2015-12-16,2015-12-23,88.90182495117188,89.61920928955078,hold_days,0.008069399461404947,0.007069399461404947,1,2015-12-15,-0.004580715295230409,0.011650114756635355,-0.0552332541014815,-0.006021274902081042,-0.04921197919940046
MMM,5,0.01,2016-05-23,2016-05-24,99.85474395751953,101.36962890625,resistance,0.01517088611608619,0.01417088611608619,3,2016-05-20,0.014573623133197877,-0.0004027370171116873,-0.013137505577980435,0.00356846839961511,-0.016705973977595545
MMM,5,0.01,2016-06-14,2016-06-21,100.75643920898438,103.0167465209961,hold_days,0.0224333782511259,0.0214333782511259,1,2016-06-13,0.006495320135796456,0.014938058115329444,-0.017344351845785422,-0.014312857549088953,-0.0030314942966964686
MMM,5,0.01,2017-01-11,2017-01-19,108.29235076904297,108.77328491210938,hold_days,0.0044410721500736106,0.0034410721500736105,1,2017-01-10,-0.006874480720931331,0.01031555287100494,-0.008255873079870746,0.007528788747877657,-0.015784661827748403
MMM,5,0.01,2017-07-27,2017-08-03,123.30760192871094,127.9736328125,hold_days,0.03784057763516224,0.03684057763516224,1,2017-07-26,0.0008095521000490713,0.03603102553511317,-0.06162195788794278,0.0025296038501607665,-0.06415156173810355
MMM,5,0.01,2018-03-20,2018-03-27,145.6835479736328,135.29238891601562,hold_days,-0.07132692196306123,-0.07232692196306123,1,2018-03-19,-0.03895278504124555,-0.03337413692181568,-0.034361960194769,-0.024538557022554364,-0.00982340317221464
MMM,5,0.01,2018-04-09,2018-04-16,133.37457275390625,136.4393310546875,hold_days,0.02297858008089837,0.02197858008089837,3,2018-04-06,0.027322592078498742,-0.005344011997600373,-0.03311784542853846,-0.012858974297287884,-0.020258871131250578
MMM,5,0.01,2018-06-28,2018-07-06,123.66043090820312,124.60064697265625,hold_days,0.007603208702637199,0.006603208702637199,1,2018-06-27,0.014325145094730152,-0.007721936392092953,-0.015953246472625304,-0.024421316975270946,0.008468070502645642
MMM,5,0.01,2018-07-24,2018-07-31,126.63258361816406,133.9775848388672,hold_days,0.05800245885253785,0.05700245885253785,1,2018-07-23,0.00809439432432546,0.04890806452821239,-0.011287132272420841,0.004481941475306339,-0.01576907374772718
MMM,5,0.01,2018-10-01,2018-10-08,134.7930145263672,136.1778106689453,hold_days,0.010273500800052515,0.009273500800052514,4,2018-09-27,-0.010285991041366405,0.01955949184141892,-0.025979025443724546,-0.001851267698376624,-0.024127757745347922
MMM,5,0.01,2019-01-16,2019-01-24,121.18856811523438,123.13288116455078,hold_days,0.01604370015716028,0.015043700157160278,1,2019-01-15,0.012371381994456643,0.002672318162703635,-0.014295041110261808,0.011699123710359416,-0.025994164820621224
MMM,5,0.01,2019-04-11,2019-04-18,137.51478576660156,140.96018981933594,hold_days,0.02505478980698217,0.02405478980698217,2,2019-04-09,0.011146668606130783,0.012908121200851386,-0.0047857294126867345,0.00329627360849849,-0.008082003021185225
MMM,5,0.01,2019-08-13,2019-08-20,107.09235382080078,105.53567504882812,hold_days,-0.014535853554750178,-0.015535853554750179,1,2019-08-12,-0.012081174615998225,-0.003454678938751954,-0.015846073600565003,0.011657122307643819,-0.027503195908208822
