stock,hold_days,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,bench_ret,excess_ret
MMM,5,2015-05-28,2015-06-04,94.0986099243164,92.62457275390625,hold_days,-0.01566481345044024,-0.01666481345044024,-0.010349415724358435,-0.006315397726081806
MMM,5,2015-06-05,2015-06-12,91.88169860839844,92.44324493408203,hold_days,0.00611162325238368,0.00511162325238368,0.0022713313010795932,0.0028402919513040867
MMM,5,2015-06-11,2015-06-18,93.50782775878906,93.367431640625,hold_days,-0.0015014370617850714,-0.0025014370617850714,0.004593611478461268,-0.0070950485402463395
MMM,5,2015-06-15,2015-06-22,91.17389678955078,93.40251159667969,hold_days,0.024443562089629944,0.023443562089629943,0.02108171846835849,0.0023618436212714533
MMM,5,2015-06-17,2015-06-24,91.80567169189453,92.1507797241211,hold_days,0.003759114506397543,0.002759114506397543,0.009196804912162904,-0.006437690405765361
MMM,5,2015-06-22,2015-06-29,93.40251159667969,90.05085754394531,hold_days,-0.035883982083984134,-0.036883982083984135,-0.0275775253584849,-0.009306456725499235
MMM,5,2015-06-24,2015-07-01,92.1507797241211,91.04523468017578,hold_days,-0.011997131736216082,-0.012997131736216083,-0.014379400380291174,0.0013822686440750909
MMM,5,2015-06-25,2015-07-02,91.20316314697266,90.8873291015625,hold_days,-0.003462972494728045,-0.004462972494728045,-0.010670319310669418,0.006207346815941373
MMM,5,2015-07-02,2015-07-10,90.8873291015625,90.63579559326172,hold_days,-0.00276753108257477,-0.00376753108257477,0.0008825086949764138,-0.004650039777551184
MMM,5,2015-07-20,2015-07-27,91.90509796142578,86.9858169555664,hold_days,-0.0535256597835746,-0.0545256597835746,-0.025556667717184678,-0.02896899206638992
MMM,5,2015-07-21,2015-07-28,91.10956573486328,88.38963317871094,hold_days,-0.02985342465650187,-0.03085342465650187,-0.008583544601495352,-0.02226988005500652
MMM,5,2015-07-23,2015-07-30,87.44786834716797,88.65869903564453,hold_days,0.013846314511287705,0.012846314511287704,0.005824470911155011,0.007021843600132693
MMM,5,2015-07-24,2015-07-31,87.34843444824219,88.5241470336914,hold_days,0.01346003042728694,0.012460030427286939,0.012025061985567742,0.0004349684417191968
MMM,5,2015-08-10,2015-08-17,88.4656753540039,87.29578399658203,hold_days,-0.013224240393129194,-0.014224240393129195,-0.000868958979838963,-0.013355281413290232
