stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,bench_ret,excess_ret
MMM,5,0.01,2015-11-17,2015-11-19,92.49170684814453,93.89976501464844,resistance,0.01522361533251515,0.01422361533251515,4,0.016442197834381833,-0.002218582501866684
MMM,5,0.01,2015-11-30,2015-12-07,92.83258819580078,93.52627563476562,hold_days,0.00747245608946856,0.00647245608946856,17,-0.00286684222599054,0.0093392983154591
MMM,5,0.01,2015-12-17,2015-12-24,88.24966430664062,89.63697052001953,hold_days,0.0157202435190964,0.014720243519096399,2,0.011051121334126002,0.003669122184970397
MMM,5,0.01,2016-01-21,2016-01-28,81.67465209960938,87.34255981445312,hold_days,0.06939616599690246,0.06839616599690246,1,0.01349706272245621,0.05489910327444625
MMM,5,0.01,2016-05-23,2016-05-31,99.85475158691406,101.18328094482422,hold_days,0.013304618326087425,0.012304618326087424,3,0.026682032623676077,-0.014377414297588653
MMM,5,0.01,2016-06-14,2016-06-21,100.75647735595703,103.0167465209961,hold_days,0.022432991152061543,0.021432991152061542,1,0.006495273546098357,0.014937717605963186
MMM,5,0.01,2016-06-27,2016-07-05,100.50399017333984,105.57758331298828,hold_days,0.05048150954900388,0.04948150954900388,14,0.05819352975011305,-0.008712020201109172
MMM,5,0.01,2016-10-25,2016-11-01,100.5495376586914,99.35185241699219,hold_days,-0.011911394816798482,-0.012911394816798483,134,-0.010715576189874176,-0.0021958186269243063
MMM,5,0.01,2017-01-11,2017-01-19,108.29237365722656,108.77326202392578,hold_days,0.004440648500524613,0.0034406485005246132,1,-0.006874492044094183,0.010315140544618795
MMM,5,0.01,2017-01-25,2017-02-01,107.58618927001953,106.6364974975586,hold_days,-0.0088272647158959,-0.0098272647158959,15,-0.007666398751974057,-0.002160865963921843
MMM,5,0.01,2017-02-03,2017-02-10,106.55735778808594,108.96807098388672,hold_days,0.022623620234606845,0.021623620234606844,1,0.010644460265619493,0.010979159968987351
MMM,5,0.01,2017-07-27,2017-08-03,123.30766296386719,127.97367858886719,hold_days,0.037840435159064434,0.03684043515906443,1,0.0008095519704502951,0.03603088318861414
MMM,5,0.01,2018-03-20,2018-03-27,145.6835479736328,135.2923583984375,hold_days,-0.0713271314416094,-0.0723271314416094,1,-0.03895282480269313,-0.033374306638916273
MMM,5,0.01,2018-04-26,2018-05-03,123.5223617553711,122.63864135742188,hold_days,-0.007154335339696449,-0.00815433533969645,274,-0.014058583969256855,0.005904248629560405
MMM,5,0.01,2018-06-28,2018-07-06,123.66045379638672,124.60066223144531,hold_days,0.00760314559905062,0.00660314559905062,1,0.014325106036580992,-0.007721960437530372
MMM,5,0.01,2018-07-11,2018-07-18,124.73947143554688,127.59168243408203,hold_days,0.02286534459149836,0.02186534459149836,14,0.01716797468664688,0.004697369904851478
MMM,5,0.01,2018-07-24,2018-07-31,126.63253784179688,133.97755432128906,hold_days,0.05800260031642401,0.05700260031642401,1,0.008094413957802082,0.04890818635862193
MMM,5,0.01,2018-08-13,2018-08-20,126.10246276855469,129.10609436035156,hold_days,0.023818976456547514,0.022818976456547513,21,0.01544860695508743,0.007370369501460083
MMM,5,0.01,2018-10-12,2018-10-19,125.92495727539062,126.95408630371094,hold_days,0.008172558090050908,0.007172558090050908,81,-0.000446498501636583,0.007619056591687491
MMM,5,0.01,2019-01-16,2019-01-24,121.18856048583984,123.13287353515625,hold_days,0.01604370116718723,0.015043701167187229,1,0.012371342918243267,0.0026723582489439623
MMM,5,0.01,2019-03-08,2019-03-15,129.3745574951172,134.0049285888672,hold_days,0.03579043038601126,0.03479043038601126,1,0.02617909770875304,0.008611332677258221
MMM,5,0.01,2019-04-30,2019-05-07,122.04570007324219,115.3544921875,hold_days,-0.054825429177157825,-0.055825429177157826,105,-0.02548909593586013,-0.030336333241297697
MMM,5,0.01,2019-05-20,2019-05-28,107.06612396240234,106.09860229492188,hold_days,-0.009036674082086193,-0.010036674082086194,837,-0.013532113816624114,0.0034954397345379196
MMM,5,0.01,2020-01-28,2020-02-04,109.47074127197266,103.95686340332031,hold_days,-0.0503685076449194,-0.0513685076449194,54,0.0034034329164054355,-0.05477194056132484
MMM,5,0.01,2021-03-01,2021-03-08,121.97051239013672,127.0592269897461,hold_days,0.04172085941012149,0.04072085941012149,3,0.003051211092716999,0.03766964831740449
MMM,5,0.01,2021-04-28,2021-05-05,135.46673583984375,139.27633666992188,hold_days,0.028122039011717614,0.027122039011717614,1,0.009604034218428925,0.01751800479328869
MMM,5,0.01,2021-06-17,2021-06-24,135.913330078125,134.6039276123047,hold_days,-0.009634098914857336,-0.010634098914857337,51,0.01398683060804684,-0.024620929522904178
MMM,5,0.01,2021-08-23,2021-08-30,136.62802124023438,137.67369079589844,hold_days,0.007653404815293641,0.006653404815293641,4,0.011081443926236778,-0.004428039110943137
MMM,5,0.01,2021-08-31,2021-09-08,136.67013549804688,131.86276245117188,hold_days,-0.035175007541744185,-0.036175007541744186,12,-0.007375590657510256,-0.02879941688423393
MMM,5,0.01,2022-01-07,2022-01-14,127.31816101074219,126.4620361328125,hold_days,-0.00672429503484151,-0.00772429503484151,1,0.0007032237340987013,-0.008427518768940212
MMM,5,0.01,2022-03-01,2022-03-08,103.4034423828125,103.86779022216797,hold_days,0.004490641981109267,0.003490641981109267,5,-0.0182568268687191,0.021747468849828366
MMM,5,0.01,2022-04-29,2022-05-06,103.02483367919922,106.8180923461914,hold_days,0.03681887688170127,0.03581887688170127,2,0.010593165135277971,0.025225711746423296
MMM,5,0.01,2022-05-20,2022-05-27,103.78455352783203,107.88314056396484,hold_days,0.039491300938474305,0.038491300938474304,23,0.06779883990060087,-0.029307538962126567
MMM,5,0.01,2022-06-09,2022-06-16,104.03712463378906,94.4834213256836,hold_days,-0.09182975155969109,-0.09282975155969109,20,-0.0776594480858177,-0.015170303473873381
MMM,5,0.01,2022-08-30,2022-09-07,91.02083587646484,87.87890625,hold_days,-0.034518795572577754,-0.035518795572577755,838,-0.003527937128492531,-0.031990858444085224
MMM,5,0.01,2022-09-14,2022-09-21,85.6773910522461,83.6945571899414,hold_days,-0.023143023357183656,-0.024143023357183657,8,-0.039626318727565946,0.015483295370382288
MMM,5,0.01,2022-10-10,2022-10-17,79.06552124023438,83.00201416015625,hold_days,0.049787731215495956,0.048787731215495955,3,0.02547279502410893,0.023314936191387026
MMM,5,0.01,2022-11-21,2022-11-29,94.12954711914062,93.02326965332031,hold_days,-0.011752712083274885,-0.012752712083274886,3,0.002843055625789681,-0.015595767709064567
MMM,5,0.01,2023-02-09,2023-02-16,83.28802490234375,83.69580841064453,hold_days,0.004896064095395669,0.003896064095395669,10,0.00403516682548144,-0.0001391027300857708
MMM,5,0.01,2023-03-09,2023-03-16,78.85342407226562,77.87447357177734,hold_days,-0.012414812825263244,-0.013414812825263245,153,-0.0004814682778386814,-0.012933344547424563
MMM,5,0.01,2023-07-07,2023-07-14,73.80838775634766,77.60919189453125,hold_days,0.051495558346710046,0.050495558346710046,1,0.018752557553027627,0.03174300079368242
MMM,5,0.01,2024-02-16,2024-02-26,72.55255889892578,73.00575256347656,hold_days,0.006246418753915073,0.005246418753915073,2,0.007750621624556864,-0.002504202870641791
MMM,5,0.01,2024-02-28,2024-03-06,72.71952056884766,73.56231689453125,hold_days,0.011589684847903792,0.01058968484790379,14,0.0030404352914052968,0.007549249556498494
MMM,5,0.01,2024-03-07,2024-03-14,73.64183044433594,81.99034118652344,hold_days,0.11336642084824233,0.11236642084824233,3,0.007762126155473892,0.10460429469276844
MMM,5,0.01,2024-10-11,2024-10-18,129.7240447998047,130.0994873046875,hold_days,0.002894162801215572,0.0018941628012155718,1,0.00415131852072248,-0.0022571557195069083
MMM,5,0.01,2025-04-21,2025-04-28,122.63457489013672,134.15011596679688,hold_days,0.0939012597954243,0.0929012597954243,124,0.056084448019495525,0.03681681177592877
MMM,5,0.01,2025-07-18,2025-07-25,149.76072692871094,147.84510803222656,hold_days,-0.012791196569152952,-0.013791196569152953,11,0.014888795042710123,-0.028679991611863076
MMM,5,0.01,2025-08-19,2025-08-26,150.8455810546875,153.732177734375,hold_days,0.019136103686332007,0.018136103686332006,4,0.012725187977556951,0.005410915708775055
MMM,5,0.01,2025-09-08,2025-09-15,151.208740234375,153.820556640625,hold_days,0.017272919556116095,0.016272919556116094,24,0.0033266556830524596,0.012946263873063635
MMM,5,0.01,2025-09-22,2025-09-29,151.0712890625,151.28729248046875,hold_days,0.0014298111792729884,0.0004298111792729884,38,-0.00010699584113960103,0.0005368070204125894
MMM,5,0.01,2025-10-09,2025-10-16,150.1090545654297,148.6656951904297,hold_days,-0.009615405141139344,-0.010615405141139345,55,-0.0054512159318833575,-0.005164189209255987
MMM,5,0.01,2025-12-09,2025-12-16,162.7942657470703,160.9305419921875,hold_days,-0.011448337853486978,-0.01244833785348698,19,0.007577147546459884,-0.020025485399946863
MMM,5,0.01,2026-03-12,2026-03-19,147.6863555908203,141.35693359375,hold_days,-0.042857188612647534,-0.043857188612647535,153,-0.008848214163025392,-0.03500897444962214
