stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,birth_volume_ratio
MMM,5,0.01,2015-09-28,2015-10-05,81.5067138671875,86.18341827392578,hold_days,0.05737814941673158,0.05637814941673158,4,2015-09-24,0.05674598307014689,-0.00036783365341530594,0.9309576738179762
MMM,5,0.01,2015-11-17,2015-11-19,92.49168395996094,93.89976501464844,resistance,0.015223866561852706,0.014223866561852705,4,2015-11-13,0.016442251722580625,-0.0022183851607279204,1.027518676402313
MMM,5,0.01,2015-12-16,2015-12-23,88.90180206298828,89.61918640136719,hold_days,0.00806940153890956,0.00706940153890956,1,2015-12-15,-0.004580783850285153,0.011650185389194712,3.4905286482874054
MMM,5,0.01,2016-05-23,2016-05-24,99.8547592163086,101.36962127685547,resistance,0.015170654583076315,0.014170654583076314,3,2016-05-20,0.014573647769416054,-0.0004029931863397396,1.00940926661264
MMM,5,0.01,2016-06-14,2016-06-21,100.7564697265625,103.0167236328125,hold_days,0.022432841408437376,0.021432841408437375,1,2016-06-13,0.0064953385871056035,0.014937502821331772,1.2410700770304741
MMM,5,0.01,2017-01-11,2017-01-19,108.2923583984375,108.77326965332031,hold_days,0.004440860481710107,0.003440860481710107,1,2017-01-10,-0.00687445640797002,0.010315316889680126,1.438471371783294
MMM,5,0.01,2017-07-27,2017-08-03,123.30767059326172,127.97364807128906,hold_days,0.03784012345362009,0.03684012345362009,1,2017-07-26,0.0008095699403818379,0.03603055351323825,1.4833222634115648
MMM,5,0.01,2018-03-20,2018-03-27,145.68353271484375,135.2923583984375,hold_days,-0.07132703417307706,-0.07232703417307706,1,2018-03-19,-0.03895279160874843,-0.03337424256432864,1.1220292358195776
MMM,5,0.01,2018-04-09,2018-04-16,133.3745574951172,136.4393310546875,hold_days,0.02297869711532141,0.02197869711532141,3,2018-04-06,0.02732266622093449,-0.005343969105613078,0.7783434374686564
MMM,5,0.01,2018-06-28,2018-07-06,123.66039276123047,124.60064697265625,hold_days,0.007603519529824521,0.006603519529824521,1,2018-06-27,0.014325168535327393,-0.007721649005502872,1.0342519086527988
MMM,5,0.01,2018-07-24,2018-07-31,126.63253784179688,133.97756958007812,hold_days,0.0580027208130145,0.057002720813014496,1,2018-07-23,0.008094342021974565,0.04890837879103993,1.7077084097774442
MMM,5,0.01,2018-10-01,2018-10-08,134.7930145263672,136.17782592773438,hold_days,0.010273614001683251,0.00927361400168325,4,2018-09-27,-0.010285896579631859,0.01955951058131511,0.715702116824002
MMM,5,0.01,2019-01-16,2019-01-24,121.18853759765625,123.13285827636719,hold_days,0.016043767152022603,0.015043767152022602,1,2019-01-15,0.012371395908757021,0.002672371243265581,1.1573180501027454
MMM,5,0.01,2019-04-11,2019-04-18,137.51478576660156,140.96022033691406,hold_days,0.02505501172914082,0.02405501172914082,2,2019-04-09,0.011146723960779203,0.012908287768361615,0.838660773971772
