stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,bench_ret,excess_ret
CSCO,5,0.01,2025-06-13,2025-06-23,62.41450881958008,65.61849975585938,hold_days,0.05133407274806867,0.05033407274806867,14,-0.005298993133343144,0.055633065881411814
CSCO,5,0.01,2025-08-05,2025-08-12,66.15026092529297,69.93195343017578,hold_days,0.057168217509431685,0.056168217509431684,4,0.01547282290559071,0.04069539460384097
CSCO,5,0.01,2025-09-15,2025-09-22,65.66040802001953,66.37560272216797,hold_days,0.010892328021025577,0.009892328021025576,3,0.016262170084746286,-0.00636984206372071
CSCO,5,0.01,2026-01-02,2026-01-09,75.34831237792969,73.20795440673828,hold_days,-0.028406183279273245,-0.029406183279273246,16,0.016226412621691777,-0.04563259590096502
CVX,5,0.01,2024-10-16,2024-10-23,136.88307189941406,138.4936981201172,hold_days,0.011766438306459515,0.010766438306459514,1,-0.015645233141044712,0.026411671447504226
CVX,5,0.01,2024-10-29,2024-11-05,136.68983459472656,141.1903076171875,hold_days,0.03292470896467492,0.03192470896467492,14,0.02915980341016655,0.002764905554508368
CVX,5,0.01,2025-05-06,2025-05-13,127.47036743164062,133.81568908691406,hold_days,0.04977879787375916,0.04877879787375916,1,0.00967403203114281,0.03910476584261635
CVX,5,0.01,2025-05-22,2025-05-30,128.72801208496094,130.06964111328125,hold_days,0.010422199539870336,0.009422199539870335,17,0.013252698463359192,-0.0038304989234888565
CVX,5,0.01,2025-06-04,2025-06-11,130.70713806152344,137.75772094726562,hold_days,0.053941835084962975,0.052941835084962974,13,0.007191632227247835,0.04575020285771514
CVX,5,0.01,2025-08-20,2025-08-27,147.41128540039062,153.2030792236328,hold_days,0.039290029983191754,0.03829002998319175,1,0.013069100801439859,0.025220929181751894
CVX,5,0.01,2025-09-05,2025-09-12,147.83462524414062,151.15382385253906,hold_days,0.022452105539666034,0.021452105539666033,17,0.013431073530974169,0.008021032008691864
CVX,5,0.01,2025-10-02,2025-10-09,147.55560302734375,145.8911895751953,hold_days,-0.011279906814788965,-0.012279906814788966,44,0.002705501719373782,-0.014985408534162747
