label,n,avg_weight,unweighted_mean,weighted_mean,gain,p_perm,n_positive_periods
config.ticker_list (fresh pull),1152,0.7734249151549304,0.010242367562882385,0.010939030125308774,0.0006966625624263891,0.00599880023995201,3
config.oos_ticker_list minus NVDA (frozen pull),1703,0.7527649121419171,0.00987064350909968,0.010138254051070389,0.00026761054197070935,0.14217156568686262,3
