period,n,avg_weight,unweighted_excess,weighted_excess,delta
"(2015-06-17 23:59:59, 2017-12-13 00:00:00]",428,0.8206663146875292,0.007228101615484807,0.00687947397241965,-0.00034862764306515734
"(2017-12-13 00:00:00, 2020-06-01 00:00:00]",424,0.7429704055404793,0.00956492048325314,0.009846989325702694,0.00028206884244955446
"(2020-06-01 00:00:00, 2023-07-12 00:00:00]",425,0.6692710295504701,0.010864959043965918,0.011389278887571871,0.000524319843605953
"(2023-07-12 00:00:00, 2026-07-09 00:00:00]",426,0.7775911342331203,0.011837897948320209,0.0127964667491766,0.0009585688008563915
