period,n_unfiltered,n_filtered,unfiltered_excess,filtered_excess,delta
"(2015-06-17 23:59:59, 2017-12-13 00:00:00]",428,208,0.007228101615484807,0.010206978455942472,0.0029788768404576645
"(2017-12-13 00:00:00, 2020-06-01 00:00:00]",424,213,0.00956492048325314,0.012116184397271672,0.0025512639140185325
"(2020-06-01 00:00:00, 2023-07-12 00:00:00]",425,208,0.010864959043965918,0.010764741596020441,-0.00010021744794547725
"(2023-07-12 00:00:00, 2026-07-09 00:00:00]",426,222,0.011837897948320209,0.015205158862296616,0.003367260913976407
