period,n,avg_weight,unweighted_excess,weighted_excess,delta
"(2015-06-15 23:59:59, 2017-12-24 00:00:00]",288,0.8167888836748517,0.011418809781873322,0.01089950325056887,-0.0005193065313044507
"(2017-12-24 00:00:00, 2020-09-09 00:00:00]",288,0.7380398828955903,0.010175141074540326,0.012001644407373323,0.0018265033328329974
"(2020-09-09 00:00:00, 2023-09-18 00:00:00]",288,0.7115965579199747,0.007881979270852617,0.009041520572295852,0.001159541301443235
"(2023-09-18 00:00:00, 2026-09-10 00:00:00]",288,0.8272743361293047,0.011493540124263275,0.011662242041853243,0.00016870191758996782
