stock,entry_date,entry_price,trough_date,exit_date,exit_price,exit_reason,ret,ret_net,bench_ret,excess_ret,bounce_1d,bounce_to_entry_high
MMM,2015-09-28,81.50669860839844,2015-09-24,2015-10-05,86.1834487915039,hold_days,0.05737872178549486,0.056378721785494856,0.05674598300458156,-0.00036726121908670084,0.014391486390607389,0.014391486390607389
MMM,2015-11-17,92.49168395996094,2015-11-13,2015-11-19,93.89974975585938,resistance,0.01522370158713926,0.01422370158713926,0.016442181778283604,-0.0022184801911443452,0.016447342415211175,0.016447342415211175
MMM,2015-12-17,88.24964904785156,2015-12-15,2015-12-24,89.6369857788086,hold_days,0.015720592046828186,0.014720592046828185,0.01105110752305527,0.0036694845237729146,0.012286303207396765,0.012286303207396765
MMM,2018-05-31,124.45549774169922,2018-05-29,2018-06-07,129.4027099609375,resistance,0.03975085318855065,0.03875085318855065,0.027878610138521775,0.010872243050028874,0.015019830571824322,0.015019830571824322
MMM,2018-09-14,132.05511474609375,2018-09-12,2018-09-21,137.42291259765625,hold_days,0.04064816316947151,0.039648163169471506,0.0138148256350068,0.025833337534464706,0.011320465745016772,0.011320465745016772
MMM,2019-08-16,105.85686492919922,2019-08-12,2019-08-23,102.15350341796875,hold_days,-0.03498461355064131,-0.03598461355064131,-0.013137688005403492,-0.022846925545237817,0.017150045890845345,0.017150045890845345
MMM,2020-06-26,102.75863647460938,2020-06-24,2020-07-06,106.51811218261719,hold_days,0.036585496236481774,0.03558549623648177,0.05389531761677113,-0.01830982138028936,0.016095026672912516,0.016095026672912516
MMM,2021-03-19,130.4747314453125,2021-03-16,2021-03-26,134.74069213867188,hold_days,0.03269568479738494,0.03169568479738494,0.022675600902444026,0.009020083894940911,0.007760100556143845,0.022210085520439682
MMM,2021-07-08,138.09335327148438,2021-07-06,2021-07-12,139.28436279296875,resistance,0.008624669423030973,0.007624669423030973,0.01514119542769432,-0.007516526004663348,0.015084405463121842,0.015084405463121842
MMM,2021-08-04,137.57794189453125,2021-08-02,2021-08-11,140.3917694091797,hold_days,0.020452606543609697,0.019452606543609696,0.021068488261734464,-0.0016158817181247676,0.017770592900281157,0.017770592900281157
MMM,2022-04-29,103.02483367919922,2022-04-27,2022-05-06,106.81808471679688,hold_days,0.036818802827764285,0.035818802827764284,0.010593161949432162,0.025225640878332123,0.020317738638540694,0.020317738638540694
MMM,2022-07-18,93.01861572265625,2022-07-14,2022-07-25,96.77804565429688,hold_days,0.04041588774928373,0.03941588774928373,0.035133678771843035,0.0042822089774406935,0.014184381383705036,0.014184381383705036
MMM,2022-12-09,92.75038146972656,2022-12-06,2022-12-16,89.74868774414062,hold_days,-0.03236314156363529,-0.03336314156363529,-0.016428903809112327,-0.016934237754522963,0.014207861721128756,0.014207861721128756
MMM,2023-07-10,73.73255157470703,2023-07-06,2023-07-17,77.15400695800781,hold_days,0.04640359393820925,0.04540359393820925,0.01617046046112125,0.029233133477088002,0.010175354584694318,0.010175354584694318
MMM,2023-09-15,77.81507873535156,2023-09-13,2023-09-22,74.7197036743164,hold_days,-0.0397786021853489,-0.0407786021853489,-0.027211387961659117,-0.013567214223689783,0.012568089325664555,0.012568089325664555
MMM,2024-02-16,72.55255889892578,2024-02-14,2024-02-26,73.00575256347656,hold_days,0.006246418753915073,0.005246418753915073,0.00775065861872104,-0.0025042398648059674,0.01616985290749362,0.01616985290749362
MMM,2025-04-08,123.67525482177734,2025-04-04,2025-04-15,131.5532989501953,hold_days,0.0636994372056936,0.0626994372056936,0.06580072806989357,-0.003101290864199968,0.012922649042611756,0.012922649042611756
MMM,2025-06-04,143.486083984375,2025-06-02,2025-06-11,143.8477020263672,hold_days,0.002520230756535069,0.001520230756535069,0.019454804375151236,-0.017934573618616168,0.011817014000491843,0.011817014000491843
ABT,2015-07-02,39.75619125366211,2015-06-29,2015-07-10,40.17458724975586,hold_days,0.010524046265503628,0.009524046265503627,0.0008824761727397323,0.008641570092763895,0.0014284921055183197,0.010406120489396153
ABT,2015-08-11,40.74052810668945,2015-08-07,2015-08-18,40.78095626831055,hold_days,0.000992332782609573,-7.667217390427104e-06,0.004582376388716725,-0.004590043606107152,0.010975425460746147,0.010975425460746147
ABT,2016-01-15,33.17513656616211,2016-01-13,2016-01-25,32.45500564575195,hold_days,-0.021706946675983607,-0.022706946675983608,-0.008456924392461151,-0.014250022283522457,0.02035774328312745,0.02035774328312745
ABT,2016-03-03,31.76761245727539,2016-02-29,2016-03-10,31.939468383789062,hold_days,0.005409784155003816,0.004409784155003816,-0.00042835563599319393,0.00483813979099701,0.015229960747374927,0.01548806712257833
ABT,2017-07-10,40.715057373046875,2017-07-06,2017-07-14,41.5175895690918,resistance,0.019710943513890022,0.01871094351389002,0.010399864974111495,0.008311078539778527,0.010429513429505599,0.010429513429505599
ABT,2018-05-31,52.99049377441406,2018-05-29,2018-06-07,54.41150665283203,resistance,0.026816373602166488,0.025816373602166487,0.027878610138521775,-0.0020622365363552886,0.012561261603349694,0.012561261603349694
ABT,2018-06-29,52.52543640136719,2018-06-27,2018-07-09,53.774208068847656,hold_days,0.023774608133440678,0.022774608133440677,0.021871363026786828,0.0009032451066538494,0.012894736784295313,0.012894736784295313
ABT,2018-10-26,58.19034194946289,2018-10-24,2018-11-02,60.9699821472168,hold_days,0.04776806776918363,0.04676806776918363,0.02479263912945906,0.02197542863972457,0.010905169192952702,0.010905169192952702
ABT,2019-05-17,66.56807708740234,2019-05-13,2019-05-24,67.45307922363281,hold_days,0.013294692816024689,0.012294692816024688,-0.009414233332587396,0.021708926148612084,0.007019995200220119,0.014569557655654597
ABT,2019-05-31,66.70825958251953,2019-05-29,2019-06-07,70.74774932861328,hold_days,0.06055456657652436,0.05955456657652436,0.04438327689108368,0.015171289685440681,0.011232623349151316,0.011232623349151316
ABT,2020-02-07,77.92308807373047,2020-02-03,2020-02-14,79.51044464111328,hold_days,0.02037081186876044,0.01937081186876044,0.012079584428253742,0.007291227440506698,0.013439061792508644,0.02871578521297047
ABT,2020-07-28,89.27396392822266,2020-07-24,2020-08-04,89.33651733398438,hold_days,0.0007006903581878721,-0.00029930964181212796,0.0043188157955220685,-0.0046181254373341965,0.010510420120117159,0.010510420120117159
ABT,2020-08-14,89.39017486572266,2020-08-11,2020-08-21,91.54471588134766,hold_days,0.02410266026284713,0.02310266026284713,-0.004896692582199713,0.027999352845046843,0.016050897797343477,0.02059344867468016
ABT,2020-10-19,96.90873718261719,2020-10-15,2020-10-26,97.76982879638672,hold_days,0.008885593175637752,0.00788559317563775,-0.009937753907282465,0.017823347082920216,0.021897109643980617,0.021897109643980617
ABT,2021-03-12,105.10720825195312,2021-03-08,2021-03-19,108.29527282714844,hold_days,0.030331550311498923,0.029331550311498922,-0.004590271580771632,0.033921821892270554,0.00925378000421273,0.016345443389228276
ABT,2022-09-02,94.48146057128906,2022-08-29,2022-09-12,100.74027252197266,hold_days,0.06624381029716542,0.06524381029716542,0.037177634483232413,0.028066175813933003,0.0035349094865189112,0.029457904148313174
ABT,2024-10-07,108.70980072021484,2024-10-03,2024-10-14,112.44023132324219,hold_days,0.034315494815672754,0.03331549481567275,0.018968261580501133,0.01434723323517162,0.0036530671501411316,0.010068565631154769
ABT,2025-04-10,120.58499908447266,2025-04-08,2025-04-17,127.44884490966797,hold_days,0.05692122467394989,0.05592122467394989,0.018389966860316243,0.037531257813633645,0.024929501732166903,0.024929501732166903
ABT,2025-08-18,127.32699584960938,2025-08-14,2025-08-25,128.8908233642578,hold_days,0.012281979200196691,0.01128197920019669,0.013032442940563493,-0.0017504637403668033,0.019105765891951565,0.019105765891951565
ABT,2025-10-06,130.71861267089844,2025-10-02,2025-10-13,128.41192626953125,hold_days,-0.017646197081165327,-0.018646197081165328,-0.01737737174264642,-0.0012688253385189086,0.01203089708293481,0.01203089708293481
ABT,2026-03-10,109.082763671875,2026-03-06,2026-03-17,109.24063873291016,hold_days,0.0014472961237950166,0.0004472961237950166,-0.004790797545464076,0.005238093669259093,0.028203717281229945,0.028203717281229945
ABBV,2016-11-03,37.41697692871094,2016-10-31,2016-11-10,42.84641647338867,hold_days,0.14510631243732575,0.14410631243732575,0.0405704312402444,0.10353588119708135,0.012011651872324558,0.018106860859090634
ABBV,2017-11-22,65.55311584472656,2017-11-20,2017-11-30,67.25315856933594,hold_days,0.025933820272345365,0.024933820272345364,0.02260389646344385,0.002329923808901513,0.011538639093936931,0.011538639093936931
ABBV,2018-06-28,65.2667236328125,2018-06-27,2018-07-06,68.43719482421875,hold_days,0.048577146437488894,0.04757714643748889,0.014325134065545697,0.033252012371943196,0.010053495534324774,0.010053495534324774
ABBV,2018-10-18,64.81459045410156,2018-10-15,2018-10-25,58.92431640625,hold_days,-0.09087882846413664,-0.09187882846413664,-0.02559654657357746,-0.06628228189055918,0.03061227274706768,0.034648896881922076
ABBV,2019-03-27,58.304161071777344,2019-03-25,2019-04-03,60.632259368896484,hold_days,0.03993022546457792,0.03893022546457792,0.024890324957893117,0.0140399005066848,0.015721313531677605,0.015721313531677605
ABBV,2019-07-29,50.43594741821289,2019-07-25,2019-08-05,48.97197341918945,hold_days,-0.02902640029509551,-0.030026400295095512,-0.05913131691820184,0.029104916623106325,0.016501537715007508,0.016501537715007508
ABBV,2019-12-05,66.05510711669922,2019-12-03,2019-12-12,67.58614349365234,hold_days,0.023178168105128405,0.022178168105128404,0.02176221035075332,0.00041595775437508475,0.014543595067157522,0.014543595067157522
ABBV,2020-01-03,67.56327819824219,2019-12-30,2020-01-10,67.83749389648438,hold_days,0.00405864998790606,0.00305864998790606,0.005049696579889407,-0.0019910465919833467,0.00022619053276629053,0.011636196007052568
ABBV,2020-03-13,65.90534973144531,2020-03-09,2020-03-20,53.128807067871094,hold_days,-0.19386199626641487,-0.19486199626641487,-0.15951207771976028,-0.03534991854665459,0.02650381978779426,0.02650381978779426
ABBV,2020-11-16,79.0689468383789,2020-11-12,2020-11-17,79.75225067138672,resistance,0.008641873457661209,0.007641873457661209,-0.002079526908730811,0.009721400366392019,0.014753905471306394,0.014753905471306394
ABBV,2021-12-21,109.47392272949219,2021-12-17,2021-12-29,114.031494140625,hold_days,0.0416315712226234,0.0406315712226234,0.02769555099715304,0.012936020225470357,0.010267931211614956,0.010267931211614956
ABBV,2022-06-17,118.70051574707031,2022-06-14,2022-06-27,131.4564666748047,hold_days,0.10746331511242158,0.10646331511242157,0.04254460158621942,0.06391871352620215,0.0034153198241675398,0.011117759527462301
ABBV,2024-03-04,162.76409912109375,2024-02-29,2024-03-11,165.1359405517578,hold_days,0.014572264052525874,0.013572264052525873,0.004129369836741725,0.009442894215784148,0.016245451796752963,0.016245451796752963
ABBV,2024-10-23,177.33970642089844,2024-10-21,2024-10-30,190.19558715820312,hold_days,0.07249296278179518,0.07149296278179518,-0.009809627815131394,0.08130259059692657,0.011900956050748812,0.011900956050748812
ABBV,2025-08-08,192.09078979492188,2025-08-06,2025-08-15,200.47080993652344,hold_days,0.04362530942034315,0.04262530942034315,0.00961811523299616,0.03300719418734699,0.013041182673691365,0.013041182673691365
ABBV,2025-12-05,220.85816955566406,2025-12-02,2025-12-12,218.1619415283203,hold_days,-0.012207961483916008,-0.013207961483916009,0.008316449034669882,-0.02152441051858589,0.02616228983264013,0.02616228983264013
ABBV,2026-04-10,204.7715606689453,2026-04-07,2026-04-17,206.9072723388672,hold_days,0.010429727951210443,0.009429727951210443,0.019969800771205026,-0.010540072819994584,0.02529435371700517,0.029219395303630158
ACN,2015-07-02,80.55859375,2015-06-29,2015-07-10,81.75872802734375,hold_days,0.014897656742471899,0.013897656742471898,0.0008824761727397323,0.013015180569732165,0.0010342796782634167,0.014274070194677746
ACN,2016-05-03,95.70460510253906,2016-04-29,2016-05-06,97.60517120361328,resistance,0.01985866927759572,0.01885866927759572,-0.003904703071981541,0.02276337234957726,0.01310689811863086,0.01310689811863086
ACN,2016-05-17,98.17112731933594,2016-05-13,2016-05-24,100.62075805664062,hold_days,0.024952659750319572,0.02395265975031957,0.016312687493075018,0.007639972257244554,0.01481277940613368,0.01481277940613368
ACN,2016-06-17,99.31146240234375,2016-06-13,2016-06-24,94.14189147949219,hold_days,-0.052054121425660904,-0.053054121425660905,-0.018017216923395085,-0.03503690450226582,0.00862636375867254,0.01042004816279074
