stock,entry_date,entry_price,exit_date,exit_price,exit_reason,ret,ret_net,real_confirms,bench_ret,excess_ret,market_depth_10d
TSLA,2015-10-14,14.458666801452637,2015-10-21,14.005999565124512,hold_days,-0.031307674666287144,-0.032307674666287145,False,0.011003049294775247,-0.04331072396106239,0.012939292665846768
TSLA,2015-11-03,13.890000343322754,2015-11-10,14.43333339691162,hold_days,0.039116849543496146,0.038116849543496145,False,-0.009639925564082552,0.0477567751075787,-0.0027426190373760146
TSLA,2016-09-13,13.06999969482422,2016-09-20,13.642666816711426,hold_days,0.04381538907869942,0.04281538907869942,True,0.013719911963714582,0.029095477114984836,0.0323009484345657
TSLA,2017-10-19,23.45400047302246,2017-10-26,21.744667053222656,hold_days,-0.07288025007784638,-0.07388025007784638,False,0.003692289275146532,-0.07757253935299291,-0.0010014075175157845
TSLA,2018-10-11,16.815332412719727,2018-10-18,17.5939998626709,hold_days,0.046306991193475255,0.045306991193475254,True,0.017089389509644004,0.02821760168383125,0.06870607639740635
TSLA,2019-05-16,15.222000122070312,2019-05-23,13.03266716003418,hold_days,-0.1438268916357337,-0.1448268916357337,True,-0.019026863522189075,-0.12580002811354463,0.02777251750647887
TSLA,2021-07-27,214.9266662597656,2021-08-03,236.5800018310547,hold_days,0.10074755240058653,0.09974755240058653,True,0.013467438636016293,0.08628011376457023,0.002385761245640987
TSLA,2021-12-10,339.010009765625,2021-12-17,310.8566589355469,hold_days,-0.08304578041675514,-0.08404578041675514,False,-0.008962624378592743,-0.0750831560381624,-0.007304410410968001
TSLA,2022-04-14,328.3333435058594,2022-04-22,335.01666259765625,hold_days,0.0203552859433469,0.0193552859433469,False,-0.028486775930067654,0.047842061873414554,0.025725041535618293
TSLA,2024-10-07,240.8300018310547,2024-10-14,219.16000366210935,hold_days,-0.08998047587171931,-0.09098047587171931,False,0.025835701243132947,-0.11681617711485226,0.010635302845041059
TSLA,2025-07-09,295.8800048828125,2025-07-16,321.6700134277344,hold_days,0.08716374246085468,0.08616374246085468,False,-0.010877730301632638,0.09704147276248731,0.0046891644895195326
META,2015-11-03,101.68701934814452,2015-11-10,106.97063446044922,hold_days,0.05195958290620406,0.05095958290620406,False,-0.009639925564082552,0.06059950847028661,-0.0027426190373760146
META,2016-04-15,108.6855697631836,2016-04-22,109.5975570678711,hold_days,0.008391061542711187,0.007391061542711187,True,0.015352871824078074,-0.007961810281366888,0.0006225580077016633
META,2016-09-13,126.10262298583984,2016-09-20,127.5201644897461,hold_days,0.011241173818132388,0.010241173818132387,False,0.013719911963714582,-0.003478738145582194,0.0323009484345657
META,2016-09-29,126.9749526977539,2016-10-06,127.61930847167967,hold_days,0.005074668351793488,0.004074668351793488,True,0.005053118967080827,-0.0009784506152873398,0.010879593207866474
META,2017-06-15,148.49595642089844,2017-06-22,152.0646209716797,hold_days,0.024032065497232802,0.0230320654972328,False,0.005104822947261889,0.017927242549970912,0.002895553005080706
META,2017-07-06,147.52452087402344,2017-07-13,157.8736114501953,hold_days,0.07015166370212689,0.06915166370212689,True,0.01484899561398123,0.054302668088145656,0.019643839431098743
META,2017-12-29,174.9238739013672,2018-01-08,186.6409912109375,hold_days,0.06698409455633914,0.06598409455633913,True,0.03458633633766173,0.03139775821867741,0.0073533283718829265
META,2018-11-23,130.58326721191406,2018-11-30,139.385986328125,hold_days,0.06741077401536932,0.06641077401536932,False,0.048661195332527996,0.017749578682841327,0.05057834490513145
META,2019-09-12,185.83804321289065,2019-09-19,188.48480224609375,hold_days,0.014242288540301962,0.01324228854030196,False,-0.0030845886452040006,0.01632687718550596,-0.002447000920422448
META,2020-03-18,145.68069458007812,2020-03-25,154.85018920898438,hold_days,0.0629424142666064,0.061942414266606405,False,0.03530075962546664,0.026641654641139767,0.21544647880182005
META,2020-09-23,246.85226440429688,2020-09-30,259.6201171875,hold_days,0.0517226480138413,0.0507226480138413,False,0.03749237882618761,0.013230269187653687,0.0404529670838803
META,2021-10-15,321.9329833984375,2021-10-22,321.78424072265625,hold_days,-0.00046202993620303445,-0.0014620299362030345,False,0.021888513202214632,-0.023350543138417668,-0.008956775993960865
META,2022-09-30,134.4989013671875,2022-10-07,132.2882843017578,hold_days,-0.016435948866188932,-0.017435948866188933,False,0.007937173235320394,-0.025373122101509327,0.0757027872078257
META,2024-03-15,480.3950500488281,2024-03-22,505.6799926757813,hold_days,0.05263364521425262,0.05163364521425262,False,0.021822588317102154,0.029811056897150467,0.011745577653061272
META,2025-05-09,590.1004028320312,2025-05-16,637.7573852539062,hold_days,0.08076080306530531,0.07976080306530531,True,0.04165838769095709,0.03810241537434822,0.004696967166098004
META,2025-10-14,706.8117065429688,2025-10-21,731.3678588867188,hold_days,0.034742141529962245,0.033742141529962244,True,0.017515487716917244,0.016226653813045,0.006917328256150573
NFLX,2015-12-24,11.732999801635742,2016-01-04,10.996000289916992,hold_days,-0.06281424394262769,-0.06381424394262769,False,-0.023797865193464718,-0.04001637874916297,0.0016011264005929627
NFLX,2016-04-21,9.498000144958496,2016-04-28,9.027999877929688,hold_days,-0.04948412927518042,-0.05048412927518042,False,0.006104732141584357,-0.05658886141676478,0.0028974902812844744
NFLX,2016-07-21,8.598999977111816,2016-07-28,9.164999961853027,hold_days,0.06582160556433858,0.06482160556433858,True,0.014407420197201093,0.05041418536713749,0.006383762874679124
NFLX,2017-10-25,19.37700080871582,2017-11-01,19.799999237060547,hold_days,0.02182992262427219,0.02082992262427219,False,-0.0006209160515795453,0.021450838675851736,0.005756450563299359
NFLX,2018-11-26,26.14299964904785,2018-12-03,29.030000686645508,hold_days,0.11043113171226326,0.10943113171226326,False,0.04392149880526475,0.06550963290699852,0.03261410908945584
NFLX,2020-01-03,32.59000015258789,2020-01-10,32.904998779296875,hold_days,0.009665499393499477,0.008665499393499476,True,0.012481167283502792,-0.003815667890003316,0.005667076428088883
NFLX,2020-10-06,50.58700180053711,2020-10-13,55.40900039672851,hold_days,0.09532090111219449,0.09432090111219449,False,0.04082111212869388,0.05349978898350061,0.011319077543445357
NFLX,2021-01-15,49.79800033569336,2021-01-25,55.678001403808594,hold_days,0.1180770518590617,0.1170770518590617,True,0.007006955879808263,0.11007009597925344,0.009711815150212794
NFLX,2021-02-26,53.8849983215332,2021-03-05,51.63899993896485,hold_days,-0.04168132973052019,-0.04268132973052019,False,0.007313938411928733,-0.04999526814244892,0.027969449469684264
NFLX,2021-10-15,62.82899856567383,2021-10-22,66.47799682617188,hold_days,0.05807824959495145,0.05707824959495145,False,0.021888513202214632,0.035189736392736815,-0.008956775993960865
NFLX,2022-04-29,19.035999298095703,2022-05-06,18.097000122070312,hold_days,-0.049327548363553686,-0.05032754836355369,False,0.003561548653217228,-0.053889097016770915,0.06803298655954008
NFLX,2022-07-14,17.47800064086914,2022-07-21,22.38800048828125,hold_days,0.28092457188329445,0.27992457188329445,False,0.05580727211912362,0.22411729976417083,0.027491692078240166
NFLX,2023-02-09,36.25,2023-02-16,35.07099914550781,hold_days,-0.032524161503232785,-0.033524161503232786,False,0.000848484644633718,-0.034372646147866504,0.021797738055429384
NFLX,2024-01-19,48.29499816894531,2024-01-26,57.04199981689453,hold_days,0.18111609855228705,0.18011609855228705,False,0.004058484021452813,0.17605761453083424,-0.00481975941765149
NFLX,2024-04-18,61.055999755859375,2024-04-25,56.47999954223633,hold_days,-0.07494759289702568,-0.07594759289702568,False,0.01357548460220892,-0.0895230774992346,0.03912785226460467
NFLX,2024-06-28,67.48799896240234,2024-07-05,69.06500244140625,resistance,0.02336716902633995,0.02236716902633995,False,0.005875460039620917,0.016491708986719034,0.003998095929604242
NFLX,2025-11-25,104.4000015258789,2025-12-03,103.95999908447266,hold_days,-0.004214582710491466,-0.005214582710491466,False,0.013636750903939676,-0.018851333614431143,0.007327564466042284
