stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,bounce_1d,bounce_2d,bounce_3d,bounce_5d,bounce_to_entry_high
TSLA,5,0.01,2015-07-09,2015-07-16,17.19466781616211,17.778667449951172,hold_days,0.03396399628262281,0.03296399628262281,1,2015-07-08,0.03550596350571089,-0.002541967223088082,0.011609720385955313,,,,0.011609720385955313
TSLA,5,0.01,2015-12-14,2015-12-21,14.571999549865724,15.503999710083008,hold_days,0.0639582891166004,0.0629582891166004,3,2015-12-11,0.008552232273392857,0.05440605684320754,0.007188217785247808,,,,0.007188217785247808
TSLA,5,0.01,2016-09-13,2016-09-20,13.06999969482422,13.642666816711426,hold_days,0.04381538907869942,0.04281538907869942,4,2016-09-09,0.013719911963714582,0.029095477114984836,0.019694523621018867,0.008124572113641593,,,0.019694523621018867
TSLA,5,0.01,2017-09-29,2017-10-06,22.739999771118164,23.79199981689453,hold_days,0.04626209570646078,0.04526209570646078,1,2017-09-28,0.014510835842070025,0.030751259864390756,0.004416978099188729,,,,0.004416978099188729
TSLA,5,0.01,2018-10-11,2018-10-18,16.815332412719727,17.5939998626709,hold_days,0.046306991193475255,0.045306991193475254,3,2018-10-08,0.017089389509644004,0.02821760168383125,0.04885057241581614,0.02522349742917873,0.0066649866226398125,,0.04885057241581614
TSLA,5,0.01,2019-05-16,2019-05-23,15.222000122070312,13.03266716003418,hold_days,-0.1438268916357337,-0.1448268916357337,3,2019-05-13,-0.019026863522189075,-0.12580002811354463,0.02334699863237777,0.021761154300082408,0.005814741546632307,,0.02334699863237777
TSLA,5,0.01,2019-11-27,2019-12-05,22.086000442504883,22.024667739868164,hold_days,-0.0027769945398843365,-0.0037769945398843366,1,2019-11-26,-0.011556339921107273,0.007779345381222936,0.0072054427979364455,,,,0.0072054427979364455
TSLA,5,0.01,2021-07-27,2021-08-03,214.9266662597656,236.5800018310547,hold_days,0.10074755240058653,0.09974755240058653,4,2021-07-23,0.013467438636016293,0.08628011376457023,0.022133069927244398,0.002175974686604576,,,0.022133069927244398
TSLA,5,0.01,2021-09-21,2021-09-28,246.4600067138672,259.1866760253906,hold_days,0.05163786807122306,0.05063786807122306,1,2021-09-20,0.0011785602114393612,0.0494593078597837,0.012613531089680885,,,,0.012613531089680885
TSLA,5,0.01,2022-09-06,2022-09-13,274.4200134277344,292.1300048828125,hold_days,0.06453607823228924,0.06353607823228924,4,2022-09-02,0.010420619648967788,0.05311545858332145,0.015580556255471167,,,,0.015580556255471167
