period,n_unfiltered,n_filtered,unfiltered_excess,filtered_excess,delta
"(2015-06-15 23:59:59, 2017-12-24 00:00:00]",288,64,0.011418785537290196,0.009236666462877113,-0.002182119074413083
"(2017-12-24 00:00:00, 2020-09-09 00:00:00]",288,67,0.010175135987388388,0.017151086445367513,0.006975950457979125
"(2020-09-09 00:00:00, 2023-09-18 00:00:00]",288,40,0.007881969131658449,0.013829667572280824,0.005947698440622375
"(2023-09-18 00:00:00, 2026-09-10 00:00:00]",288,53,0.011493530185699097,0.014166673067837181,0.0026731428821380847
