stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,bounce_1d,bounce_2d,bounce_3d,bounce_5d,bounce_to_entry_high
MMM,5,0.01,2015-09-28,2015-10-05,81.5067138671875,86.18341827392578,hold_days,0.05737814941673158,0.05637814941673158,4,2015-09-24,0.05674599265388136,-0.0003678432371497786,0.01439110573082436,0.005814343767744035,,,0.01439110573082436
MMM,5,0.01,2015-11-17,2015-11-19,92.49166870117188,93.8997573852539,resistance,0.015223951560776605,0.014223951560776604,4,2015-11-13,0.016442222959017094,-0.00221827139824049,0.016447177346538444,0.00886595381528621,,,0.016447177346538444
MMM,5,0.01,2015-12-16,2015-12-23,88.90182495117188,89.61920928955078,hold_days,0.008069399461404947,0.007069399461404947,1,2015-12-15,-0.004580670424343958,0.011650069885748904,0.012286479087288527,,,,0.012286479087288527
MMM,5,0.01,2016-05-23,2016-05-24,99.85472869873047,101.3696060180664,resistance,0.015170812029407621,0.01417081202940762,3,2016-05-20,0.014573652909628976,-0.00040284088022135567,0.0066658498373994846,,,,0.0066658498373994846
MMM,5,0.01,2016-06-14,2016-06-21,100.75643920898438,103.01673126220703,hold_days,0.02243322680880433,0.02143322680880433,1,2016-06-13,0.0064953152045772455,0.014937911604227083,0.0028718467437141015,,,,0.0028718467437141015
MMM,5,0.01,2017-01-11,2017-01-19,108.29234313964844,108.77328491210938,hold_days,0.004441142914792584,0.003441142914792584,1,2017-01-10,-0.006874457915414078,0.010315600830206662,0.007418966264676419,,,,0.007418966264676419
MMM,5,0.01,2017-07-27,2017-08-03,123.30760192871094,127.97367858886719,hold_days,0.03784094887234857,0.03684094887234857,1,2017-07-26,0.0008095344621439349,0.03603141441020463,0.005124762675384309,,,,0.005124762675384309
MMM,5,0.01,2018-03-20,2018-03-27,145.6835479736328,135.2923583984375,hold_days,-0.0713271314416094,-0.0723271314416094,1,2018-03-19,-0.038952823318147645,-0.03337430812346176,0.003843354242887953,,,,0.003843354242887953
MMM,5,0.01,2018-04-09,2018-04-16,133.3745574951172,136.43927001953125,hold_days,0.02297823949313771,0.021978239493137708,3,2018-04-06,0.027322587929685005,-0.005344348436547297,0.0026382697080180595,,,,0.0026382697080180595
MMM,5,0.01,2018-06-28,2018-07-06,123.660400390625,124.60070037841797,hold_days,0.007603889238775752,0.006603889238775752,1,2018-06-27,0.014325183242433148,-0.0077212940036573965,0.005386570146739933,,,,0.005386570146739933
MMM,5,0.01,2018-07-24,2018-07-31,126.63253784179688,133.97756958007812,hold_days,0.0580027208130145,0.057002720813014496,1,2018-07-23,0.008094354349468036,0.04890836646354646,0.009253610512157007,,,,0.009253610512157007
MMM,5,0.01,2018-10-01,2018-10-08,134.79299926757812,136.1779022216797,hold_days,0.010274294374534865,0.009274294374534864,4,2018-09-27,-0.010285940407935845,0.01956023478247071,0.002855428022681572,0.009899625022864456,,,0.009899625022864456
MMM,5,0.01,2019-01-16,2019-01-24,121.18852233886719,123.13287353515625,hold_days,0.016044020991132113,0.015044020991132112,1,2019-01-15,0.01237137385754572,0.002672647133586392,0.0028583608158720963,,,,0.0028583608158720963
MMM,5,0.01,2019-04-11,2019-04-18,137.51475524902344,140.96023559570312,hold_days,0.02505535017271643,0.024055350172716428,2,2019-04-09,0.011146688968938445,0.012908661203777982,0.0007074744581487824,0.0074068518046130905,,,0.0074068518046130905
MMM,5,0.01,2019-08-13,2019-08-20,107.09236145019531,105.53567504882812,hold_days,-0.014535923760455538,-0.015535923760455539,1,2019-08-12,-0.012081257196317585,-0.0034546665641379537,0.017150120839388938,,,,0.017150120839388938
MMM,5,0.01,2019-10-10,2019-10-17,99.8331527709961,107.19400024414062,hold_days,0.07373149368556287,0.07273149368556286,2,2019-10-08,0.019807977839041202,0.05292351584652166,0.0016583978426696344,0.010415081297168616,,,0.010415081297168616
MMM,5,0.01,2021-03-01,2021-03-08,121.97050476074219,127.05919647216797,hold_days,0.04172067436637872,0.04072067436637872,3,2021-02-26,0.003051194535877988,0.03766947983050073,0.007711836933776972,,,,0.007711836933776972
MMM,5,0.01,2021-08-04,2021-08-11,137.57794189453125,140.39175415039062,hold_days,0.020452495633467738,0.019452495633467737,2,2021-08-02,0.02106852542100257,-0.001616029787534834,0.01777025621094941,5.057758268445234e-05,,,0.01777025621094941
MMM,5,0.01,2022-10-10,2022-10-17,79.06551361083984,83.00201416015625,hold_days,0.049787832514335495,0.048787832514335494,3,2022-10-07,0.025472797627855037,0.023315034886480457,0.008742429522283546,,,,0.008742429522283546
MMM,5,0.01,2022-11-21,2022-11-29,94.12954711914062,93.02326202392578,hold_days,-0.011752793135343609,-0.01275279313534361,3,2022-11-18,0.002843079320779429,-0.015595872456123039,0.006863180102514743,,,,0.006863180102514743
MMM,5,0.01,2023-07-07,2023-07-14,73.80840301513672,77.60919952392578,hold_days,0.051495444333209406,0.050495444333209405,1,2023-07-06,0.018752608292241346,0.03174283604096806,0.010175775449828395,,,,0.010175775449828395
MMM,5,0.01,2023-09-15,2023-09-22,77.81507110595703,74.71971130371094,hold_days,-0.0397784099950419,-0.0407784099950419,2,2023-09-13,-0.02721138353493391,-0.01356702646010799,0.012567891983512158,9.883933401511058e-05,,,0.012567891983512158
