stock,entry_date,entry_price,exit_date,exit_price,exit_reason,ret,ret_net,real_confirms,bench_ret,excess_ret,market_depth_10d
MMM,2015-09-28,81.50670623779297,2015-10-05,86.18343353271484,hold_days,0.057378435601086464,0.05637843560108646,True,0.05674593107555426,-0.00036749547446779385,0.05281469485720087
MMM,2015-11-17,92.49168395996094,2015-11-19,93.89976501464844,resistance,0.015223866561852706,0.014223866561852705,True,0.01644221608882468,-0.0022183495269719744,0.02199725623067394
MMM,2015-12-17,88.24964904785156,2015-12-24,89.63699340820312,hold_days,0.01572067849923453,0.01472067849923453,False,0.011051032443878839,0.003669646055355691,0.023143624494956126
MMM,2018-05-31,124.45552062988281,2018-06-07,129.40267944335938,resistance,0.03975041676285995,0.03875041676285995,False,0.0278785561353474,0.010871860627512553,0.015572168826030148
MMM,2018-09-14,132.05508422851562,2018-09-21,137.4228973388672,hold_days,0.04064828811182153,0.03964828811182153,False,0.013814872735603778,0.02583341537621775,0.0001725508150296384
MMM,2019-08-16,105.85685729980469,2019-08-23,102.15348052978516,hold_days,-0.03498476021757324,-0.03598476021757324,False,-0.013137647911731554,-0.022847112305841688,0.020180110185938842
MMM,2020-06-26,102.75865936279297,2020-07-06,106.51809692382812,hold_days,0.03658511685873922,0.03558511685873922,False,0.05389530024749023,-0.01831018338875101,0.04743642041762704
MMM,2021-03-19,130.4747772216797,2021-03-26,134.74072265625,hold_days,0.03269555637809107,0.03169555637809107,False,0.022675584669287208,0.009019971708803864,0.011771597977277516
MMM,2021-07-08,138.09335327148438,2021-07-12,139.28436279296875,resistance,0.008624669423030973,0.007624669423030973,False,0.015141230991871923,-0.007516561568840951,0.009519969871075352
MMM,2021-08-04,137.57797241210938,2021-08-11,140.39175415039062,hold_days,0.020452269276455715,0.019452269276455714,True,0.021068512439742282,-0.0016162431632865681,0.00988508296295499
MMM,2022-04-29,103.02482604980469,2022-05-06,106.81808471679688,hold_days,0.03681887960828423,0.035818879608284226,False,0.010593172753557312,0.025225706854726915,0.07347482020360485
MMM,2022-07-18,93.01860809326172,2022-07-25,96.77803802490234,hold_days,0.040415891064198295,0.039415891064198294,False,0.035133689489591946,0.004282201574606348,0.01466882224197094
MMM,2022-12-09,92.75039672851562,2022-12-16,89.74868774414062,hold_days,-0.03236330075397009,-0.03336330075397009,False,-0.016428941569322175,-0.016934359184647918,0.03648928168153037
MMM,2023-07-10,73.7325210571289,2023-07-17,77.15402221679688,hold_days,0.046404233988106114,0.04540423398810611,True,0.0161704557544895,0.029233778233616614,0.012653746942600921
MMM,2023-09-15,77.81507110595703,2023-09-22,74.71971893310547,hold_days,-0.03977831194983772,-0.04077831194983772,True,-0.02721137662760653,-0.013566935322231188,0.009591814903195875
MMM,2024-02-16,72.55255126953125,2024-02-26,73.00575256347656,hold_days,0.006246524567574241,0.005246524567574241,True,0.007750676754215258,-0.002504152186641017,0.005138350631349892
MMM,2025-04-08,123.67526245117188,2025-04-15,131.5532684326172,hold_days,0.06369912483149665,0.06269912483149664,False,0.06580074408283032,-0.003101619251333676,0.12698177039275763
MMM,2025-06-04,143.48609924316406,2025-06-11,143.84768676757812,hold_days,0.0025200178018727204,0.0015200178018727204,True,0.01945479231676872,-0.017934774514896,0.00416211775008338
ABT,2015-07-02,39.75617599487305,2015-07-10,40.174591064453125,hold_days,0.010524530066323257,0.009524530066323256,False,0.0008825080247496508,0.008642022041573605,0.02122008122394511
ABT,2015-08-11,40.74052429199219,2015-08-18,40.78095626831055,hold_days,0.0009924265095013762,-7.57349049862379e-06,False,0.004582328439413086,-0.00458990192991171,0.008238645167912307
ABT,2016-01-15,33.17513656616211,2016-01-25,32.454994201660156,hold_days,-0.021707291635883808,-0.02270729163588381,True,-0.008456955175688785,-0.014250336460195023,0.0806130085235339
