min_ratio,n_levels,n_births_blocked,any_age_n,any_age_mean_excess,any_age_t_stat,any_age_placebo_excess,young_n,young_mean_excess,young_t_stat,young_placebo_excess,young_n_stocks_positive,young_n_stocks_total,any_age_lift,young_lift
0.0,4511,0,2597,0.0026848273800770188,4.235601656352688,-0.0007773443387329649,1152,0.010242366711273156,10.675926038137916,-0.0014134215631776428,40,41,0.0034621717188099838,0.0116557882744508
0.5,4497,76,2589,0.0029634730675292304,4.68605140446228,-0.0013407828512128645,1159,0.0105865248588592,11.008958885120926,-0.0007195447555913549,40,41,0.0043042559187420944,0.011306069614450555
0.75,4289,828,2533,0.0031975813156165187,5.032965575028316,-0.0009880764501645346,1151,0.010838972462316682,11.07011844499883,-0.0009407736187697019,38,41,0.004185657765781054,0.011779746081086385
1.0,3444,3176,2146,0.003295876879366911,4.6832743795315395,-0.0008055247049700835,970,0.011279040065740325,10.10399525721615,-0.0005321878978303494,40,41,0.004101401584336995,0.011811227963570675
1.25,2246,5692,1514,0.004510367624684252,5.000896255967916,-0.001708601359787793,622,0.012307677539448864,7.877419430637331,0.00011577047469586803,35,41,0.006218968984472045,0.012191907064752995
1.5,1326,7309,897,0.005454958780618671,4.605258470518958,-0.000279029421436956,339,0.014015138038075045,5.947595457490426,-0.001671107712045251,35,41,0.005733988202055626,0.015686245750120297
2.0,539,8638,355,0.003890309569942206,2.5828483472038366,0.001534805307052031,121,0.01253853463204429,5.250352900719655,-0.00052718630115876,31,39,0.0023555042628901754,0.01306572093320305
