ratio_range,n,mean_birth_ratio,hit_rate,mean_excess,t_stat
"(0.202, 0.804]",231,0.6791532543566201,0.8268398268398268,0.008686370070742145,5.878771717233105
"(0.804, 0.97]",230,0.8872833353766706,0.7739130434782608,0.007283864090854988,4.0877354886462
"(0.97, 1.148]",231,1.050872205498735,0.8441558441558441,0.010657100388643452,6.467047623291714
"(1.148, 1.413]",230,1.267599173331146,0.8608695652173913,0.01042873824896847,5.578827978796472
"(1.413, 7.161]",231,2.013065467724032,0.8484848484848485,0.013971412692913871,4.143260009718671
