stock,entry_date,entry_price,exit_date,exit_price,exit_reason,ret,ret_net,real_confirms,bench_ret,excess_ret,vix_level,vix_chg_5d,vix_chg_10d,vix_ratio_5_60,clv_entry,clv_prev_day,range_ratio_entry
TSLA,2015-10-14,14.458666801452637,2015-10-21,14.005999565124512,hold_days,-0.031307674666287144,-0.032307674666287145,False,0.011003049294775247,-0.04331072396106239,17.670000076293945,-0.08917523588938048,-0.3414088659507841,0.8633780925949388,0.26268091998704246,0.7129059807590851,0.6575601414586798
TSLA,2015-11-03,13.890000343322754,2015-11-10,14.43333339691162,hold_days,0.039116849543496146,0.038116849543496145,False,-0.009639925564082552,0.0477567751075787,14.149999618530273,-0.07455855763027708,-0.05540720621291462,0.7131965674711979,0.08968618495329582,0.7657347787377491,0.7842630700371193
TSLA,2016-09-13,13.06999969482422,2016-09-20,13.642666816711426,hold_days,0.04381538907869942,0.04281538907869942,True,0.013719911963714582,0.029095477114984836,15.15999984741211,0.26544243962317915,0.11062273048212878,0.9896213587705583,0.5158718445058834,0.5777167357652628,0.8727683522784629
TSLA,2017-10-19,23.45400047302246,2017-10-26,21.744667053222656,hold_days,-0.07288025007784638,-0.07388025007784638,False,0.003692289275146532,-0.07757253935299291,10.069999694824219,0.022334954805521168,0.045690506246566676,0.9168047047441583,0.40335331255494283,0.622322427901906,1.2193432505996782
TSLA,2018-10-11,16.815332412719727,2018-10-18,17.5939998626709,hold_days,0.046306991193475255,0.045306991193475254,True,0.017089389509644004,0.02821760168383125,22.959999084472656,0.977605492112801,0.7812256379315257,1.2857966198490307,0.24205699099492936,0.5135293795096588,0.9735093072157998
TSLA,2019-05-16,15.222000122070312,2019-05-23,13.03266716003418,hold_days,-0.1438268916357337,-0.1448268916357337,True,-0.019026863522189075,-0.12580002811354463,16.440000534057617,-0.1525772753956839,0.11081083258022062,1.2525664109302979,0.4066668362091974,0.9318487038838719,0.5621436674590613
TSLA,2021-07-27,214.9266662597656,2021-08-03,236.5800018310547,hold_days,0.10074755240058653,0.09974755240058653,True,0.013467438636016293,0.08628011376457023,17.579999923706055,-0.21866667005750873,0.08719850592204037,0.9985132991232091,0.4467648732347048,0.4983395482703085,1.9134303461570799
TSLA,2021-12-10,339.010009765625,2021-12-17,310.8566589355469,hold_days,-0.08304578041675514,-0.08404578041675514,False,-0.008962624378592743,-0.0750831560381624,21.579999923706055,-0.22790700054934365,0.16146394038313883,1.23423101686302,0.8972703202087738,0.023948658607143944,0.7280844352554434
TSLA,2022-04-14,328.3333435058594,2022-04-22,335.01666259765625,hold_days,0.0203552859433469,0.0193552859433469,False,-0.028486775930067654,0.047842061873414554,21.81999969482422,-0.012669714109158181,0.12881530165266386,0.8714223358899473,0.09207163426925846,0.9271746808400668,0.7099295487570819
TSLA,2024-10-07,240.8300018310547,2024-10-14,219.16000366210935,hold_days,-0.08998047587171931,-0.09098047587171931,False,0.025835701243132947,-0.11681617711485226,19.209999084472656,0.13266510150109245,0.18947365561738994,1.0539471331369374,0.014239300469295255,0.8620683057495456,1.0617336902645789
