stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,stock_mom_5d,market_mom_5d,rel_mom_5d,stock_mom_10d,market_mom_10d,rel_mom_10d,stock_mom_20d,market_mom_20d,rel_mom_20d,stock_mom_60d,market_mom_60d,rel_mom_60d
MMM,5,0.01,2015-09-28,2015-10-05,81.5067138671875,86.18341064453125,hold_days,0.05737805581223987,0.05637805581223987,4,2015-09-24,0.05674589416302811,-0.000367838350788241,-0.0004296325681339974,-0.014009668946387555,0.013580036378253557,-0.012034742173121615,-0.012102716526519508,6.79743533978927e-05,-0.030159851045127972,-0.025967708353485053,-0.004192142691642919,-0.09713285646768588,-0.05456014780927154,-0.04257270865841434
MMM,5,0.01,2015-11-17,2015-11-19,92.49168395996094,93.89974975585938,resistance,0.01522370158713926,0.01422370158713926,4,2015-11-13,0.016442180582836308,-0.0022184789956970485,0.0046994181230179954,-0.01004225750824661,0.014741675631264606,-0.010693179141610387,-0.019937601720674936,0.009244422579064548,0.06898648889329206,0.026607100318035037,0.042379388575257027,0.11344919463378478,0.0710362881272335,0.04241290650655127
MMM,5,0.01,2015-12-16,2015-12-23,88.90180969238281,89.61920928955078,hold_days,0.008069572482835907,0.007069572482835907,1,2015-12-15,-0.004580690912868279,0.011650263395704186,-0.05523309448598135,-0.00602133394178106,-0.04921176054420029,-0.055895528943284645,-0.024547389118870555,-0.03134813982441409,-0.05756102257640472,0.00164223372603578,-0.0592032563024405,0.06471916734581074,0.0718964396621169,-0.00717727231630616
MMM,5,0.01,2016-05-23,2016-05-24,99.85472869873047,101.36963653564453,resistance,0.015171117649166677,0.014171117649166676,3,2016-05-20,0.01457358917786955,-0.0004024715287028746,-0.013137202959944805,0.003568505905558128,-0.016705708865502933,-0.016467883610071232,0.0005525816577880427,-0.017020465267859275,-0.015126749237038162,-0.016870309378824055,0.0017435601417858937,0.0447750411654364,0.07769340271866576,-0.03291836155322936
MMM,5,0.01,2016-06-14,2016-06-21,100.75643157958984,103.01673889160156,hold_days,0.02243337994980754,0.02143337994980754,1,2016-06-13,0.006495286794095723,0.014938093155711818,-0.01734501437918412,-0.01431277864800895,-0.00303223573117517,-0.010421121490200247,-0.009287050837639144,-0.0011340706525611033,-0.0004585348895637109,0.021221704756187787,-0.021680239645751498,0.02743727816832653,0.03838931436774562,-0.01095203619941909
MMM,5,0.01,2017-01-11,2017-01-19,108.29232788085938,108.77328491210938,hold_days,0.004441284444260285,0.003441284444260285,1,2017-01-10,-0.006874502489342849,0.010315786933603133,-0.008256361150497438,0.007528797908781026,-0.015785159059278464,-0.012140112424574356,0.00664253858773467,-0.018782651012309026,-0.010700630144786949,0.012045223453330589,-0.022745853598117538,0.04524266807243382,0.09846004532070984,-0.05321737724827602
MMM,5,0.01,2017-07-27,2017-08-03,123.30764770507812,127.97362518310547,hold_days,0.03784013047744805,0.03684013047744805,1,2017-07-26,0.00080954647764786,0.03603058399980019,-0.06162179000715928,0.002529644210912174,-0.06415143421807146,-0.05806904028779436,0.011638086593409591,-0.06970712688120395,-0.051243985227520494,0.02628431838625378,-0.07752830361377427,0.027763883028095515,0.04743560495480814,-0.019671721926712626
MMM,5,0.01,2018-03-20,2018-03-27,145.68357849121094,135.29241943359375,hold_days,-0.07132690702160427,-0.07232690702160427,1,2018-03-19,-0.038952826425832976,-0.033374080595771294,-0.03436157152250019,-0.024538519616608023,-0.009823051905892166,-0.005369519576236215,-0.0009927159911455874,-0.004376803585090627,-0.021591022015985062,-0.009321878057645172,-0.01226914395833989,-0.02292272676607332,0.02724613211214244,-0.05016885887821576
MMM,5,0.01,2018-04-09,2018-04-16,133.37452697753906,136.43927001953125,hold_days,0.022978473561959145,0.021978473561959144,3,2018-04-06,0.027322591509774785,-0.005344117947815641,-0.03311740914037431,-0.012859046109575112,-0.020258363030799198,-0.048931221959958804,-0.011152991689544312,-0.03777823027041449,-0.10192943574182467,-0.04421386838326946,-0.05771556735855521,-0.11512944141260417,-0.0367982540146764,-0.07833118739792777
MMM,5,0.01,2018-06-28,2018-07-06,123.66043853759766,124.60061645507812,hold_days,0.007602899751925296,0.006602899751925296,1,2018-06-27,0.014325173801997382,-0.007722274050072086,-0.015953062381492522,-0.02442137618644602,0.008468313804953498,-0.04866016427771169,-0.03670692345951798,-0.011953240818193711,-0.01892492364094389,-0.0199161414146114,0.0009912177736675076,-0.09280659291733617,0.019372749947800028,-0.1121793428651362
MMM,5,0.01,2018-07-24,2018-07-31,126.63255310058594,133.9775390625,hold_days,0.05800235233415729,0.05700235233415729,1,2018-07-23,0.00809440134953543,0.04890795098462186,-0.011287432191239621,0.004481914837633827,-0.01576934702887345,-0.008427805995740667,0.011141766628601557,-0.019569572624342224,0.011908190732131452,0.027947192250911357,-0.016039001518779905,0.01577911499614748,0.04793470569568159,-0.03215559069953411
MMM,5,0.01,2018-10-01,2018-10-08,134.79296875,136.17788696289062,hold_days,0.010274409902338633,0.009274409902338632,4,2018-09-27,-0.010285960942614802,0.019560370844953434,-0.025978581302776416,-0.0018512029127886187,-0.024127378389987797,0.013613942470404705,0.011938079188901884,0.0016758632815028207,0.002331182647280494,0.020916541492075114,-0.01858535884479462,0.07490834918745137,0.09354566093179506,-0.018637311744343688
