stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,bench_ret,excess_ret
MMM,5,0.01,2015-09-28,2015-10-05,81.50672149658203,86.18341827392578,hold_days,0.057378050441396544,0.05637805044139654,4,0.05674584191212961,-0.00036779147073306984
MMM,5,0.01,2015-11-17,2015-11-19,92.49170684814453,93.89976501464844,resistance,0.01522361533251515,0.01422361533251515,4,0.016442197834381833,-0.002218582501866684
MMM,5,0.01,2015-11-30,2015-12-07,92.83258819580078,93.52627563476562,hold_days,0.00747245608946856,0.00647245608946856,17,-0.00286684222599054,0.0093392983154591
MMM,5,0.01,2015-12-16,2015-12-23,88.90184783935547,89.61920166015625,hold_days,0.008069054111192742,0.007069054111192742,1,-0.0045807314073067484,0.01164978551849949
MMM,5,0.01,2016-01-20,2016-01-27,81.20035552978516,86.29315185546875,hold_days,0.06271889196119962,0.06171889196119962,118,0.01108487935393776,0.05063401260726186
MMM,5,0.01,2016-05-23,2016-05-24,99.85475158691406,101.36962127685547,resistance,0.015170732147111288,0.014170732147111287,3,0.014573523443142333,-0.00040279129603104646
MMM,5,0.01,2016-06-14,2016-06-21,100.75647735595703,103.0167465209961,hold_days,0.022432991152061543,0.021432991152061542,1,0.006495273546098357,0.014937717605963186
MMM,5,0.01,2016-06-27,2016-07-05,100.50399017333984,105.57758331298828,hold_days,0.05048150954900388,0.04948150954900388,14,0.05819352975011305,-0.008712020201109172
MMM,5,0.01,2016-10-25,2016-11-01,100.5495376586914,99.35185241699219,hold_days,-0.011911394816798482,-0.012911394816798483,134,-0.010715576189874176,-0.0021958186269243063
MMM,5,0.01,2017-01-11,2017-01-19,108.29237365722656,108.77326202392578,hold_days,0.004440648500524613,0.0034406485005246132,1,-0.006874492044094183,0.010315140544618795
MMM,5,0.01,2017-01-25,2017-02-01,107.58618927001953,106.6364974975586,hold_days,-0.0088272647158959,-0.0098272647158959,15,-0.007666398751974057,-0.002160865963921843
MMM,5,0.01,2017-07-27,2017-08-03,123.30766296386719,127.97367858886719,hold_days,0.037840435159064434,0.03684043515906443,1,0.0008095519704502951,0.03603088318861414
MMM,5,0.01,2018-01-04,2018-01-11,148.72988891601562,150.97286987304688,hold_days,0.015080902523216588,0.014080902523216587,13,0.015559942846175012,-0.0014790403229584248
MMM,5,0.01,2018-03-20,2018-03-27,145.6835479736328,135.2923583984375,hold_days,-0.0713271314416094,-0.0723271314416094,1,-0.03895282480269313,-0.033374306638916273
MMM,5,0.01,2018-04-09,2018-04-16,133.37457275390625,136.4392852783203,hold_days,0.022978236864299895,0.021978236864299894,3,0.027322595512603742,-0.0053443586483038485
MMM,5,0.01,2018-04-26,2018-05-03,123.5223617553711,122.63864135742188,hold_days,-0.007154335339696449,-0.00815433533969645,274,-0.014058583969256855,0.005904248629560405
