stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,bench_ret,excess_ret
MMM,5,0.01,2015-11-17,2015-11-19,92.49170684814453,93.89976501464844,resistance,0.01522361533251515,0.01422361533251515,4,0.016442197834381833,-0.002218582501866684
MMM,5,0.01,2015-12-17,2015-12-24,88.24966430664062,89.63697052001953,hold_days,0.0157202435190964,0.014720243519096399,2,0.011051121334126002,0.003669122184970397
MMM,5,0.01,2016-01-21,2016-01-28,81.67465209960938,87.34255981445312,hold_days,0.06939616599690246,0.06839616599690246,1,0.01349706272245621,0.05489910327444625
MMM,5,0.01,2016-05-23,2016-05-31,99.85475158691406,101.18328094482422,hold_days,0.013304618326087425,0.012304618326087424,3,0.026682032623676077,-0.014377414297588653
MMM,5,0.01,2016-06-14,2016-06-21,100.75647735595703,103.0167465209961,hold_days,0.022432991152061543,0.021432991152061542,1,0.006495273546098357,0.014937717605963186
MMM,5,0.01,2016-06-28,2016-07-06,101.94669342041016,105.29501342773438,hold_days,0.03284383136897184,0.03184383136897184,1,0.04713696952789603,-0.015293138158924191
MMM,5,0.01,2017-01-11,2017-01-19,108.29237365722656,108.77326202392578,hold_days,0.004440648500524613,0.0034406485005246132,1,-0.006874492044094183,0.010315140544618795
MMM,5,0.01,2017-02-03,2017-02-10,106.55735778808594,108.96807098388672,hold_days,0.022623620234606845,0.021623620234606844,1,0.010644460265619493,0.010979159968987351
MMM,5,0.01,2017-07-27,2017-08-03,123.30766296386719,127.97367858886719,hold_days,0.037840435159064434,0.03684043515906443,1,0.0008095519704502951,0.03603088318861414
MMM,5,0.01,2018-03-20,2018-03-27,145.6835479736328,135.2923583984375,hold_days,-0.0713271314416094,-0.0723271314416094,1,-0.03895282480269313,-0.033374306638916273
MMM,5,0.01,2018-06-28,2018-07-06,123.66045379638672,124.60066223144531,hold_days,0.00760314559905062,0.00660314559905062,1,0.014325106036580992,-0.007721960437530372
MMM,5,0.01,2018-07-24,2018-07-31,126.63253784179688,133.97755432128906,hold_days,0.05800260031642401,0.05700260031642401,1,0.008094413957802082,0.04890818635862193
MMM,5,0.01,2019-01-16,2019-01-24,121.18856048583984,123.13287353515625,hold_days,0.01604370116718723,0.015043701167187229,1,0.012371342918243267,0.0026723582489439623
MMM,5,0.01,2019-03-08,2019-03-15,129.3745574951172,134.0049285888672,hold_days,0.03579043038601126,0.03479043038601126,1,0.02617909770875304,0.008611332677258221
MMM,5,0.01,2021-03-01,2021-03-08,121.97051239013672,127.0592269897461,hold_days,0.04172085941012149,0.04072085941012149,3,0.003051211092716999,0.03766964831740449
MMM,5,0.01,2021-04-28,2021-05-05,135.46673583984375,139.27633666992188,hold_days,0.028122039011717614,0.027122039011717614,1,0.009604034218428925,0.01751800479328869
MMM,5,0.01,2021-08-23,2021-08-30,136.62802124023438,137.67369079589844,hold_days,0.007653404815293641,0.006653404815293641,4,0.011081443926236778,-0.004428039110943137
MMM,5,0.01,2022-01-07,2022-01-14,127.31816101074219,126.4620361328125,hold_days,-0.00672429503484151,-0.00772429503484151,1,0.0007032237340987013,-0.008427518768940212
MMM,5,0.01,2022-04-29,2022-05-06,103.02483367919922,106.8180923461914,hold_days,0.03681887688170127,0.03581887688170127,2,0.010593165135277971,0.025225711746423296
MMM,5,0.01,2022-05-23,2022-05-31,104.18142700195312,107.72438049316406,hold_days,0.034007534674530104,0.033007534674530103,3,0.0395124658716397,-0.006504931197109598
MMM,5,0.01,2022-10-10,2022-10-17,79.06552124023438,83.00201416015625,hold_days,0.049787731215495956,0.048787731215495955,3,0.02547279502410893,0.023314936191387026
MMM,5,0.01,2022-11-21,2022-11-29,94.12954711914062,93.02326965332031,hold_days,-0.011752712083274885,-0.012752712083274886,3,0.002843055625789681,-0.015595767709064567
MMM,5,0.01,2023-07-07,2023-07-14,73.80838775634766,77.60919189453125,hold_days,0.051495558346710046,0.050495558346710046,1,0.018752557553027627,0.03174300079368242
