stock,hold_days,near_pct,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,support_age_days,support_birth_date,bench_ret,excess_ret,stock_mom_5d,market_mom_5d,rel_mom_5d
MMM,5,0.01,2015-09-28,2015-10-05,81.50672149658203,86.18341064453125,hold_days,0.05737795683691349,0.05637795683691349,4,2015-09-24,0.056745953295340046,-0.00036799645842655604,-0.0004293543282776202,-0.014009705561764618,0.013580351233486998
MMM,5,0.01,2015-11-17,2015-11-19,92.49168395996094,93.89974975585938,resistance,0.01522370158713926,0.01422370158713926,4,2015-11-13,0.016442212424065517,-0.0022185108369262574,0.004699253222701039,-0.010042210468696022,0.014741463691397061
MMM,5,0.01,2015-12-16,2015-12-23,88.90180206298828,89.61922454833984,hold_days,0.008069830630016428,0.007069830630016428,1,2015-12-15,-0.00458072390457398,0.011650554534590407,-0.05523317202712097,-0.00602130363760045,-0.04921186838952052
MMM,5,0.01,2016-05-23,2016-05-24,99.85477447509766,101.36959838867188,resistance,0.015170270240327799,0.014170270240327798,3,2016-05-20,0.014573562098552983,-0.00040329185822518543,-0.013137433662905207,0.00356842269024793,-0.016705856353153137
MMM,5,0.01,2016-06-14,2016-06-21,100.75646209716797,103.01669311523438,hold_days,0.022432615943647205,0.021432615943647204,1,2016-06-13,0.006495317466516326,0.014937298477130878,-0.017345094177919296,-0.014312855000721991,-0.0030322391771973045
MMM,5,0.01,2017-01-11,2017-01-19,108.2923583984375,108.77326202392578,hold_days,0.004440790029882846,0.003440790029882846,1,2017-01-10,-0.006874529781235927,0.010315319811118773,-0.008255871336514287,0.007528805471998412,-0.0157846768085127
MMM,5,0.01,2017-07-27,2017-08-03,123.3076400756836,127.97369384765625,hold_days,0.03784075154717681,0.03684075154717681,1,2017-07-26,0.0008095743878206996,0.03603117715935611,-0.06162201624560637,0.002529570783313506,-0.06415158702891988
MMM,5,0.01,2018-03-20,2018-03-27,145.68359375,135.29234313964844,hold_days,-0.07132752798632525,-0.07232752798632525,1,2018-03-19,-0.038952782305135436,-0.03337474568118981,-0.034362061723703374,-0.02453854743498962,-0.009823514288713753
MMM,5,0.01,2018-04-09,2018-04-16,133.3745880126953,136.4392852783203,hold_days,0.022978119829943022,0.02197811982994302,3,2018-04-06,0.02732260108390383,-0.005344481253960809,-0.03311784542853846,-0.012859030879073141,-0.02025881454946532
MMM,5,0.01,2018-06-28,2018-07-06,123.66043090820312,124.60066223144531,hold_days,0.0076033320952937355,0.0066033320952937355,1,2018-06-27,0.014325169047099351,-0.007721836951805615,-0.015953180564660552,-0.024421314274538974,0.008468133709878423
MMM,5,0.01,2018-07-24,2018-07-31,126.63249969482422,133.97755432128906,hold_days,0.05800291903078536,0.05700291903078536,1,2018-07-23,0.008094390868976786,0.04890852816180857,-0.011287253189970037,0.004481883545931931,-0.015769136735901967
