stock,hold_days,entry_date,exit_date,entry_price,exit_price,exit_reason,ret,ret_net,bench_ret,excess_ret
MMM,5,2015-05-28,2015-06-04,94.0986099243164,92.62457275390625,hold_days,-0.01566481345044024,-0.01666481345044024,-0.010349415724358435,-0.006315397726081806
MMM,5,2015-06-03,2015-06-10,93.68328857421875,93.02816772460938,hold_days,-0.006992931819321924,-0.007992931819321925,-0.004153674051600276,-0.003839257767721649
MMM,5,2015-06-09,2015-06-16,91.82320404052734,91.53658294677734,hold_days,-0.0031214451373695606,-0.004121445137369561,0.006053307305426081,-0.010174752442795643
MMM,5,2015-06-10,2015-06-17,93.02816772460938,91.80567169189453,hold_days,-0.013141138459630719,-0.01414113845963072,-0.005571694609861844,-0.008569443849768876
MMM,5,2015-06-12,2015-06-19,92.44324493408203,92.97554016113281,hold_days,0.005758075967912335,0.004758075967912335,0.007602045276427827,-0.002843969308515492
MMM,5,2015-06-15,2015-06-22,91.17389678955078,93.40251159667969,hold_days,0.024443562089629944,0.023443562089629943,0.02108171846835849,0.0023618436212714533
MMM,5,2015-06-16,2015-06-23,91.53658294677734,93.49614715576172,hold_days,0.02140744329645483,0.02040744329645483,0.017310720899022858,0.0030967223974319724
MMM,5,2015-06-17,2015-06-24,91.80567169189453,92.1507797241211,hold_days,0.003759114506397543,0.002759114506397543,0.009196804912162904,-0.006437690405765361
MMM,5,2015-06-19,2015-06-26,92.97554016113281,91.88753509521484,hold_days,-0.011702056949950301,-0.012702056949950302,-0.0006874283846611817,-0.01201462856528912
MMM,5,2015-06-25,2015-07-02,91.20316314697266,90.8873291015625,hold_days,-0.003462972494728045,-0.004462972494728045,-0.010670319310669418,0.006207346815941373
MMM,5,2015-07-08,2015-07-15,89.32552337646484,91.24996948242188,hold_days,0.021544190654740447,0.020544190654740446,0.029898345006779348,-0.009354154352038901
MMM,5,2015-07-09,2015-07-16,89.93384552001953,91.9343490600586,hold_days,0.022244167682051952,0.02124416768205195,0.03725416486057376,-0.016009997178521806
MMM,5,2015-07-10,2015-07-17,90.63579559326172,91.65354919433594,hold_days,0.01122904691697646,0.010229046916976459,0.033373587348822564,-0.023144540431846106
