period,n_unfiltered,n_filtered,unfiltered_excess,filtered_excess,delta
"(2015-06-17 23:59:59, 2017-12-13 00:00:00]",428,76,0.007228101615484807,0.009892896419278308,0.0026647948037935012
"(2017-12-13 00:00:00, 2020-06-01 00:00:00]",424,113,0.00956492048325314,0.008661791218345354,-0.0009031292649077857
"(2020-06-01 00:00:00, 2023-07-12 00:00:00]",425,69,0.010864959043965918,0.015619228591268533,0.004754269547302615
"(2023-07-12 00:00:00, 2026-07-09 00:00:00]",426,82,0.011837897948320209,0.015712815596111415,0.0038749176477912064
