run_date,as_of,ticker,price,price_estimated,event,low_date,pct1,vr_L,vr_L1,vr_L2,entry_date,entry_price,exit_price,ret,days_held
2026-09-22,2026-09-21,CSX,45.99,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,RTX,194.34,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,GD,353.9,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,NOC,526.66,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,EMR,151.72,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,ITW,267.52,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,PG,146.08,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,CL,86.26,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,KMB,97.74,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,GIS,35.41,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,SBUX,94.9,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,YUM,139.33,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,TJX,130.96,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,ORLY,82.88,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,ADP,269.94,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,ECL,269.98,False,watch,,,,,,,,,,
2026-09-22,2026-09-21,APD,279.46,False,watch,,,,,,,,,,
